POSTID,KEYFIELD,PRODUCT,GROUP,COV_CD,RES_BASE_C,COV_SEQ_NR,BEN_TERM,COV_ST_YR,COV_ST_MTH,ANN_BEF,ANN_1,ANN_2,ANN_INC_PC,ANN_INC_AM,ISS_YR_ANN,ISS_YR_MTH
107368650,107368650,TRAD,DIL,770,95,1,180,2010,4,1832.00,1832.00,1832.00,0.00,,2010,4
107368770,107368770,TRAD,DIL,700,95,1,9999,2010,5,1554.00,,,0.00,,2010,5
107369230,107369230,TRAD,DIL,770,95,1,164,2010,5,1328.00,1328.00,1328.00,0.00,,2010,5
107369560,107369560,TRAD,DIL,770,95,1,204,2010,4,554.00,554.00,554.00,0.00,,2010,4
107369620,107369620,TRAD,DIL,770,95,1,164,2010,4,18485.00,,,0.00,,2010,4
107369820,107369820,TRAD,DIL,700,95,1,9999,2010,2,426.00,,,0.00,,2010,2
107369930,107369930,TRAD,DIL,770,95,1,156,2010,4,15899.00,15899.00,11129.00,0.00,,2010,4
107370070,107370070,TRAD,DIL,700,95,1,9999,2010,2,1031.00,,,0.00,,2010,2
107370230,107370230,TRAD,DIL,700,95,1,9999,2009,10,524.00,,,0.00,,2009,10
107370660,107370660,TRAD,DIL,700,95,1,9999,2010,3,3495.00,2447.00,2447.00,0.00,,2010,3
107371060,107371060,TRAD,DIL,770,95,1,215,2010,7,12104.00,12104.00,8473.00,0.00,,2010,7
107371120,107371120,TRAD,DIL,770,95,1,163,2010,2,1389.00,,,0.00,,2010,2
107371150,107371150,TRAD,DIL,700,95,1,9999,2010,7,545.00,,,0.00,,2010,7
107371190,107371190,TRAD,DIL,700,95,1,9999,2010,5,550.00,,,0.00,,2010,5
107371280,107371280,TRAD,DIL,770,95,1,181,2010,4,11535.00,,,0.00,,2010,4
107371800,107371800,TRAD,DIL,700,95,1,9999,2010,5,1566.00,1566.00,1096.00,0.00,,2010,5
107371890,107371890,TRAD,DIL,700,95,1,9999,2010,4,1709.00,,,0.00,,2010,4
107371950,107371950,TRAD,DIL,700,95,1,9999,2010,3,9445.00,9445.00,9445.00,0.00,,2010,3
107372040,107372040,TRAD,DIL,700,95,1,9999,2010,5,10904.00,,,0.00,,2010,5
107372300,107372300,TRAD,DIL,700,95,1,9999,2009,8,771.00,,,0.00,,2009,8
107372340,107372340,TRAD,DIL,700,95,1,9999,2010,4,242.00,242.00,242.00,0.00,,2010,4
107372690,107372690,TRAD,DIL,770,95,1,192,2010,4,1256.00,,,0.00,,2010,4
107372770,107372770,TRAD,DIL,770,95,1,192,2010,6,6166.00,6166.00,4316.00,0.00,,2010,6
107372790,107372790,TRAD,DIL,770,95,1,180,2010,3,7568.00,,,0.00,,2010,3
107372870,107372870,TRAD,DIL,700,95,1,9999,2010,4,5932.00,,,0.00,,2010,4
107373250,107373250,TRAD,DIL,700,95,1,9999,2010,4,479.00,,,0.00,,2010,4
107373300,107373300,TRAD,DIL,770,95,1,288,2010,5,4222.00,4222.00,4222.00,0.00,,2010,5
107373350,107373350,TRAD,DIL,700,95,1,9999,2010,10,893.00,,,0.00,,2010,10
107373820,107373820,TRAD,DIL,700,95,1,9999,2010,6,566.00,,,0.00,,2010,6
107373870,107373870,TRAD,DIL,700,95,1,9999,2010,5,2971.00,,,0.00,,2010,5
107373970,107373970,TRAD,DIL,770,95,1,180,2010,5,16558.00,11591.00,11591.00,0.00,,2010,5
107374320,107374320,TRAD,DIL,770,95,1,159,2010,4,402.00,,,0.00,,2010,4
107374380,107374380,TRAD,DIL,700,95,1,9999,2010,5,4512.00,,,0.00,,2010,5
107374430,107374430,TRAD,DIL,770,95,1,180,2010,5,3005.00,3005.00,3005.00,0.00,,2010,5
107374680,107374680,TRAD,DIL,700,95,1,9999,2010,6,3000.00,,,0.00,,2010,6
107374690,107374690,TRAD,DIL,770,95,1,156,2010,6,5447.00,,,0.00,,2010,6
107374730,107374730,TRAD,DIL,700,95,1,9999,2010,5,48245.00,,,0.00,,2010,5
107375160,107375160,TRAD,DIL,770,95,1,192,2010,5,2786.00,,,0.00,,2010,5
107375290,107375290,TRAD,DIL,770,95,1,180,2010,4,4172.00,,,0.00,,2010,4
107375400,107375400,TRAD,DIL,770,92,1,150,2010,4,1276.00,,,,,2010,4
107375520,107375520,TRAD,DIL,700,95,1,9999,2010,4,1022.00,,,0.00,,2010,4
107375550,107375550,TRAD,DIL,700,95,1,9999,2010,3,1161.00,1161.00,813.00,0.00,,2010,3
107376490,107376490,TRAD,DIL,700,95,1,9999,2010,6,16943.00,,,0.00,,2010,6
107376530,107376530,TRAD,DIL,770,95,1,236,2010,7,912.00,,,0.00,,2010,7
