prodboomcd,projection_year,value
AORV_Type1_lapse_a,6,0
AORV_Type1_lapse_a,7,0
AORV_Type1_lapse_a,8,0
AORV_Type1_lapse_a,9,0
AORV_Type1_lapse_a,10,0
AORV_Type1_lapse_a,11,0
AORV_Type1_lapse_b,1,0
AORV_Type1_lapse_b,2,0
AORV_Type1_lapse_b,3,0
AORV_Type1_lapse_b,4,0
AORV_Type1_lapse_b,5,0
AORV_Type1_lapse_b,6,0
AORV_Type1_lapse_b,7,0
AORV_Type1_lapse_b,8,0
AORV_Type1_lapse_b,9,0
AORV_Type1_lapse_b,10,0
AORV_Type1_lapse_b,11,0
AORV_Type1_pup_a,1,0
AORV_Type1_pup_a,2,0
AORV_Type1_pup_a,3,0
AORV_Type1_pup_a,4,0
AORV_Type1_pup_a,5,0
AORV_Type1_pup_a,6,0
AORV_Type1_pup_a,7,0
AORV_Type1_pup_a,8,0
AORV_Type1_pup_a,9,0
AORV_Type1_pup_a,10,0
AORV_Type1_pup_a,11,0
AORV_Type1_pup_b,1,0
AORV_Type1_pup_b,2,0
AORV_Type1_pup_b,3,0
AORV_Type1_pup_b,4,0
AORV_Type1_pup_b,5,0
AORV_Type1_pup_b,6,0
AORV_Type1_pup_b,7,0
AORV_Type1_pup_b,8,0
AORV_Type1_pup_b,9,0
AORV_Type1_pup_b,10,0
AORV_Type1_pup_b,11,0
AORV_Type2_lapse_a,1,0
AORV_Type2_lapse_a,2,0
AORV_Type2_lapse_a,3,0
AORV_Type2_lapse_a,4,0
AORV_Type2_lapse_a,5,0
AORV_Type2_lapse_a,6,0
AORV_Type2_lapse_a,7,0
AORV_Type2_lapse_a,8,0
AORV_Type2_lapse_a,9,0
AORV_Type2_lapse_a,10,0
AORV_Type2_lapse_a,11,0
AORV_Type2_lapse_b,1,0
AORV_Type2_lapse_b,2,0
AORV_Type2_lapse_b,3,0
AORV_Type2_lapse_b,4,0
AORV_Type2_lapse_b,5,0
AORV_Type2_lapse_b,6,0
AORV_Type2_lapse_b,7,0
AORV_Type2_lapse_b,8,0
AORV_Type2_lapse_b,9,0
AORV_Type2_lapse_b,10,0
AORV_Type2_lapse_b,11,0
AORV_Type2_pup_a,1,0
AORV_Type2_pup_a,2,0
AORV_Type2_pup_a,3,0
AORV_Type2_pup_a,4,0
AORV_Type2_pup_a,5,0
AORV_Type2_pup_a,6,0
AORV_Type2_pup_a,7,0
AORV_Type2_pup_a,8,0
AORV_Type2_pup_a,9,0
AORV_Type2_pup_a,10,0
AORV_Type2_pup_a,11,0
AORV_Type2_pup_b,1,0
AORV_Type2_pup_b,2,0
AORV_Type2_pup_b,3,0
AORV_Type2_pup_b,4,0
AORV_Type2_pup_b,5,0
AORV_Type2_pup_b,6,0
AORV_Type2_pup_b,7,0
AORV_Type2_pup_b,8,0
AORV_Type2_pup_b,9,0
AORV_Type2_pup_b,10,0
AORV_Type2_pup_b,11,0
AORV_Type3_lapse_a,1,0
AORV_Type3_lapse_a,2,0
AORV_Type3_lapse_a,3,0
AORV_Type3_lapse_a,4,0
AORV_Type3_lapse_a,5,0
AORV_Type3_lapse_a,6,0
AORV_Type3_lapse_a,7,0
AORV_Type3_lapse_a,8,0
AORV_Type3_lapse_a,9,0
AORV_Type3_lapse_a,10,0
AORV_Type3_lapse_a,11,0
AORV_Type3_lapse_b,1,0
AORV_Type3_lapse_b,2,0
AORV_Type3_lapse_b,3,0
AORV_Type3_lapse_b,4,0
AORV_Type3_lapse_b,5,0
AORV_Type3_lapse_b,6,0
AORV_Type3_lapse_b,7,0
AORV_Type3_lapse_b,8,0
AORV_Type3_lapse_b,9,0
AORV_Type3_lapse_b,10,0
AORV_Type3_lapse_b,11,0
AORV_Type3_pup_a,1,0
AORV_Type3_pup_a,2,0
AORV_Type3_pup_a,3,0
AORV_Type3_pup_a,4,0
AORV_Type3_pup_a,5,0
AORV_Type3_pup_a,6,0
AORV_Type3_pup_a,7,0
AORV_Type3_pup_a,8,0
AORV_Type3_pup_a,9,0
AORV_Type3_pup_a,10,0
AORV_Type3_pup_a,11,0
AORV_Type3_pup_b,1,0
AORV_Type3_pup_b,2,0
AORV_Type3_pup_b,3,0
AORV_Type3_pup_b,4,0
AORV_Type3_pup_b,5,0
AORV_Type3_pup_b,6,0
AORV_Type3_pup_b,7,0
AORV_Type3_pup_b,8,0
AORV_Type3_pup_b,9,0
AORV_Type3_pup_b,10,0
AORV_Type3_pup_b,11,0
AORV_Type4_lapse_a,1,0
AORV_Type4_lapse_a,2,0
AORV_Type4_lapse_a,3,0
AORV_Type4_lapse_a,4,0
AORV_Type4_lapse_a,5,0
AORV_Type4_lapse_a,6,0
AORV_Type4_lapse_a,7,0
AORV_Type4_lapse_a,8,0
AORV_Type4_lapse_a,9,0
AORV_Type4_lapse_a,10,0
AORV_Type4_lapse_a,11,0
AORV_Type4_lapse_b,1,0
AORV_Type4_lapse_b,2,0
AORV_Type4_lapse_b,3,0
AORV_Type4_lapse_b,4,0
AORV_Type4_lapse_b,5,0
AORV_Type4_lapse_b,6,0
AORV_Type4_lapse_b,7,0
AORV_Type4_lapse_b,8,0
AORV_Type4_lapse_b,9,0
AORV_Type4_lapse_b,10,0
AORV_Type4_lapse_b,11,0
AORV_Type4_pup_a,1,0
AORV_Type4_pup_a,2,0
AORV_Type4_pup_a,3,0
AORV_Type4_pup_a,4,0
AORV_Type4_pup_a,5,0
AORV_Type4_pup_a,6,0
AORV_Type4_pup_a,7,0
AORV_Type4_pup_a,8,0
AORV_Type4_pup_a,9,0
AORV_Type4_pup_a,10,0
AORV_Type4_pup_a,11,0
AORV_Type4_pup_b,1,0
AORV_Type4_pup_b,2,0
AORV_Type4_pup_b,3,0
AORV_Type4_pup_b,4,0
AORV_Type4_pup_b,5,0
AORV_Type4_pup_b,6,0
AORV_Type4_pup_b,7,0
AORV_Type4_pup_b,8,0
AORV_Type4_pup_b,9,0
AORV_Type4_pup_b,10,0
AORV_Type4_pup_b,11,0
ASH_cpr_a,1,0
ASH_cpr_a,2,0
ASH_cpr_a,3,0
ASH_cpr_a,4,0
ASH_cpr_a,5,0
ASH_cpr_a,6,0
ASH_cpr_a,7,0
ASH_cpr_a,8,0
ASH_cpr_a,9,0
ASH_cpr_a,10,0
ASH_cpr_a,11,0
ASH_cpr_b,1,0
ASH_cpr_b,2,0
ASH_cpr_b,3,0
ASH_cpr_b,4,0
ASH_cpr_b,5,0
ASH_cpr_b,6,0
ASH_cpr_b,7,0
ASH_cpr_b,8,0
ASH_cpr_b,9,0
ASH_cpr_b,10,0
ASH_cpr_b,11,0
ASH_lapse_a,1,0
ASH_lapse_a,2,0
ASH_lapse_a,3,0
ASH_lapse_a,4,0
ASH_lapse_a,5,0
ASH_lapse_a,6,0
ASH_lapse_a,7,0
ASH_lapse_a,8,0
ASH_lapse_a,9,0
ASH_lapse_a,10,0
ASH_lapse_a,11,0
ASH_lapse_b,1,0
ASH_lapse_b,2,0
ASH_lapse_b,3,0
ASH_lapse_b,4,0
ASH_lapse_b,5,0
ASH_lapse_b,6,0
ASH_lapse_b,7,0
ASH_lapse_b,8,0
ASH_lapse_b,9,0
ASH_lapse_b,10,0
ASH_lapse_b,11,0
ASH_pup_a,1,0
ASH_pup_a,2,0
ASH_pup_a,3,0
ASH_pup_a,4,0
ASH_pup_a,5,0
ASH_pup_a,6,0
ASH_pup_a,7,0
ASH_pup_a,8,0
ASH_pup_a,9,0
ASH_pup_a,10,0
ASH_pup_a,11,0
ASH_pup_b,1,0
ASH_pup_b,2,0
ASH_pup_b,3,0
ASH_pup_b,4,0
ASH_pup_b,5,0
ASH_pup_b,6,0
ASH_pup_b,7,0
ASH_pup_b,8,0
ASH_pup_b,9,0
ASH_pup_b,10,0
ASH_pup_b,11,0
BEDRIJVEN_lapse_a,1,0
BEDRIJVEN_lapse_a,2,0
BEDRIJVEN_lapse_a,3,0
BEDRIJVEN_lapse_a,4,0
BEDRIJVEN_lapse_a,5,0
BEDRIJVEN_lapse_a,6,0
BEDRIJVEN_lapse_a,7,0
BEDRIJVEN_lapse_a,8,0
BEDRIJVEN_lapse_a,9,0
BEDRIJVEN_lapse_a,10,0
BEDRIJVEN_lapse_a,11,0
BEDRIJVEN_lapse_b,1,0
BEDRIJVEN_lapse_b,2,0
BEDRIJVEN_lapse_b,3,0
BEDRIJVEN_lapse_b,4,0
BEDRIJVEN_lapse_b,5,0
BEDRIJVEN_lapse_b,6,0
BEDRIJVEN_lapse_b,7,0
BEDRIJVEN_lapse_b,8,0
BEDRIJVEN_lapse_b,9,0
BEDRIJVEN_lapse_b,10,0
BEDRIJVEN_lapse_b,11,0
BEDRIJVEN_pup_a,1,0
BEDRIJVEN_pup_a,2,0
BEDRIJVEN_pup_a,3,0
BEDRIJVEN_pup_a,4,0
BEDRIJVEN_pup_a,5,0
BEDRIJVEN_pup_a,6,0
BEDRIJVEN_pup_a,7,0
BEDRIJVEN_pup_a,8,0
BEDRIJVEN_pup_a,9,0
BEDRIJVEN_pup_a,10,0
BEDRIJVEN_pup_a,11,0
BEDRIJVEN_pup_b,1,0
BEDRIJVEN_pup_b,2,0
BEDRIJVEN_pup_b,3,0
BEDRIJVEN_pup_b,4,0
BEDRIJVEN_pup_b,5,0
BEDRIJVEN_pup_b,6,0
BEDRIJVEN_pup_b,7,0
BEDRIJVEN_pup_b,8,0
BEDRIJVEN_pup_b,9,0
BEDRIJVEN_pup_b,10,0
BEDRIJVEN_pup_b,11,0
BUDGETFOND_lapse_a,1,0
BUDGETFOND_lapse_a,2,0
BUDGETFOND_lapse_a,3,0
BUDGETFOND_lapse_a,4,0
BUDGETFOND_lapse_a,5,0
BUDGETFOND_lapse_a,6,0
BUDGETFOND_lapse_a,7,0
BUDGETFOND_lapse_a,8,0
BUDGETFOND_lapse_a,9,0
BUDGETFOND_lapse_a,10,0
BUDGETFOND_lapse_a,11,0
BUDGETFOND_lapse_b,1,0
BUDGETFOND_lapse_b,2,0
BUDGETFOND_lapse_b,3,0
BUDGETFOND_lapse_b,4,0
BUDGETFOND_lapse_b,5,0
BUDGETFOND_lapse_b,6,0
BUDGETFOND_lapse_b,7,0
BUDGETFOND_lapse_b,8,0
BUDGETFOND_lapse_b,9,0
BUDGETFOND_lapse_b,10,0
BUDGETFOND_lapse_b,11,0
BUDGETFOND_pup_a,1,0
BUDGETFOND_pup_a,2,0
BUDGETFOND_pup_a,3,0
BUDGETFOND_pup_a,4,0
BUDGETFOND_pup_a,5,0
BUDGETFOND_pup_a,6,0
BUDGETFOND_pup_a,7,0
BUDGETFOND_pup_a,8,0
BUDGETFOND_pup_a,9,0
BUDGETFOND_pup_a,10,0
BUDGETFOND_pup_a,11,0
BUDGETFOND_pup_b,1,0
BUDGETFOND_pup_b,2,0
BUDGETFOND_pup_b,3,0
BUDGETFOND_pup_b,4,0
BUDGETFOND_pup_b,5,0
BUDGETFOND_pup_b,6,0
BUDGETFOND_pup_b,7,0
BUDGETFOND_pup_b,8,0
BUDGETFOND_pup_b,9,0
BUDGETFOND_pup_b,10,0
BUDGETFOND_pup_b,11,0
DEPOT_lapse_a,1,0
DEPOT_lapse_a,2,0
DEPOT_lapse_a,3,0
DEPOT_lapse_a,4,0
DEPOT_lapse_a,5,0
DEPOT_lapse_a,6,0
DEPOT_lapse_a,7,0
DEPOT_lapse_a,8,0
DEPOT_lapse_a,9,0
DEPOT_lapse_a,10,0
DEPOT_lapse_a,11,0
DEPOT_lapse_b,1,0
DEPOT_lapse_b,2,0
DEPOT_lapse_b,3,0
DEPOT_lapse_b,4,0
DEPOT_lapse_b,5,0
DEPOT_lapse_b,6,0
DEPOT_lapse_b,7,0
DEPOT_lapse_b,8,0
DEPOT_lapse_b,9,0
DEPOT_lapse_b,10,0
DEPOT_lapse_b,11,0
DEPOT_pup_a,1,0
DEPOT_pup_a,2,0
DEPOT_pup_a,3,0
DEPOT_pup_a,4,0
DEPOT_pup_a,5,0
DEPOT_pup_a,6,0
DEPOT_pup_a,7,0
DEPOT_pup_a,8,0
DEPOT_pup_a,9,0
DEPOT_pup_a,10,0
DEPOT_pup_a,11,0
DEPOT_pup_b,1,0
DEPOT_pup_b,2,0
DEPOT_pup_b,3,0
DEPOT_pup_b,4,0
DEPOT_pup_b,5,0
DEPOT_pup_b,6,0
DEPOT_pup_b,7,0
DEPOT_pup_b,8,0
DEPOT_pup_b,9,0
DEPOT_pup_b,10,0
DEPOT_pup_b,11,0
DIL_lapse_a,1,0
DIL_lapse_a,2,0
DIL_lapse_a,3,0
DIL_lapse_a,4,0
DIL_lapse_a,5,0
DIL_lapse_a,6,0
DIL_lapse_a,7,0
DIL_lapse_a,8,0
DIL_lapse_a,9,0
DIL_lapse_a,10,0
DIL_lapse_a,11,0
DIL_lapse_b,1,0
DIL_lapse_b,2,0
DIL_lapse_b,3,0
DIL_lapse_b,4,0
DIL_lapse_b,5,0
DIL_lapse_b,6,0
DIL_lapse_b,7,0
DIL_lapse_b,8,0
DIL_lapse_b,9,0
DIL_lapse_b,10,0
DIL_lapse_b,11,0
FP_1_PP_ASB_lapse_a,1,0
FP_1_PP_ASB_lapse_a,2,0
FP_1_PP_ASB_lapse_a,3,0
FP_1_PP_ASB_lapse_a,4,0
FP_1_PP_ASB_lapse_a,5,0
FP_1_PP_ASB_lapse_a,6,0
FP_1_PP_ASB_lapse_a,7,0
FP_1_PP_ASB_lapse_a,8,0
FP_1_PP_ASB_lapse_a,9,0
FP_1_PP_ASB_lapse_a,10,0
FP_1_PP_ASB_lapse_a,11,0
FP_1_PP_ASB_lapse_b,1,0
FP_1_PP_ASB_lapse_b,2,0
FP_1_PP_ASB_lapse_b,3,0
FP_1_PP_ASB_lapse_b,4,0
FP_1_PP_ASB_lapse_b,5,0
FP_1_PP_ASB_lapse_b,6,0
FP_1_PP_ASB_lapse_b,7,0
FP_1_PP_ASB_lapse_b,8,0
FP_1_PP_ASB_lapse_b,9,0
FP_1_PP_ASB_lapse_b,10,0
FP_1_PP_ASB_lapse_b,11,0
FP_1_PP_ASB_pup_a,1,0
FP_1_PP_ASB_pup_a,2,0
FP_1_PP_ASB_pup_a,3,0
FP_1_PP_ASB_pup_a,4,0
FP_1_PP_ASB_pup_a,5,0
FP_1_PP_ASB_pup_a,6,0
FP_1_PP_ASB_pup_a,7,0
FP_1_PP_ASB_pup_a,8,0
FP_1_PP_ASB_pup_a,9,0
FP_1_PP_ASB_pup_a,10,0
FP_1_PP_ASB_pup_a,11,0
FP_1_PP_ASB_pup_b,1,0
FP_1_PP_ASB_pup_b,2,0
FP_1_PP_ASB_pup_b,3,0
FP_1_PP_ASB_pup_b,4,0
FP_1_PP_ASB_pup_b,5,0
FP_1_PP_ASB_pup_b,6,0
FP_1_PP_ASB_pup_b,7,0
FP_1_PP_ASB_pup_b,8,0
