model,fund_number,fund_name,column1,column2,column3,column4,column5,column6,column7,column8,column9,column10,column11
CAE,19,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAE,20,USA-Dollar_Fonds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAE,21,AUS-Dollar_Fonds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAE,22,ECU_Fonds,0.0,0.0,0.0,0.0062593,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAE,23,Valuta_Mix_Fonds,0.0,0.0,0.0,0.00559704,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAE,24,Deposito_Fonds_(Val),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAE,25,STAATSLENINGEN,0.0,0.0,0.0,0.0103,0.0,0.0,0.0,0.0,0.0039,0.0036,3.0E-4
CAE,26,-,0.0,0.0,0.0,0.0103,0.0,0.0,0.0,0.0,0.0039,0.0036,3.0E-4
CAE,27,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAE,28,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAE,29,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAE,30,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAE,31,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAE,32,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAE,33,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAE,34,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAE,35,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAE,36,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAE,37,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAE,38,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAE,39,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FP,1,Aandelen_Fund,0.0,0.0,0.0,0.0078,0.0,0.0,0.00203,0.0,0.0039,0.0036,3.0E-4
FP,2,Rente_Fund,0.0,0.0,0.0,0.0053,0.0,0.0,0.001412,0.0045,0.0039,0.0036,3.0E-4
FP,3,Mix_Fund,0.0,0.0,0.0,0.0064,0.0,0.0,0.001761375,0.0065,0.0052,0.0049,3.0E-4
FP,4,Vastgoed_Fund,0.0,0.0,0.0,0.0078,0.0,0.0,0.00203,0.0,0.0,0.0,0.0
