prodboomcd,projection_year,value
AORV_Type3_LIJF_b,0,0
AORV_Type3_LIJF_b,1,0
AORV_Type3_LIJF_b,2,0
AORV_Type3_LIJF_b,3,0
AORV_Type3_LIJF_b,4,0
AORV_Type3_LIJF_b,5,0
AORV_Type3_LIJF_b,6,0
AORV_Type3_LIJF_b,7,0
AORV_Type3_LIJF_b,8,0
AORV_Type3_LIJF_b,9,0
AORV_Type3_LIJF_b,10,0
AORV_Type3_LIJF_b,11,0
AORV_Type4_KBL_a,0,0
AORV_Type4_KBL_a,1,0
AORV_Type4_KBL_a,2,0
AORV_Type4_KBL_a,3,0
AORV_Type4_KBL_a,4,0
AORV_Type4_KBL_a,5,0
AORV_Type4_KBL_a,6,0
AORV_Type4_KBL_a,7,0
AORV_Type4_KBL_a,8,0
AORV_Type4_KBL_a,9,0
AORV_Type4_KBL_a,10,0
AORV_Type4_KBL_a,11,0
AORV_Type4_KBL_b,0,0
AORV_Type4_KBL_b,1,0
AORV_Type4_KBL_b,2,0
AORV_Type4_KBL_b,3,0
AORV_Type4_KBL_b,4,0
AORV_Type4_KBL_b,5,0
AORV_Type4_KBL_b,6,0
AORV_Type4_KBL_b,7,0
AORV_Type4_KBL_b,8,0
AORV_Type4_KBL_b,9,0
AORV_Type4_KBL_b,10,0
AORV_Type4_KBL_b,11,0
AORV_Type4_KBO_a,0,0
AORV_Type4_KBO_a,1,0
AORV_Type4_KBO_a,2,0
AORV_Type4_KBO_a,3,0
AORV_Type4_KBO_a,4,0
AORV_Type4_KBO_a,5,0
AORV_Type4_KBO_a,6,0
AORV_Type4_KBO_a,7,0
AORV_Type4_KBO_a,8,0
AORV_Type4_KBO_a,9,0
AORV_Type4_KBO_a,10,0
AORV_Type4_KBO_a,11,0
AORV_Type4_KBO_b,0,0
AORV_Type4_KBO_b,1,0
AORV_Type4_KBO_b,2,0
AORV_Type4_KBO_b,3,0
AORV_Type4_KBO_b,4,0
AORV_Type4_KBO_b,5,0
AORV_Type4_KBO_b,6,0
AORV_Type4_KBO_b,7,0
AORV_Type4_KBO_b,8,0
AORV_Type4_KBO_b,9,0
AORV_Type4_KBO_b,10,0
AORV_Type4_KBO_b,11,0
AORV_Type4_LIJF_a,0,0
AORV_Type4_LIJF_a,1,0
AORV_Type4_LIJF_a,2,0
AORV_Type4_LIJF_a,3,0
AORV_Type4_LIJF_a,4,0
AORV_Type4_LIJF_a,5,0
AORV_Type4_LIJF_a,6,0
AORV_Type4_LIJF_a,7,0
AORV_Type4_LIJF_a,8,0
AORV_Type4_LIJF_a,9,0
AORV_Type4_LIJF_a,10,0
AORV_Type4_LIJF_a,11,0
AORV_Type4_LIJF_b,0,0
AORV_Type4_LIJF_b,1,0
AORV_Type4_LIJF_b,2,0
AORV_Type4_LIJF_b,3,0
AORV_Type4_LIJF_b,4,0
AORV_Type4_LIJF_b,5,0
AORV_Type4_LIJF_b,6,0
AORV_Type4_LIJF_b,7,0
AORV_Type4_LIJF_b,8,0
AORV_Type4_LIJF_b,9,0
AORV_Type4_LIJF_b,10,0
AORV_Type4_LIJF_b,11,0
ASH_KBL_a,0,0
ASH_KBL_a,1,0
ASH_KBL_a,2,0
ASH_KBL_a,3,0
ASH_KBL_a,4,0
ASH_KBL_a,5,0
ASH_KBL_a,6,0
ASH_KBL_a,7,0
ASH_KBL_a,8,0
ASH_KBL_a,9,0
ASH_KBL_a,10,0
ASH_KBL_a,11,0
ASH_KBL_b,0,0
ASH_KBL_b,1,0
ASH_KBL_b,2,0
ASH_KBL_b,3,0
ASH_KBL_b,4,0
ASH_KBL_b,5,0
ASH_KBL_b,6,0
ASH_KBL_b,7,0
ASH_KBL_b,8,0
ASH_KBL_b,9,0
ASH_KBL_b,10,0
ASH_KBL_b,11,0
ASH_KBO_a,0,0
ASH_KBO_a,1,0
ASH_KBO_a,2,0
ASH_KBO_a,3,0
ASH_KBO_a,4,0
ASH_KBO_a,5,0
ASH_KBO_a,6,0
ASH_KBO_a,7,0
ASH_KBO_a,8,0
ASH_KBO_a,9,0
ASH_KBO_a,10,0
ASH_KBO_a,11,0
ASH_KBO_b,0,0
ASH_KBO_b,1,0
ASH_KBO_b,2,0
ASH_KBO_b,3,0
ASH_KBO_b,4,0
ASH_KBO_b,5,0
ASH_KBO_b,6,0
ASH_KBO_b,7,0
ASH_KBO_b,8,0
ASH_KBO_b,9,0
ASH_KBO_b,10,0
ASH_KBO_b,11,0
ASH_LIJF_a,0,0
ASH_LIJF_a,1,0
ASH_LIJF_a,2,0
ASH_LIJF_a,3,0
ASH_LIJF_a,4,0
ASH_LIJF_a,5,0
ASH_LIJF_a,6,0
ASH_LIJF_a,7,0
ASH_LIJF_a,8,0
ASH_LIJF_a,9,0
ASH_LIJF_a,10,0
ASH_LIJF_a,11,0
ASH_LIJF_b,0,0
ASH_LIJF_b,1,0
ASH_LIJF_b,2,0
ASH_LIJF_b,3,0
ASH_LIJF_b,4,0
ASH_LIJF_b,5,0
ASH_LIJF_b,6,0
ASH_LIJF_b,7,0
ASH_LIJF_b,8,0
ASH_LIJF_b,9,0
ASH_LIJF_b,10,0
ASH_LIJF_b,11,0
AVN_KBL_a,0,0
AVN_KBL_a,1,0
AVN_KBL_a,2,0
AVN_KBL_a,3,0
AVN_KBL_a,4,0
AVN_KBL_a,5,0
AVN_KBL_a,6,0
AVN_KBL_a,7,0
AVN_KBL_a,8,0
AVN_KBL_a,9,0
AVN_KBL_a,10,0
AVN_KBL_a,11,0
AVN_KBL_b,0,0
AVN_KBL_b,1,0
AVN_KBL_b,2,0
AVN_KBL_b,3,0
AVN_KBL_b,4,0
AVN_KBL_b,5,0
AVN_KBL_b,6,0
AVN_KBL_b,7,0
AVN_KBL_b,8,0
AVN_KBL_b,9,0
AVN_KBL_b,10,0
AVN_KBL_b,11,0
AVN_KBO_a,0,0
AVN_KBO_a,1,0
AVN_KBO_a,2,0
AVN_KBO_a,3,0
AVN_KBO_a,4,0
AVN_KBO_a,5,0
AVN_KBO_a,6,0
AVN_KBO_a,7,0
AVN_KBO_a,8,0
AVN_KBO_a,9,0
AVN_KBO_a,10,0
AVN_KBO_a,11,0
AVN_KBO_b,0,0
AVN_KBO_b,1,0
AVN_KBO_b,2,0
AVN_KBO_b,3,0
AVN_KBO_b,4,0
AVN_KBO_b,5,0
AVN_KBO_b,6,0
AVN_KBO_b,7,0
AVN_KBO_b,8,0
AVN_KBO_b,9,0
AVN_KBO_b,10,0
AVN_KBO_b,11,0
BUDGETFOND_a,0,0
BUDGETFOND_a,1,0
BUDGETFOND_a,2,0
BUDGETFOND_a,3,0
BUDGETFOND_a,4,0
BUDGETFOND_a,5,0
BUDGETFOND_a,6,0
BUDGETFOND_a,7,0
BUDGETFOND_a,8,0
BUDGETFOND_a,9,0
BUDGETFOND_a,10,0
BUDGETFOND_a,11,0
BUDGETFOND_b,0,0
BUDGETFOND_b,1,0
BUDGETFOND_b,2,0
BUDGETFOND_b,3,0
BUDGETFOND_b,4,0
BUDGETFOND_b,5,0
BUDGETFOND_b,6,0
BUDGETFOND_b,7,0
BUDGETFOND_b,8,0
BUDGETFOND_b,9,0
BUDGETFOND_b,10,0
BUDGETFOND_b,11,0
DIL_a,0,0
DIL_a,1,0
DIL_a,2,0
DIL_a,3,0
DIL_a,4,0
DIL_a,5,0
DIL_a,6,0
DIL_a,7,0
DIL_a,8,0
DIL_a,9,0
DIL_a,10,0
DIL_a,11,0
DIL_b,0,0
DIL_b,1,0
DIL_b,2,0
DIL_b,3,0
DIL_b,4,0
DIL_b,5,0
DIL_b,6,0
DIL_b,7,0
DIL_b,8,0
DIL_b,9,0
DIL_b,10,0
DIL_b,11,0
FP_1_PP_a,0,0
FP_1_PP_a,1,0
FP_1_PP_a,2,0
FP_1_PP_a,3,0
FP_1_PP_a,4,0
FP_1_PP_a,5,0
FP_1_PP_a,6,0
FP_1_PP_a,7,0
FP_1_PP_a,8,0
FP_1_PP_a,9,0
FP_1_PP_a,10,0
FP_1_PP_a,11,0
FP_1_PP_b,0,0
FP_1_PP_b,1,0
FP_1_PP_b,2,0
FP_1_PP_b,3,0
FP_1_PP_b,4,0
FP_1_PP_b,5,0
FP_1_PP_b,6,0
FP_1_PP_b,7,0
FP_1_PP_b,8,0
FP_1_PP_b,9,0
FP_1_PP_b,10,0
FP_1_PP_b,11,0
FP_1_PUP_a,0,0
FP_1_PUP_a,1,0
FP_1_PUP_a,2,0
FP_1_PUP_a,3,0
FP_1_PUP_a,4,0
FP_1_PUP_a,5,0
FP_1_PUP_a,6,0
FP_1_PUP_a,7,0
FP_1_PUP_a,8,0
FP_1_PUP_a,9,0
FP_1_PUP_a,10,0
FP_1_PUP_a,11,0
FP_1_PUP_b,0,0
FP_1_PUP_b,1,0
FP_1_PUP_b,2,0
FP_1_PUP_b,3,0
FP_1_PUP_b,4,0
FP_1_PUP_b,5,0
FP_1_PUP_b,6,0
FP_1_PUP_b,7,0
FP_1_PUP_b,8,0
FP_1_PUP_b,9,0
FP_1_PUP_b,10,0
FP_1_PUP_b,11,0
FP_2_PP_a,0,0
FP_2_PP_a,1,0
FP_2_PP_a,2,0
FP_2_PP_a,3,0
FP_2_PP_a,4,0
FP_2_PP_a,5,0
FP_2_PP_a,6,0
FP_2_PP_a,7,0
FP_2_PP_a,8,0
FP_2_PP_a,9,0
FP_2_PP_a,10,0
FP_2_PP_a,11,0
FP_2_PP_b,0,0
FP_2_PP_b,1,0
FP_2_PP_b,2,0
FP_2_PP_b,3,0
FP_2_PP_b,4,0
FP_2_PP_b,5,0
FP_2_PP_b,6,0
FP_2_PP_b,7,0
FP_2_PP_b,8,0
FP_2_PP_b,9,0
FP_2_PP_b,10,0
FP_2_PP_b,11,0
FP_2_PUP_a,0,0
FP_2_PUP_a,1,0
FP_2_PUP_a,2,0
FP_2_PUP_a,3,0
FP_2_PUP_a,4,0
FP_2_PUP_a,5,0
FP_2_PUP_a,6,0
FP_2_PUP_a,7,0
FP_2_PUP_a,8,0
FP_2_PUP_a,9,0
FP_2_PUP_a,10,0
FP_2_PUP_a,11,0
FP_2_PUP_b,0,0
FP_2_PUP_b,1,0
FP_2_PUP_b,2,0
FP_2_PUP_b,3,0
FP_2_PUP_b,4,0
FP_2_PUP_b,5,0
FP_2_PUP_b,6,0
FP_2_PUP_b,7,0
FP_2_PUP_b,8,0
FP_2_PUP_b,9,0
FP_2_PUP_b,10,0
FP_2_PUP_b,11,0
FP_3_PP_a,0,0
FP_3_PP_a,1,0
FP_3_PP_a,2,0
FP_3_PP_a,3,0
FP_3_PP_a,4,0
FP_3_PP_a,5,0
FP_3_PP_a,6,0
FP_3_PP_a,7,0
FP_3_PP_a,8,0
FP_3_PP_a,9,0
FP_3_PP_a,10,0
FP_3_PP_a,11,0
FP_3_PP_b,0,0
FP_3_PP_b,1,0
FP_3_PP_b,2,0
FP_3_PP_b,3,0
FP_3_PP_b,4,0
FP_3_PP_b,5,0
FP_3_PP_b,6,0
FP_3_PP_b,7,0
FP_3_PP_b,8,0
FP_3_PP_b,9,0
FP_3_PP_b,10,0
FP_3_PP_b,11,0
FP_3_PUP_a,0,0
FP_3_PUP_a,1,0
FP_3_PUP_a,2,0
FP_3_PUP_a,3,0
FP_3_PUP_a,4,0
FP_3_PUP_a,5,0
FP_3_PUP_a,6,0
FP_3_PUP_a,7,0
FP_3_PUP_a,8,0
FP_3_PUP_a,9,0
FP_3_PUP_a,10,0
FP_3_PUP_a,11,0
FP_3_PUP_b,0,0
FP_3_PUP_b,1,0
FP_3_PUP_b,2,0
FP_3_PUP_b,3,0
FP_3_PUP_b,4,0
FP_3_PUP_b,5,0
FP_3_PUP_b,6,0
FP_3_PUP_b,7,0
FP_3_PUP_b,8,0
FP_3_PUP_b,9,0
FP_3_PUP_b,10,0
FP_3_PUP_b,11,0
KOERSPLAN_a,0,0
KOERSPLAN_a,1,0
KOERSPLAN_a,2,0
KOERSPLAN_a,3,0
KOERSPLAN_a,4,0
KOERSPLAN_a,5,0
KOERSPLAN_a,6,0
KOERSPLAN_a,7,0
KOERSPLAN_a,8,0
KOERSPLAN_a,9,0
KOERSPLAN_a,10,0
KOERSPLAN_a,11,0
KOERSPLAN_b,0,0
KOERSPLAN_b,1,0
KOERSPLAN_b,2,0
KOERSPLAN_b,3,0
KOERSPLAN_b,4,0
KOERSPLAN_b,5,0
KOERSPLAN_b,6,0
KOERSPLAN_b,7,0
KOERSPLAN_b,8,0
KOERSPLAN_b,9,0
KOERSPLAN_b,10,0
KOERSPLAN_b,11,0
LLH_KBL_a,0,0
LLH_KBL_a,1,0
LLH_KBL_a,2,0
LLH_KBL_a,3,0
LLH_KBL_a,4,0
LLH_KBL_a,5,0
LLH_KBL_a,6,0
LLH_KBL_a,7,0
LLH_KBL_a,8,0
LLH_KBL_a,9,0
LLH_KBL_a,10,0
LLH_KBL_a,11,0
LLH_KBL_b,0,0
LLH_KBL_b,1,0
LLH_KBL_b,2,0
LLH_KBL_b,3,0
LLH_KBL_b,4,0
LLH_KBL_b,5,0
LLH_KBL_b,6,0
LLH_KBL_b,7,0
LLH_KBL_b,8,0
LLH_KBL_b,9,0
LLH_KBL_b,10,0
LLH_KBL_b,11,0
LLH_KBO_a,0,0
LLH_KBO_a,1,0
LLH_KBO_a,2,0
LLH_KBO_a,3,0
LLH_KBO_a,4,0
LLH_KBO_a,5,0
LLH_KBO_a,6,0
LLH_KBO_a,7,0
LLH_KBO_a,8,0
LLH_KBO_a,9,0
LLH_KBO_a,10,0
LLH_KBO_a,11,0
LLH_KBO_b,0,0
LLH_KBO_b,1,0
LLH_KBO_b,2,0
LLH_KBO_b,3,0
LLH_KBO_b,4,0
LLH_KBO_b,5,0
LLH_KBO_b,6,0
LLH_KBO_b,7,0
LLH_KBO_b,8,0
LLH_KBO_b,9,0
LLH_KBO_b,10,0
LLH_KBO_b,11,0
LLI_LIJF_a,0,0
LLI_LIJF_a,1,0
LLI_LIJF_a,2,0
LLI_LIJF_a,3,0
LLI_LIJF_a,4,0
LLI_LIJF_a,5,0
LLI_LIJF_a,6,0
LLI_LIJF_a,7,0
LLI_LIJF_a,8,0
LLI_LIJF_a,9,0
LLI_LIJF_a,10,0
LLI_LIJF_a,11,0
LLI_LIJF_b,0,0
LLI_LIJF_b,1,0
LLI_LIJF_b,2,0
LLI_LIJF_b,3,0
LLI_LIJF_b,4,0
LLI_LIJF_b,5,0
LLI_LIJF_b,6,0
LLI_LIJF_b,7,0
LLI_LIJF_b,8,0
LLI_LIJF_b,9,0
LLI_LIJF_b,10,0
LLI_LIJF_b,11,0
LLJ_KBL_a,0,0
LLJ_KBL_a,1,0
LLJ_KBL_a,2,0
LLJ_KBL_a,3,0
LLJ_KBL_a,4,0
LLJ_KBL_a,5,0
LLJ_KBL_a,6,0
LLJ_KBL_a,7,0
LLJ_KBL_a,8,0
LLJ_KBL_a,9,0
LLJ_KBL_a,10,0
LLJ_KBL_a,11,0
LLJ_KBL_b,0,0
LLJ_KBL_b,1,0
LLJ_KBL_b,2,0
LLJ_KBL_b,3,0
LLJ_KBL_b,4,0
LLJ_KBL_b,5,0
LLJ_KBL_b,6,0
LLJ_KBL_b,7,0
LLJ_KBL_b,8,0
LLJ_KBL_b,9,0
LLJ_KBL_b,10,0
LLJ_KBL_b,11,0
LLJ_KBO_a,0,0
LLJ_KBO_a,1,0
LLJ_KBO_a,2,0
LLJ_KBO_a,3,0
LLJ_KBO_a,4,0
LLJ_KBO_a,5,0
LLJ_KBO_a,6,0
LLJ_KBO_a,7,0
LLJ_KBO_a,8,0
LLJ_KBO_a,9,0
LLJ_KBO_a,10,0
LLJ_KBO_a,11,0
LLJ_KBO_b,0,0
LLJ_KBO_b,1,0
LLJ_KBO_b,2,0
LLJ_KBO_b,3,0
LLJ_KBO_b,4,0
LLJ_KBO_b,5,0
LLJ_KBO_b,6,0
LLJ_KBO_b,7,0
LLJ_KBO_b,8,0
LLJ_KBO_b,9,0
