age,gbv6165,gbv8085,gbm0005nr,gbm0005r,gbv0005nr,gbv0005r,gbv9095,gbv9500,gbm2130,gbm4749,gbm5660,gbm6165,gbm7680,gbm8085,gbv8590,gbm8590,gbm9095,gbm9500,gbm0005,gbm6670,gbm93,gbm2003,gbu2003,gbv93,gbv2003,gbm7680avn,gbm8085avn,gbm8085avnnierop,gbm9095_102,gbm9095avn,gbv8085avn,gbv8085avnnierop,gbv9095_112,f475,m475
39,0.001099464,0.001007918,9.06048E-4,0.001520073,7.24984E-4,0.001149851,0.001003543,9.977E-4,0.003464724,0.002385688,0.002087849,0.002308598,0.001479772,0.001507053,9.77916E-4,0.001371528,0.001549346,0.0013167,0.001167115,0.001885569,7.22185E-4,5.75726E-4,4.5618E-4,5.12972E-4,5.41935E-4,0.00148,0.00151,0.00151,0.00154,0.00155,0.00101,0.00101,0.001,0.0016416,0.0030895
40,0.001196491,0.001105,9.90493E-4,0.001669948,7.96592E-4,0.001272805,0.00109286,0.0011187,0.011081365,0.002561076,0.002266077,0.002511758,0.001741209,0.001665833,0.001074834,0.001552473,0.001681737,0.0014687,0.001298405,0.002148842,7.76248E-4,6.37671E-4,5.0326E-4,5.53568E-4,6.11363E-4,0.00174,0.00167,0.00167,0.00168,0.00168,0.00111,0.00111,0.00109,0.0017478,0.0033172
41,0.001305083,0.001211431,0.001100091,0.001862734,8.92189E-4,0.001435564,0.00119119,0.001233,0.003938154,0.002755319,0.002463205,0.002735577,0.002026596,0.001877498,0.00118099,0.001752682,0.001829961,0.0016212,0.001459109,0.002436296,8.70773E-4,7.10781E-4,5.5676E-4,6.34484E-4,6.89168E-4,0.00203,0.00188,0.00188,0.00182,0.00183,0.00121,0.00121,0.00119,0.0018665,0.0035685
42,0.001426758,0.001328202,0.001234478,0.002098001,9.88123E-4,0.00160043,0.001299109,0.0013673,0.004231172,0.00297061,0.002681383,0.002981962,0.002338088,0.002121926,0.00129727,0.001974446,0.001995729,0.001771,0.00160393,0.002750561,9.85469E-4,7.92497E-4,6.1856E-4,7.2221E-4,7.76154E-4,0.00234,0.00212,0.00212,0.00199,0.002,0.00133,0.00133,0.00129,0.0019993,0.0038457
43,0.001563059,0.001456113,0.001355362,0.002310493,0.001103946,0.001799076,0.001417813,0.0014947,0.004559563,0.003208999,0.002922722,0.003253414,0.002678348,0.002391997,0.001424473,0.002220115,0.002181513,0.0019612,0.00179221,0.003093538,0.001093503,8.82478E-4,6.9092E-4,8.03249E-4,8.72377E-4,0.00268,0.00239,0.00239,0.00218,0.00218,0.00146,0.00146,0.00141,0.0021477,0.0041517
44,0.001715764,0.001596699,0.001512978,0.002585428,0.001246499,0.002043059,0.00154842,0.0016461,0.004881582,0.003473357,0.003189828,0.003552215,0.003049738,0.002690621,0.001563925,0.002492111,0.002389427,0.0021774,0.001984613,0.003468078,0.001188088,9.82745E-4,7.7182E-4,9.04495E-4,9.74493E-4,0.00305,0.00269,0.00269,0.00238,0.00239,0.0016,0.0016,0.00154,0.0023137,0.0044893
45,0.001886785,0.001750803,0.001674144,0.002865933,0.001412979,0.002328196,0.001691861,0.0017871,0.005243512,0.003766228,0.003485297,0.003881276,0.003455169,0.003020501,0.001716468,0.00279336,0.002622062,0.0024149,0.002212645,0.003877172,0.001262189,0.001098532,8.6116E-4,0.001019263,0.001085107,0.00346,0.00302,0.00302,0.00262,0.00262,0.00175,0.00175,0.00169,0.0024992,0.0048619
46,0.002078389,0.001919706,0.001865531,0.003197203,0.001596718,0.002643696,0.0018495,0.001952,0.005749447,0.004090486,0.003812044,0.004243642,0.003897711,0.003384986,0.00188368,0.003126899,0.002882607,0.0026564,0.002435628,0.00432388,0.001413714,0.001222201,9.6064E-4,0.001152906,0.001207697,0.0039,0.00339,0.0034,0.00288,0.00288,0.00192,0.00192,0.00184,0.0027067,0.0052729
47,0.002292897,0.002105233,0.002052938,0.003520131,0.001784806,0.002968077,0.00202294,0.0021196,0.005957669,0.004449998,0.004173653,0.004642624,0.004380837,0.003787791,0.002066664,0.00349621,0.00317425,0.00291,0.002683408,0.004811566,0.00159721,0.001381594,0.0010737,0.001227561,0.001321006,0.00438,0.00379,0.0038,0.00317,0.00317,0.00211,0.00211,0.00202,0.0029386,0.0057264
48,0.00253321,0.002308531,0.002261656,0.00387744,0.001953883,0.003261983,0.002213406,0.0023409,0.006673719,0.004848169,0.004573662,0.005081934,0.004908357,0.004232822,0.002267072,0.003905255,0.003500612,0.0032216,0.002965078,0.005344258,0.001771966,0.001586908,0.00119478,0.001353764,0.001476199,0.00491,0.00423,0.00424,0.0035,0.00351,0.00231,0.00231,0.00221,0.0031979,0.0062268
49,0.002802423,0.002531722,0.002499492,0.004281799,0.002157035,0.003613549,0.002422889,0.0025546,0.007311253,0.005289145,0.005016133,0.00556562,0.005483933,0.004724531,0.002486601,0.004357989,0.003865992,0.0035561,0.003307165,0.005925632,0.002030347,0.0018143,0.00134688,0.00146155,0.001640896,0.00548,0.00472,0.00473,0.00386,0.00388,0.00253,0.00253,0.00242,0.0034878,0.0067788
50,0.003103834,0.002776367,0.002788988,0.004770891,0.002325892,0.003907987,0.002653124,0.0027729,0.007684322,0.005777866,0.005505475,0.006098112,0.006112182,0.005267759,0.0027268,0.004859451,0.004274878,0.00396,0.003651408,0.006560552,0.002391144,0.002045392,0.00153366,0.001630689,0.001828408,0.00611,0.00527,0.00528,0.00427,0.00428,0.00278,0.00278,0.00265,0.0038118,0.0073877
51,0.00344129,0.003044714,0.003081227,0.005259924,0.002515182,0.004236524,0.002906217,0.0030123,0.008640581,0.006319151,0.006046827,0.006684279,0.006797897,0.005868009,0.00299,0.005414357,0.004732523,0.0043632,0.004055079,0.007253753,0.002784454,0.002263501,0.00174668,0.001804296,0.002023991,0.0068,0.00587,0.00589,0.00473,0.00474,0.00304,0.00304,0.0029,0.004174,0.0080594
52,0.003819317,0.003339097,0.003448747,0.00587146,0.002675993,0.00451638,0.00318425,0.003244,0.00922165,0.006918624,0.006645473,0.0073296,0.007546331,0.00653099,0.003277996,0.006028945,0.005244683,0.0048079,0.004426689,0.008010441,0.003195909,0.002508702,0.0019645,0.002035112,0.002247003,0.00755,0.00653,0.00655,0.00524,0.00525,0.00334,0.00335,0.00318,0.0045789,0.0088003
53,0.00424265,0.003661948,0.003768617,0.006394788,0.002881614,0.004870712,0.003490015,0.0035004,0.010133201,0.007582579,0.007307672,0.008039923,0.008362954,0.007263231,0.003593501,0.006709063,0.005817903,0.0053494,0.004890114,0.008836376,0.00370257,0.002828607,0.00217648,0.00233332,0.002368997,0.00836,0.00726,0.00728,0.00581,0.00584,0.00366,0.00367,0.00349,0.0050315,0.0096175
54,0.004716586,0.004016026,0.004197151,0.007093964,0.003120186,0.005279276,0.003826003,0.0037888,0.011159974,0.008318079,0.008039889,0.008821774,0.009254083,0.008072306,0.003938824,0.007461947,0.00645918,0.0059292,0.00541243,0.009737978,0.00425385,0.003184899,0.00241168,0.002670264,0.0024466,0.00925,0.00807,0.0081,0.00645,0.00648,0.00402,0.00403,0.00382,0.0055374,0.0105187
55,0.005247259,0.004404444,0.004683882,0.007880756,0.003408712,0.005770425,0.004195147,0.0040949,0.012039398,0.009132289,0.008849547,0.009682244,0.010226353,0.00896556,0.004316923,0.008295289,0.007176925,0.0065635,0.005957357,0.010721777,0.004969132,0.0035958,0.00271228,0.002387641,0.002700005,0.01023,0.00897,0.00901,0.00717,0.0072,0.0044,0.00441,0.00419,0.0061028,0.0115124
56,0.005841513,0.004830274,0.005198464,0.008701755,0.003701169,0.006265668,0.004601065,0.004423,0.013248699,0.010034062,0.009744839,0.010629237,0.011287168,0.009952196,0.004730813,0.00921758,0.007979703,0.0072337,0.006594707,0.011795653,0.005790934,0.004121399,0.0030218,0.002645553,0.002966604,0.01129,0.00995,0.01,0.00797,0.00801,0.00483,0.00484,0.0046,0.0067346,0.0126082
57,0.006506779,0.00529721,0.005802834,0.00965803,0.004010789,0.006786663,0.005046936,0.0047935,0.014690551,0.01103254,0.01073466,0.011671283,0.012444297,0.011041731,0.005184013,0.010238064,0.008878014,0.0080281,0.007300692,0.012967316,0.006512406,0.004747802,0.00336596,0.003000173,0.003299795,0.01244,0.01104,0.0111,0.00887,0.00892,0.0053,0.00531,0.00504,0.0074407,0.0138163
58,0.007251512,0.00580951,0.00647785,0.010713947,0.004368262,0.007384491,0.005536903,0.0052789,0.015927091,0.012137901,0.011828902,0.012817831,0.013706596,0.01224452,0.005680162,0.011367482,0.009882762,0.0089605,0.008032821,0.014245935,0.007399449,0.005477391,0.00383704,0.003298202,0.003722303,0.01371,0.01224,0.01231,0.00988,0.00993,0.00581,0.00583,0.00553,0.0082296,0.0151481
59,0.008085122,0.00637098,0.007186887,0.011805642,0.004780154,0.008069161,0.00607549,0.0057812,0.01732589,0.013361475,0.01303833,0.014079234,0.015083307,0.013572448,0.006223164,0.012616661,0.011006584,0.0099706,0.008900995,0.015640627,0.008399952,0.006168008,0.00439164,0.003623011,0.004168997,0.01508,0.01357,0.01366,0.011,0.01107,0.00637,0.00639,0.00607,0.0091111,0.0166161
60,0.009018152,0.006986725,0.008029469,0.013092779,0.005211296,0.008780073,0.006667129,0.0063349,0.019084786,0.01471579,0.014375187,0.015466753,0.016584604,0.015038229,0.006817558,0.013998893,0.01226338,0.0111826,0.009815512,0.017162169,0.009374022,0.006888991,0.0050418,0.003881237,0.004708997,0.01658,0.01504,0.01514,0.01226,0.01233,0.00699,0.00701,0.00666,0.0100959,0.0182338
61,0.010062276,0.007661837,0.008926686,0.014441307,0.005698842,0.009578498,0.007317278,0.0069577,0.02063036,0.016214655,0.015852347,0.016992964,0.018221607,0.016655954,0.007468153,0.015527475,0.013668673,0.0125602,0.010875593,0.018821741,0.010456689,0.007787006,0.00567886,0.004172356,0.005325003,0.01822,0.01666,0.01679,0.01366,0.01376,0.00766,0.00769,0.00731,0.011196,0.0200164
62,0.011230785,0.008402004,0.009970096,0.015994444,0.006155468,0.010316338,0.008031436,0.0076009,0.022577406,0.017872928,0.017484459,0.018671243,0.020006181,0.018441144,0.008180313,0.017217988,0.015239695,0.0141538,0.012028546,0.020631414,0.011737637,0.008823002,0.006345,0.00446299,0.006076003,0.02001,0.01844,0.0186,0.01523,0.01535,0.0084,0.00843,0.00803,0.0124247,0.0219803
63,0.012538249,0.009213272,0.011113572,0.01767134,0.006745548,0.011267575,0.008815982,0.0082966,0.025102881,0.019707666,0.01928755,0.020516732,0.021951711,0.020410734,0.008959494,0.01908728,0.016996033,0.0159307,0.01335922,0.022604565,0.013329262,0.009964991,0.0071714,0.004822742,0.006635,0.02195,0.02041,0.0206,0.01699,0.01713,0.00921,0.00925,0.00881,0.0137969,0.0241434
64,0.014000669,0.010102815,0.012437359,0.019592572,0.007389913,0.01229708,0.009677962,0.0091799,0.028004141,0.021736926,0.021279122,0.022545414,0.02407185,0.022583086,0.009812425,0.02115359,0.018958737,0.0179077,0.014925786,0.024755736,0.015162079,0.011196008,0.00812342,0.005183146,0.007743998,0.02407,0.02258,0.02282,0.01895,0.01913,0.0101,0.01015,0.00967,0.015329,0.0265256
65,0.015636514,0.011077624,0.014084585,0.021971904,0.008112356,0.01344197,0.010624774,0.010118,0.030900614,0.023981173,0.023478297,0.024775166,0.026382185,0.024979053,0.010745476,0.02343736,0.02115161,0.0199477,0.01664809,0.02710046,0.014003943,0.012675999,0.00918726,0.005652041,0.008760995,0.02638,0.02498,0.02527,0.02115,0.02136,0.01108,0.01114,0.01062,0.0170396,0.0291482
66,0.017465923,0.012146091,0.015819776,0.024429339,0.008917712,0.01470721,0.011664526,0.0111779,0.033286697,0.026462138,0.025906283,0.027225395,0.028898984,0.027620395,0.011766651,0.025961054,0.023601113,0.0221663,0.01862399,0.0296552,0.015812061,0.014221501,0.0102838,0.006225594,0.009737606,0.0289,0.02762,0.02798,0.0236,0.02386,0.01215,0.01222,0.01166,0.0189488,0.0320349
67,0.019511241,0.013317067,0.01792071,0.02738362,0.009887108,0.016222551,0.01280643,0.0123985,0.037045963,0.029204676,0.028586143,0.02991718,0.031640307,0.030532063,0.012883628,0.028748732,0.026336627,0.0246222,0.02077604,0.032438786,0.017911195,0.015720795,0.01168962,0.006796979,0.010958994,0.03164,0.03053,0.03097,0.02633,0.02666,0.01332,0.0134,0.0128,0.0210794,0.0352112
68,0.021797437,0.014600043,0.020001366,0.030232298,0.011056349,0.018040693,0.014060335,0.0137415,0.040619187,0.032234881,0.031543225,0.032873559,0.034625172,0.033740242,0.014105722,0.031827432,0.029390432,0.027263,0.023119092,0.035470637,0.02028862,0.017490101,0.01312946,0.007552174,0.011905802,0.03463,0.03374,0.03427,0.02939,0.02979,0.0146,0.0147,0.01406,0.0234564,0.0387051
69,0.024352316,0.016005713,0.022516012,0.033654095,0.012359101,0.020046845,0.015437058,0.0151897,0.044054208,0.035582188,0.034805102,0.036119711,0.037874681,0.037274349,0.015442267,0.035226186,0.032798152,0.0300849,0.025916003,0.038771679,0.022755509,0.019586301,0.0145241,0.008346311,0.0128714,0.03787,0.03727,0.03792,0.03279,0.0333,0.01601,0.01613,0.01543,0.0261077,0.042547
70,0.027206464,0.017545661,0.02537925,0.037500371,0.013861175,0.022341288,0.016948416,0.0168028,0.049316016,0.039278568,0.038402189,0.039682664,0.041411054,0.041165728,0.016904093,0.038977062,0.036599729,0.0333654,0.028979089,0.042365061,0.025512741,0.022054305,0.01618396,0.009248801,0.014043398,0.04141,0.04117,0.04197,0.03659,0.03723,0.01755,0.01769,0.01694,0.0290639,0.0467698
71,0.030394047,0.020133213,0.028524921,0.041656343,0.01557113,0.024929615,0.018607407,0.0186149,0.054561199,0.043358374,0.042367194,0.043592057,0.045258008,0.045841196,0.018502625,0.043115011,0.040838579,0.0370281,0.032273423,0.046275477,0.028800536,0.024793401,0.0180502,0.010340609,0.014897109,0.04526,0.04584,0.04683,0.04083,0.04163,0.02013,0.02032,0.0186,0.032359,0.0514094
72,0.033952339,0.023160045,0.03183908,0.045943034,0.017320204,0.027534722,0.020427953,0.0205523,0.05932148,0.047859752,0.046736017,0.047879975,0.049442232,0.049488484,0.020250509,0.047677799,0.045562506,0.0410862,0.035946918,0.050529124,0.032643321,0.028200789,0.02021772,0.011596279,0.016249191,0.04944,0.04949,0.05065,0.04556,0.04654,0.02316,0.02341,0.02042,0.0360305,0.0565043
73,0.037923253,0.026470285,0.035536452,0.05065822,0.019344551,0.030525724,0.022425756,0.0226947,0.064938419,0.052823969,0.051547476,0.05258064,0.053990576,0.05350411,0.022814048,0.052795932,0.049652381,0.0456064,0.03996622,0.055154454,0.036424035,0.031978309,0.0226434,0.013012576,0.018049699,0.05399,0.0535,0.05486,0.04965,0.05082,0.02647,0.0268,0.02242,0.0401196,0.0620963
74,0.042352282,0.030089074,0.039493326,0.055609027,0.021643595,0.033890019,0.025490743,0.0253389,0.071647702,0.058295178,0.056843813,0.057731806,0.058933284,0.057922997,0.026541472,0.057259556,0.053962435,0.0505292,0.04451038,0.06018137,0.040987244,0.036317701,0.02554004,0.014794411,0.020087509,0.05893,0.05792,0.05952,0.05396,0.05534,0.03009,0.03051,0.02549,0.0446717,0.0682302
75,0.047289713,0.034043641,0.043966808,0.0611413,0.024234306,0.037641861,0.029441289,0.0282957,0.079026463,0.064321982,0.062670457,0.063373342,0.064301674,0.062783806,0.030607784,0.062179316,0.058764875,0.0559742,0.049439679,0.065642913,0.046072775,0.0413719,0.0288324,0.016653611,0.0225615,0.0643,0.06278,0.06466,0.05876,0.0604,0.03404,0.03458,0.02944,0.0497365,0.0749543
76,0.052790764,0.038363901,0.048818903,0.067041625,0.027138444,0.041801696,0.033765743,0.0316895,0.08717893,0.07095619,0.069076577,0.069548666,0.070129542,0.068127408,0.035041639,0.067598912,0.064113222,0.0617672,0.054850498,0.071572914,0.05209779,0.046878592,0.03266418,0.019044206,0.025668894,0.07013,0.06813,0.07035,0.06411,0.06607,0.03836,0.03905,0.03376,0.0553683,0.08232
77,0.058915554,0.043081545,0.054145223,0.073423761,0.030685716,0.046858824,0.038497985,0.0358034,0.09622549,0.078253895,0.076114924,0.07630344,0.076453143,0.07399908,0.0398746,0.073565556,0.070065486,0.0682287,0.060940496,0.078008164,0.058249654,0.052804206,0.03711494,0.021869691,0.028530198,0.07645,0.074,0.07664,0.07006,0.07243,0.04308,0.04395,0.03849,0.0616264,0.0903821
78,0.06573015,0.048230656,0.06014133,0.080530061,0.03440708,0.052076231,0.043673884,0.0404514,0.104144553,0.086274856,0.083841808,0.083687372,0.083310043,0.080446464,0.045139988,0.08013019,0.076685507,0.0752627,0.067746578,0.084987378,0.065240532,0.059144305,0.04201518,0.025266676,0.031910111,0.08331,0.08045,0.08358,0.07668,0.07953,0.04823,0.04933,0.04367,0.0685755,0.0991989
79,0.073305488,0.053847881,0.066844033,0.088381476,0.038841896,0.058253534,0.049332349,0.0457926,0.115134484,0.095082536,0.092317398,0.091752374,0.090740346,0.087520843,0.050873711,0.087347867,0.084041774,0.0831011,0.075231885,0.092551903,0.072912865,0.066059385,0.04737722,0.029301169,0.035965589,0.09074,0.08752,0.09124,0.08404,0.08746,0.05385,0.05523,0.04933,0.0762852,0.1088317
80,0.081718924,0.059972732,0.074217596,0.096903676,0.043894921,0.06521863,0.055514441,0.0519926,0.12738785,0.104745031,0.101605481,0.100553735,0.098786368,0.0952777,0.057113879,0.09527645,0.092208782,0.0919937,0.083524466,0.100743836,0.082051005,0.074217316,0.0530215,0.033963681,0.040189202,0.09879,0.09528,0.09971,0.0922,0.09635,0.05997,0.06168,0.05551,0.084831,0.1193447
81,0.091053437,0.06664668,0.082389306,0.106236877,0.049708418,0.073153825,0.062264896,0.0590727,0.137027027,0.115332713,0.111773586,0.110150117,0.107492542,0.103775351,0.063901158,0.103978499,0.101267139,0.1012301,0.092247021,0.109609024,0.090211595,0.083336088,0.05922952,0.038851416,0.047002906,0.10749,0.10378,0.10907,0.10126,0.1063,0.06665,0.06878,0.06226,0.0942937,0.1308051
82,0.101398087,0.073914299,0.090988114,0.115880884,0.056565934,0.082439524,0.069630651,0.0667285,0.146978275,0.126921139,0.122891842,0.120601982,0.11690432,0.113075904,0.071278801,0.113520406,0.111302104,0.1109964,0.101915346,0.119193405,0.098386593,0.091854004,0.06656696,0.044397354,0.053645296,0.1169,0.11308,0.1194,0.1113,0.11742,0.07391,0.07654,0.06963,0.1047594,0.1432819
83,0.112846745,0.081822624,0.100524564,0.126469707,0.063994464,0.092348895,0.07766204,0.0755184,0.161589825,0.139586817,0.135033648,0.131972777,0.127070084,0.12324386,0.079292477,0.123971167,0.122405374,0.1212881,0.112308988,0.129547079,0.108594152,0.101709595,0.07470674,0.050866232,0.061493607,0.12707,0.12324,0.1308,0.1224,0.12987,0.08182,0.08506,0.07766,0.1163193,0.156846
84,0.125499525,0.090421337,0.110782696,0.137705975,0.072544814,0.103643889,0.08641181,0.0854112,0.17921875,0.153409099,0.148274277,0.144327782,0.138038732,0.134347899,0.087989744,0.135403227,0.134672817,0.1324178,0.124165992,0.140717812,0.119873069,0.112582509,0.08288384,0.057655676,0.070995898,0.13804,0.13435,0.14341,0.13467,0.14378,0.09042,0.0944,0.08641,0.1290694,0.1715687
85,0.139459373,0.099762796,0.122492519,0.150469839,0.082295929,0.11638916,0.095935573,0.0962656,0.189632353,0.168468975,0.162691158,0.15773345,0.14986015,0.146459255,0.097421118,0.147893481,0.148205173,0.1447875,0.136399751,0.152758634,0.129350996,0.123920599,0.0920966,0.066278568,0.081781095,0.14986,0.14646,0.15732,0.1482,0.15935,0.09976,0.10464,0.09593,0.1431093,0.1875214
86,0.154833719,0.109900673,0.134583654,0.163417435,0.093065392,0.130279648,0.106291465,0.1082008,0.207445483,0.184846586,0.178361233,0.172256804,0.16258564,0.159649205,0.107638667,0.16151698,0.16310617,0.1578614,0.149954255,0.165719329,0.136699483,0.136612813,0.10236478,0.075438806,0.093383291,0.16259,0.15965,0.17268,0.1631,0.17675,0.1099,0.11586,0.10629,0.1585414,0.2047735
87,0.171731007,0.12089237,0.147990111,0.177673368,0.105091798,0.145604184,0.117540285,0.1215395,0.22645749,0.202620621,0.195360703,0.187965126,0.176265743,0.173992115,0.118696865,0.176354841,0.179481562,0.1720608,0.165112669,0.179651768,0.146743446,0.151275981,0.1133356,0.086034265,0.106690899,0.17627,0.17399,0.18963,0.17948,0.1962,0.12089,0.12816,0.11754,0.1754693,0.2233912
88,0.190259233,0.132794954,0.162993656,0.193541191,0.11810928,0.161947641,0.129744121,0.136463,0.242075472,0.221867487,0.213763534,0.204922114,0.190950539,0.189562437,0.130650573,0.192484018,0.197436922,0.1876069,0.180464735,0.194606851,0.15911124,0.16712401,0.12564662,0.098018984,0.123508407,0.19095,0.18956,0.20835,0.19743,0.21795,0.1328,0.14164,0.12974,0.1939956,0.2434358
89,0.210524085,0.145668683,0.178204167,0.20935068,0.132525023,0.179823474,0.142965884,0.152662,0.256739927,0.242655161,0.233638385,0.223191514,0.206690255,0.206432459,0.143556668,0.209981444,0.217074088,0.203892,0.196260576,0.2106341,0.169660949,0.18152491,0.1396973,0.112171577,0.138436993,0.20609,0.20643,0.229,0.21707,0.24223,0.14567,0.15641,0.14296,0.21422,0.2649609
90,0.23262495,0.159572469,0.193870971,0.225408963,0.148231456,0.199033132,0.15727064,0.1697596,0.273248731,0.265044826,0.255049213,0.242829849,0.223529775,0.224672079,0.157472513,0.228921082,0.238493492,0.2204651,0.21351797,0.227777198,0.180265619,0.194370187,0.1550376,0.126193509,0.158597011,0.22353,0.22467,0.25179,0.23849,0.26938,0.15957,0.17259,0.15727,0.2362352,0.2880098
91,0.256649265,0.174566703,0.211001821,0.242885683,0.165303781,0.219628135,0.17272252,0.1877616,0.303453237,0.289088671,0.278044274,0.263889093,0.241511903,0.244345856,0.172453647,0.24937092,0.261781721,0.2361715,0.232163552,0.246079955,0.200306293,0.211802157,0.16992146,0.14069059,0.176300307,0.24151,0.24435,0.27693,0.26178,0.29971,0.17457,0.19033,0.17272,0.2601238,0.3126129
92,0.282670618,0.190709589,0.22952644,0.261679136,0.182789255,0.240306349,0.18938315,0.2067754,0.320638298,0.314813843,0.302667773,0.286406122,0.260677122,0.265512847,0.18855633,0.271392046,0.287012415,0.2513534,0.250848646,0.265581,0.222306771,0.230826517,0.18318338,0.156568891,0.194760885,0.26068,0.26551,0.30465,0.28701,0.33356,0.19071,0.20974,0.18938,0.2859531,0.3387838
93,0.310741098,0.20805763,0.248113008,0.280269735,0.202144993,0.262952565,0.207313242,0.2270662,0.318870968,0.342245798,0.328938249,0.310414855,0.281050579,0.288222528,0.205832948,0.295027959,0.314241709,0.2692017,0.269187487,0.286305888,0.246387307,0.248101182,0.20116122,0.173926977,0.214695705,0.28105,0.28822,0.33522,0.31424,0.37136,0.20806,0.23102,0.20731,0.3137701,0.3665159
94,0.340883501,0.226661934,0.266380597,0.29825851,0.221869487,0.285569817,0.226568547,0.2490304,0.321707317,0.371356718,0.356859383,0.335925341,0.302664233,0.31250831,0.224334033,0.320317816,0.343495703,0.2900777,0.290180303,0.308284116,0.272665387,0.272122223,0.21992126,0.192863258,0.237418827,0.30267,0.31251,0.36892,0.34349,0.41354,0.22666,0.2543,0.22656,0.3435946,0.395778
95,0.373088761,0.246571551,0.287299508,0.318980909,0.243566046,0.310195983,0.247198105,0.2704802,0.38962963,0.402123719,0.386402198,0.362935406,0.325527105,0.338393703,0.244101117,0.347277744,0.374776168,0.312863,0.310150671,0.331513313,0.301238976,0.285836593,0.23743302,0.213474201,0.256686711,0.32553,0.33839,0.40605,0.37477,0.46056,0.24657,0.27981,0.24719,0.375413,0.4265105
96,0.407300894,0.267825727,0.307230383,0.338386827,0.263423147,0.331966483,0.269244667,0.2911747,0.35625,0.434471934,0.417522549,0.391419702,0.349638422,0.365866729,0.2651746,0.37588538,0.408028172,0.3360742,0.332410858,0.356010442,0.3356822,0.30616751,0.26063758,0.23833942,0.275942007,0.34964,0.36587,0.44696,0.40802,0.51301,0.26783,0.30773,0.26924,0.4091705,0.4586213
97,0.443422781,0.290453607,0.329454344,0.360117214,0.284826305,0.355187798,0.292738743,0.3139476,0.485,0.468266141,0.450111617,0.421325843,0.374988497,0.394911114,0.287579177,0.406120667,0.443166416,0.3595433,0.356997239,0.381728661,0.373264995,0.326930104,0.27615306,0.265575035,0.299681431,0.37499,0.39492,0.49202,0.44316,0.57144,0.29045,0.33827,0.29273,0.4447632,0.4919817
98,0.481263847,0.314479019,0.354009054,0.384187538,0.303967676,0.375123469,0.317699052,0.3380428,0.382,0.503399492,0.484069887,0.452564949,0.401550844,0.425484371,0.311337838,0.437893018,0.48007032,0.3817982,0.372866296,0.408700791,0.414071242,0.345532492,0.29627094,0.295326623,0.321344348,0.40155,0.42548,0.54162,0.48007,0.63652,0.31448,0.3717,0.31769,0.482031,0.5264232
99,0.520612813,0.339897367,0.369939212,0.398767635,0.323869447,0.395569814,0.344120717,0.3614389,0.313333333,0.539621076,0.519223108,0.484996808,0.429268493,0.457458564,0.336449262,0.471112403,0.518434228,0.4005286,0.386313134,0.436777233,0.458200048,0.358031003,0.31673176,0.327727238,0.351086717,0.42927,0.45747,0.59619,0.51843,0.70894,0.3399,0.40826,0.34412,0.5207507,0.5617349
100,0.561204726,0.366706715,0.383481508,0.410742104,0.344882559,0.416949941,0.371995175,0.3838188,0.485,0.576449384,0.555210276,0.518595041,0.458078885,0.490753564,0.362898331,0.505631352,0.558061032,0.415944,0.413295869,0.46590621,0.50563976,0.367985174,0.33636438,0.362897772,0.358127938,0.45807,0.49076,0.65621,0.55806,0.78948,0.36671,0.44824,0.37199,0.5606309,0.5976629
101,0.602516001,0.394864101,0.410479751,0.437042477,0.372372623,0.445675553,0.40126821,0.4052753,0.485,0.614184397,0.591988822,0.553075823,0.487869548,0.525195969,0.390662124,0.541211335,0.598533456,0.4274793,0.431709752,0.496124031,0.541176471,0.387928961,0.3506962,0.390663287,0.373283949,0.48787,0.52519,0.7222,0.59853,0.87899,0.39487,0.49194,0.40126,0.6013092,0.6339102
