name,comment,number,value
Run costs - 2025,IBM costs input,620,5522918.164
Run costs - 2026,IBM costs input,621,4915863.015
Run costs - 2027,IBM costs input,622,4725451.414
Run costs - 2028,IBM costs input,623,4230996.728
Run costs - 2029,IBM costs input,624,4009061.513
Run costs - 2030,IBM costs input,625,3953866.578
Run costs - 2031,IBM costs input,626,3637041.486
Run costs - 2032,IBM costs input,627,3568129.794
Run costs - 2033,IBM costs input,628,3280542.213
Run costs - 2034,IBM costs input,629,3156621.952
Run costs - 2035,IBM costs input,630,3349879.188
Run costs - 2036,IBM costs input,631,3026775.979
Run costs - 2037,IBM costs input,632,2932955.435
Run costs - 2038,IBM costs input,633,2971805.43
Run costs - 2039,IBM costs input,634,3297171.287
Run costs - 2040,IBM costs input,635,0
Run costs - 2041,IBM costs input,636,0
Run costs - 2042,IBM costs input,637,0
Run costs - 2043,IBM costs input,638,0
Run costs - 2044,IBM costs input,639,0
Run costs - 2045,IBM costs input,640,0
Run costs - 2046,IBM costs input,641,0
Run costs - 2047,IBM costs input,642,0
Run costs - 2048,IBM costs input,643,0
Run costs - 2049,IBM costs input,644,0
Run costs - 2050,IBM costs input,645,0
Run costs - 2051,IBM costs input,646,0
Run costs - 2052,IBM costs input,647,0
Run costs - 2053,IBM costs input,648,0
Run costs - 2054,IBM costs input,649,0
Run costs - 2055,IBM costs input,650,0
Run costs - 2056,IBM costs input,651,0
Run costs - 2057,IBM costs input,652,0
Run costs - 2058,IBM costs input,653,0
Run costs - 2059,IBM costs input,654,0
Run costs - 2060,IBM costs input,655,0
Run costs - 2061,IBM costs input,656,0
Run costs - 2062,IBM costs input,657,0
Run costs - 2063,IBM costs input,658,0
Run costs - 2064,IBM costs input,659,0
Run costs - 2065,IBM costs input,660,0
Run costs - 2066,IBM costs input,661,0
Run costs - 2067,IBM costs input,662,0
Run costs - 2068,IBM costs input,663,0
Run costs - 2069,IBM costs input,664,0
Run costs - 2070,IBM costs input,665,0
Run costs - 2071,IBM costs input,666,0
Run costs - 2072,IBM costs input,667,0
Run costs - 2073,IBM costs input,668,0
Run costs - 2074,IBM costs input,669,0
Run costs - 2075,IBM costs input,670,0
Run costs - 2076,IBM costs input,671,0
Run costs - 2077,IBM costs input,672,0
Run costs - 2078,IBM costs input,673,0
Run costs - 2079,IBM costs input,674,0
Run costs - 2080,IBM costs input,675,0
Run costs - 2081,IBM costs input,676,0
Run costs - 2082,IBM costs input,677,0
Run costs - 2083,IBM costs input,678,0
Run costs - 2084,IBM costs input,679,0
Run costs - 2085,IBM costs input,680,0
Run costs - 2086,IBM costs input,681,0
Run costs - 2087,IBM costs input,682,0
Run costs - 2088,IBM costs input,683,0
Run costs - 2089,IBM costs input,684,0
Run costs - 2090,IBM costs input,685,0
Run costs - 2091,IBM costs input,686,0
Run costs - 2092,IBM costs input,687,0
Run costs - 2093,IBM costs input,688,0
Run costs - 2094,IBM costs input,689,0
Run costs - 2095,IBM costs input,690,0
Run costs - 2096,IBM costs input,691,0
Run costs - 2097,IBM costs input,692,0
Run costs - 2098,IBM costs input,693,0
Run costs - 2099,IBM costs input,694,0
Run costs - 2100,IBM costs input,695,0
Run costs - 2101,IBM costs input,696,0
Run costs - 2102,IBM costs input,697,0
Cost per policy - MoSes,SF,,47.81
