runkey,scenarioname,type,maturityidentifier,rate,sortcol
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,71M,0.026818768692,71
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,72M,0.026840481655,72
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,73M,0.026861353777,73
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,74M,0.026885276082,74
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,75M,0.026911789387,75
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,76M,0.026940916601,76
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,77M,0.02697268084,77
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,78M,0.027007105431,78
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,79M,0.027044213927,79
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,80M,0.027084030106,80
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,81M,0.027126577985,81
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,82M,0.027171881829,82
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,83M,0.027219966153,83
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,84M,0.02727085574,84
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,85M,0.027312100071,85
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,86M,0.027344332376,86
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,87M,0.02738036429,87
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,88M,0.027420230086,88
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,89M,0.027463964391,89
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,90M,0.027511602202,90
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,91M,0.027563178904,91
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,92M,0.027618730282,92
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,93M,0.027678292545,93
