RunName,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0016_2023M03_Base-GH_IFRS_QtD_Interest-GH_CALIB_T_Base-LV30Y_QtD_RNB-IFRS_QtD_EndValue-IFRS_QtD_GovernmentSpread,57.11,20.09630487,34.86627107,38.64,9.85,23.69,22.6,9.85,1,1,1,23.69,31.22,1,1,1,1,1,1,1,1,21.54,18.28,9.85,14.29,14.29,1,1,1,1,1,1,1,1,1,1,1,1,1
0017_2023M03_Base-GH_IFRS_QtD_Interest-GH_CALIB_T_Base-LV30Y_QtD_RNB-IFRS_QtD_EndValue-IFRS_QtD_CreditSpread,57.11,20.09630487,34.88649908,38.64,9.85,23.69,22.6,9.85,1,1,1,23.69,31.22,1,1,1,1,1,1,1,1,21.54,18.28,9.85,14.29,14.29,1,1,1,1,1,1,1,1,1,1,1,1,1
0018_2023M03_Base-GH_IFRS_QtD_Interest-GH_CALIB_T_Base-LV30Y_QtD_RNB-IFRS_QtD_EndValue-IFRS_QtD_OtherFI,57.11,20.09630487,34.9664212,38.64,9.85,23.69,22.6,9.85,1,1,1,23.69,31.22,1,1,1,1,1,1,1,1,21.54,18.28,9.85,14.29,14.29,1,1,1,1,1,1,1,1,1,1,1,1,1
0019_2023M03_Base-GH_IFRS_QtD_Interest-GH_CALIB_T_Base-LV30Y_QtD_RNB-IFRS_QtD_EndValue-IFRS_QtD_Equities,61.04777238,20.09630487,35.64610274,38.64,9.85,23.69,22.6,9.85,1,1,1,23.69,31.22,1,1,1,1,1,1,1,1,21.54,18.28,9.85,14.29,14.29,1,1,1,1,1,1,1,1,1,1,1,1,1
0020_2023M03_Base-GH_IFRS_QtD_Interest-GH_CALIB_T_Base-LV30Y_QtD_RNB-IFRS_QtD_EndValue-IFRS_QtD_Commodities,61.04777238,20.09630487,35.57889812,38.64,9.85,23.69,22.6,9.85,1,1,1,23.69,31.22,1,1,1,1,1,1,1,1,21.54,18.28,9.85,14.29,14.29,1,1,1,1,1,1,1,1,1,1,1,1,1
0021_2023M03_Base-GH_IFRS_QtD_Interest-GH_CALIB_T_Base-LV30Y_QtD_RNB-IFRS_QtD_EndValue-IFRS_QtD_RealEstate,61.04777238,20.09630487,35.55843489,38.64,9.85,23.69,22.6,9.85,1,1,1,23.69,31.22,1,1,1,1,1,1,1,1,21.54,18.28,9.85,14.29,14.29,1,1,1,1,1,1,1,1,1,1,1,1,1
0022_2023M03_Base-GH_IFRS_QtD_Interest-GH_CALIB_T_Base-LV30Y_QtD_RNB-IFRS_QtD_EndValue-IFRS_QtD_OthernonFI,61.04777238,20.09630487,35.55843489,38.64,9.85,23.69,22.6,9.85,1,1,1,23.69,31.22,1,1,1,1,1,1,1,1,21.54,18.28,9.85,14.29,14.29,1,1,1,1,1,1,1,1,1,1,1,1,1
0023_2023M03_Base-GH_IFRS_QtD_Interest-GH_CALIB_T_Base-LV30Y_QtD_RNB-IFRS_QtD_EndValue-IFRS_QtD_TacticalAllocations,61.04777238,20.09630487,35.55843489,38.64,9.85,23.69,22.6,9.85,1,1,1,23.69,31.22,1,1,1,1,1,1,1,1,21.54,18.28,9.85,14.29,14.29,1,1,1,1,1,1,1,1,1,1,1,1,1
0024_2023M03_Base-GH_IFRS_QtD_Interest-GH_CALIB_T_Base-LV30Y_QtD_RNB-IFRS_QtD_EndValue-IFRS_QtD_ActualFundPerformance,61.04777238,20.09630487,35.58298522,38.64,9.85,23.69,22.6,9.85,1,1,1,23.69,31.22,1,1,1,1,1,1,1,1,21.54,18.28,9.85,14.29,14.29,1,1,1,1,1,1,1,1,1,1,1,1,1
0025_2023M03_Base-GH_IFRS_QtD_Interest-GH_CALIB_T_Base-LV30Y_QtD_RNB-IFRS_QtD_VE_hedged-IFRS_QtD_ActualFundPerformance,61.04777238,20.09630487,35.58298522,38.64,9.85,23.69,22.6,9.85,1,1,1,23.69,31.22,1,1,1,1,1,1,1,1,21.54,18.28,9.85,14.29,14.29,1,1,1,1,1,1,1,1,1,1,1,1,1
0026_2023M03_Base-GH_IFRS_QtD_Interest-GH_CALIB_T_Base-LV30Y_QtD_RNB-IFRS_QtD_VE_east-IFRS_QtD_ActualFundPerformance,61.04777238,20.09630487,35.58298522,38.64,9.85,23.69,22.6,9.85,1,1,1,23.69,31.22,1,1,1,1,1,1,1,1,21.54,18.28,9.85,14.29,14.29,1,1,1,1,1,1,1,1,1,1,1,1,1
0027_2023M03_Base-GH_IFRS_QtD_Interest-GH_CALIB_T_Base-LV30Y_QtD_RNB-IFRS_QtD_Other_vols-IFRS_QtD_ActualFundPerformance,61.04777238,20.09630487,35.58298522,38.64,9.85,23.69,22.6,9.85,1,1,1,23.69,31.22,1,1,1,1,1,1,1,1,21.54,18.28,9.85,14.29,14.29,1,1,1,1,1,1,1,1,1,1,1,1,1
0028_2023M03_Base-GH_IFRS_QtD_Interest-GH_CALIB_T_Base-LV30Y_QtD_Correlation-IFRS_QtD_Correlation-IFRS_QtD_ActualFundPerformance,61.04777238,20.09630487,35.58298522,38.64,9.85,23.69,22.6,9.85,1,1,1,23.69,31.22,1,1,1,1,1,1,1,1,21.54,18.28,9.85,14.29,14.29,1,1,1,1,1,1,1,1,1,1,1,1,1
0029_2023M03_Base-GH_IFRS_QtD_Interest-GH_CALIB_T_Base-LV30Y_QtD_Correlation-IFRS_QtD_OCS-IFRS_QtD_ActualFundPerformance,61.04777238,20.09630487,35.58298522,38.64,9.85,23.69,22.6,9.85,1,1,1,23.69,31.22,1,1,1,1,1,1,1,1,21.54,18.28,9.85,14.29,14.29,1,1,1,1,1,1,1,1,1,1,1,1,1
0030_2023M03_Base-GH_IFRS_QtD_Interest-GH_CALIB_T_Base-LV30Y_QtD_RefX0-IFRS_QtD_OCS-IFRS_QtD_ActualFundPerformance,61.04777238,20.09630487,35.58298522,38.64,9.85,23.69,22.6,9.85,1,1,1,23.69,31.22,1,1,1,1,1,1,1,1,21.54,18.28,9.85,14.29,14.29,1,1,1,1,1,1,1,1,1,1,1,1,1
0031_2023M03_Base-GH_IFRS_QtD_Cashflows-GH_CALIB_T_Base-LV30Y_QtD_RefX0-IFRS_QtD_OCS-IFRS_QtD_Cashflows,61.04777238,20.09630487,35.58298522,38.64,9.85,23.69,22.6,9.85,1,1,1,23.69,31.22,1,1,1,1,1,1,1,1,21.54,18.28,9.85,14.29,14.29,1,1,1,1,1,1,1,1,1,1,1,1,1
0032_2023M03_Base-GH_IFRS_QtD_Cashflows-GH_CALIB_T_Base-LV30Y_QtD_RefX0-IFRS_QtD_OCS-IFRS_QtD_Bookings,61.04777238,20.09630487,35.58298522,38.64,9.85,23.69,22.6,9.85,1,1,1,23.69,31.22,1,1,1,1,1,1,1,1,21.54,18.28,9.85,14.29,14.29,1,1,1,1,1,1,1,1,1,1,1,1,1
0033_2023M03_Base-GH_IFRS_QtD_Cashflows-GH_CALIB_T_Base-LV30Y_QtD_RefX0-IFRS_QtD_OCS-IFRS_QtD_ExitClients,61.04777238,20.09630487,35.58298522,38.64,9.85,23.69,22.6,9.85,1,1,1,23.69,31.22,1,1,1,1,1,1,1,1,21.54,18.28,9.85,14.29,14.29,1,1,1,1,1,1,1,1,1,1,1,1,1
0034_2023M03_Base-GH_IFRS_QtD_Cashflows-GH_CALIB_T_Base-LV30Y_QtD_RefX0-IFRS_QtD_OCS-IFRS_QtD_UpdateAssetSource,57.11,19.76,34.66,38.64,9.85,23.69,22.6,9.85,1,1,1,23.69,31.22,1,1,1,1,1,1,1,1,21.54,18.28,9.85,14.29,14.29,1,1,1,1,1,1,1,1,1,1,1,1,1
0035_2023M03_Base-GH_IFRS_QtD_Cashflows-GH_CALIB_T_Base-LV30Y_QtD_RefX0-IFRS_QtD_OCS-IFRS_QtD_UpdateCashFlows,57.11,19.76,34.66,38.64,9.85,23.69,22.6,9.85,1,1,1,23.69,31.22,1,1,1,1,1,1,1,1,21.54,18.28,9.85,14.29,14.29,1,1,1,1,1,1,1,1,1,1,1,1,1
0036_2023M03_Base-GH_IFRS_QtD_Cashflows-GH_CALIB_T_Base-LV30Y_QtD_RefX0-IFRS_QtD_OCS-IFRS_QtD_NewClients,57.11,19.76,34.66,38.64,9.85,23.69,22.6,9.85,1,1,1,23.69,31.22,1,1,1,1,1,1,1,1,21.54,18.28,9.85,14.29,14.29,1,1,1,1,1,1,1,1,1,1,1,1,1
