prodboomcd,policy_year,value
AEGON_SPAARBEURS_direct,31,2.88639551
AEGON_SPAARBEURS_direct,32,2.88639551
AEGON_SPAARBEURS_direct,33,2.88639551
AEGON_SPAARBEURS_direct,34,2.88639551
AEGON_SPAARBEURS_direct,35,2.88639551
AEGON_SPAARBEURS_direct,36,2.88639551
AEGON_SPAARBEURS_direct,37,2.88639551
AEGON_SPAARBEURS_direct,38,2.88639551
AEGON_SPAARBEURS_direct,39,2.88639551
AEGON_SPAARBEURS_direct,40,2.88639551
AEGON_SPAARBEURS_direct,41,2.88639551
AEGON_SPAARBEURS_spaaradvies,0,0.040719222
AEGON_SPAARBEURS_spaaradvies,1,0.38263101
AEGON_SPAARBEURS_spaaradvies,2,0.346803037
AEGON_SPAARBEURS_spaaradvies,3,0.38554458
AEGON_SPAARBEURS_spaaradvies,4,0.428613961
AEGON_SPAARBEURS_spaaradvies,5,0.476494645
AEGON_SPAARBEURS_spaaradvies,6,0.529724104
AEGON_SPAARBEURS_spaaradvies,7,0.588899853
AEGON_SPAARBEURS_spaaradvies,8,0.654686155
AEGON_SPAARBEURS_spaaradvies,9,0.727821478
AEGON_SPAARBEURS_spaaradvies,10,0.809126785
AEGON_SPAARBEURS_spaaradvies,11,0.89951475
AEGON_SPAARBEURS_spaaradvies,12,1.0
AEGON_SPAARBEURS_spaaradvies,13,1.111710508
AEGON_SPAARBEURS_spaaradvies,14,1.235900255
AEGON_SPAARBEURS_spaaradvies,15,1.3739633
AEGON_SPAARBEURS_spaaradvies,16,1.527449439
AEGON_SPAARBEURS_spaaradvies,17,1.698081593
AEGON_SPAARBEURS_spaaradvies,18,1.887775151
AEGON_SPAARBEURS_spaaradvies,19,2.098659472
AEGON_SPAARBEURS_spaaradvies,20,2.333101789
AEGON_SPAARBEURS_spaaradvies,21,2.88639551
AEGON_SPAARBEURS_spaaradvies,22,2.88639551
AEGON_SPAARBEURS_spaaradvies,23,2.88639551
AEGON_SPAARBEURS_spaaradvies,24,2.88639551
AEGON_SPAARBEURS_spaaradvies,25,2.88639551
AEGON_SPAARBEURS_spaaradvies,26,2.88639551
AEGON_SPAARBEURS_spaaradvies,27,2.88639551
AEGON_SPAARBEURS_spaaradvies,28,2.88639551
AEGON_SPAARBEURS_spaaradvies,29,2.88639551
AEGON_SPAARBEURS_spaaradvies,30,2.88639551
AEGON_SPAARBEURS_spaaradvies,31,2.88639551
AEGON_SPAARBEURS_spaaradvies,32,2.88639551
AEGON_SPAARBEURS_spaaradvies,33,2.88639551
AEGON_SPAARBEURS_spaaradvies,34,2.88639551
AEGON_SPAARBEURS_spaaradvies,35,2.88639551
AEGON_SPAARBEURS_spaaradvies,36,2.88639551
AEGON_SPAARBEURS_spaaradvies,37,2.88639551
AEGON_SPAARBEURS_spaaradvies,38,2.88639551
AEGON_SPAARBEURS_spaaradvies,39,2.88639551
AEGON_SPAARBEURS_spaaradvies,40,2.88639551
AEGON_SPAARBEURS_spaaradvies,41,2.88639551
AEGON_SPAARBEURS_spaarbelegger,0,0.040719222
AEGON_SPAARBEURS_spaarbelegger,1,0.38263101
AEGON_SPAARBEURS_spaarbelegger,2,0.346803037
AEGON_SPAARBEURS_spaarbelegger,3,0.38554458
AEGON_SPAARBEURS_spaarbelegger,4,0.428613961
AEGON_SPAARBEURS_spaarbelegger,5,0.476494645
AEGON_SPAARBEURS_spaarbelegger,6,0.529724104
AEGON_SPAARBEURS_spaarbelegger,7,0.588899853
AEGON_SPAARBEURS_spaarbelegger,8,0.654686155
AEGON_SPAARBEURS_spaarbelegger,9,0.727821478
AEGON_SPAARBEURS_spaarbelegger,10,0.809126785
AEGON_SPAARBEURS_spaarbelegger,11,0.89951475
AEGON_SPAARBEURS_spaarbelegger,12,1.0
AEGON_SPAARBEURS_spaarbelegger,13,1.111710508
AEGON_SPAARBEURS_spaarbelegger,14,1.235900255
AEGON_SPAARBEURS_spaarbelegger,15,1.3739633
AEGON_SPAARBEURS_spaarbelegger,16,1.527449439
AEGON_SPAARBEURS_spaarbelegger,17,1.698081593
AEGON_SPAARBEURS_spaarbelegger,18,1.887775151
AEGON_SPAARBEURS_spaarbelegger,19,2.098659472
AEGON_SPAARBEURS_spaarbelegger,20,2.333101789
AEGON_SPAARBEURS_spaarbelegger,21,2.88639551
AEGON_SPAARBEURS_spaarbelegger,22,2.88639551
AEGON_SPAARBEURS_spaarbelegger,23,2.88639551
AEGON_SPAARBEURS_spaarbelegger,24,2.88639551
AEGON_SPAARBEURS_spaarbelegger,25,2.88639551
AEGON_SPAARBEURS_spaarbelegger,26,2.88639551
AEGON_SPAARBEURS_spaarbelegger,27,2.88639551
AEGON_SPAARBEURS_spaarbelegger,28,2.88639551
AEGON_SPAARBEURS_spaarbelegger,29,2.88639551
AEGON_SPAARBEURS_spaarbelegger,30,2.88639551
AEGON_SPAARBEURS_spaarbelegger,31,2.88639551
AEGON_SPAARBEURS_spaarbelegger,32,2.88639551
AEGON_SPAARBEURS_spaarbelegger,33,2.88639551
AEGON_SPAARBEURS_spaarbelegger,34,2.88639551
AEGON_SPAARBEURS_spaarbelegger,35,2.88639551
AEGON_SPAARBEURS_spaarbelegger,36,2.88639551
AEGON_SPAARBEURS_spaarbelegger,37,2.88639551
AEGON_SPAARBEURS_spaarbelegger,38,2.88639551
AEGON_SPAARBEURS_spaarbelegger,39,2.88639551
AEGON_SPAARBEURS_spaarbelegger,40,2.88639551
AEGON_SPAARBEURS_spaarbelegger,41,2.88639551
AEGON_SPAARBEURS_tussenpersoon,0,0.040719222
AEGON_SPAARBEURS_tussenpersoon,1,0.38263101
AEGON_SPAARBEURS_tussenpersoon,2,0.346803037
AEGON_SPAARBEURS_tussenpersoon,3,0.38554458
AEGON_SPAARBEURS_tussenpersoon,4,0.428613961
AEGON_SPAARBEURS_tussenpersoon,5,0.476494645
