jobid,modelid,modulename,moduleversion,date,runkey,scenarioname,type,maturity,maturityidentifier,rate
2023040308544852005,4558,IAS19_discounting,2.0,2023-03-31,IAS19,IAS19_Full,spot,73.0,73Y,0.0302434908101
2023040308544852005,4558,IAS19_discounting,2.0,2023-03-31,IAS19,IAS19_Full,spot,72.0,72Y,0.0302434908101
2023040308544852005,4558,IAS19_discounting,2.0,2023-03-31,IAS19,IAS19_Full,spot,71.0,71Y,0.0302434908101
2023040308544852005,4558,IAS19_discounting,2.0,2023-03-31,IAS19,IAS19_Full,spot,70.0,70Y,0.0302434908101
2023040308544852005,4558,IAS19_discounting,2.0,2023-03-31,IAS19,IAS19_Full,spot,69.0,69Y,0.0302434908101
2023040308544852005,4558,IAS19_discounting,2.0,2023-03-31,IAS19,IAS19_Full,spot,68.0,68Y,0.0302434908101
2023040308544852005,4558,IAS19_discounting,2.0,2023-03-31,IAS19,IAS19_Full,spot,67.0,67Y,0.0302434908101
2023040308544852005,4558,IAS19_discounting,2.0,2023-03-31,IAS19,IAS19_Full,spot,66.0,66Y,0.0302434908101
2023040308544852005,4558,IAS19_discounting,2.0,2023-03-31,IAS19,IAS19_Full,spot,65.0,65Y,0.0302434908101
2023040308544852005,4558,IAS19_discounting,2.0,2023-03-31,IAS19,IAS19_Full,spot,64.0,64Y,0.0302434908101
2023040308544852005,4558,IAS19_discounting,2.0,2023-03-31,IAS19,IAS19_Full,spot,63.0,63Y,0.0302434908101
2023040308544852005,4558,IAS19_discounting,2.0,2023-03-31,IAS19,IAS19_Full,spot,62.0,62Y,0.0302434908101
2023040308544852005,4558,IAS19_discounting,2.0,2023-03-31,IAS19,IAS19_Full,spot,61.0,61Y,0.0302434908101
2023040308544852005,4558,IAS19_discounting,2.0,2023-03-31,IAS19,IAS19_Full,spot,60.0,60Y,0.0302434908101
2023040308544852005,4558,IAS19_discounting,2.0,2023-03-31,IAS19,IAS19_Full,spot,59.0,59Y,0.0302434908101
2023040308544852005,4558,IAS19_discounting,2.0,2023-03-31,IAS19,IAS19_Full,spot,58.0,58Y,0.0302434908101
2023040308544852005,4558,IAS19_discounting,2.0,2023-03-31,IAS19,IAS19_Full,spot,57.0,57Y,0.0302434908101
2023040308544852005,4558,IAS19_discounting,2.0,2023-03-31,IAS19,IAS19_Full,spot,56.0,56Y,0.0302434908101
2023040308544852005,4558,IAS19_discounting,2.0,2023-03-31,IAS19,IAS19_Full,spot,55.0,55Y,0.0302434908101
2023040308544852005,4558,IAS19_discounting,2.0,2023-03-31,IAS19,IAS19_Full,spot,54.0,54Y,0.0302434908101
