tarcd,fund_to_switch_to_1,fund_to_switch_to_2,fund_to_switch_to_3,fund_to_switch_to_4,fund_to_switch_to_5
koopsom_P,0,0,0,0,0
koopsom_T,0,0,0,0,0
mixplan_C,0,0,0,0,0
mixplan_K,0,0,0,0,0
mixplan_P,0,0,0,0,0
mixplan_T,0,0,0,0,0
plusfonds_2040_plus_C,0,0,0,0,0
plusfonds_2040_plus_K,0,0,0,0,0
plusfonds_2040_plus_P,0,0,0,0,0
plusfonds_2040_plus_T,0,0,0,0,0
plusfonds_pensioenplus_C,0,0,0,0,0
plusfonds_pensioenplus_K,0,0,0,0,0
plusfonds_pensioenplus_P,0,0,0,0,0
plusfonds_pensioenplus_T,0,0,0,0,0
plusfonds_spaarplus_C,0,0,0,0,0
plusfonds_spaarplus_K,0,0,0,0,0
plusfonds_spaarplus_P,0,0,0,0,0
plusfonds_spaarplus_T,0,0,0,0,0
plusfonds_studieplus_C,0,0,0,0,0
plusfonds_studieplus_K,0,0,0,0,0
plusfonds_studieplus_P,0,0,0,0,0
plusfonds_studieplus_T,0,0,0,0,0
premiespaarplan_C,0,0,0,0,0
premiespaarplan_K,0,0,0,0,0
premiespaarplan_P,0,0,0,0,0
premiespaarplan_T,0,0,0,0,0
rendementsovereenkomsten_C,0,0,0,0,0
rendementsovereenkomsten_K,0,0,0,0,0
rendementsovereenkomsten_P,0,0,0,0,0
rendementsovereenkomsten_T,0,0,0,0,0
samenzeker_C,0,0,0,0,0
samenzeker_K,0,0,0,0,0
samenzeker_P,0,0,0,0,0
samenzeker_T,0,0,0,0,0
spaareffect_C,0,0,0,0,0
spaareffect_K,0,0,0,0,0
spaareffect_P,0,0,0,0,0
spaareffect_T,0,0,0,0,0
spaarlift_exnvg_16_C,0,0,0,0,0
spaarlift_exnvg_16_K,0,0,0,0,0
spaarlift_exnvg_16_P,0,0,0,0,0
spaarlift_exnvg_16_T,0,0,0,0,0
spaarlift_exnvg_17_C,0,0,0,0,0
spaarlift_exnvg_17_K,0,0,0,0,0
spaarlift_exnvg_17_P,0,0,0,0,0
spaarlift_exnvg_17_T,0,0,0,0,0
spaarlift_exnvg_18_C,0,0,0,0,0
spaarlift_exnvg_18_K,0,0,0,0,0
spaarlift_exnvg_18_P,0,0,0,0,0
spaarlift_exnvg_18_T,0,0,0,0,0
spaarzeker_C,0,0,0,0,0
spaarzeker_K,0,0,0,0,0
spaarzeker_P,0,0,0,0,0
spaarzeker_T,0,0,0,0,0
tariefplus_C,0,0,0,0,0
tariefplus_K,0,0,0,0,0
tariefplus_P,0,0,0,0,0
tariefplus_T,0,0,0,0,0
toekomstplan_C,0,0,0,0,0
toekomstplan_K,0,0,0,0,0
toekomstplan_P,0,0,0,0,0
toekomstplan_T,0,0,0,0,0
vermogensplan_C,0,0,0,0,0
vermogensplan_K,0,0,0,0,0
vermogensplan_P,0,0,0,0,0
vermogensplan_T,0,0,0,0,0
welvaartspolis_C,0,0,0,0,0
welvaartspolis_K,0,0,0,0,0
welvaartspolis_P,0,0,0,0,0
welvaartspolis_T,0,0,0,0,0
