framework,scenario,asset_class,shockfactor
SII_PIM with VA,IR2_EQ_EM_PE 10dn,Equity,0.9
SII_PIM with VA,IR3 SF scope (nonAPR),Equity,1
SII_PIM with VA,IR2_Type2_up,Equity,1
SII_PIM with VA,IR2_up,Equity,1.47178773
SII_PIM with VA,IR2_Type2_dn,Equity,1
SII_PIM with VA,IR2_dn,Equity,0.55988393
SII_PIM with VA,IR1,Equity,1
SII_PIM with VA,PC3-,Equity,1
SII_PIM with VA,PC2-,Equity,1
SII_PIM with VA,PC1-,Equity,1
SII_PIM with VA,PC3+,Equity,1
SII_PIM with VA,PC2+,Equity,1
SII_PIM with VA,PC1+,Equity,1
SII_SF with VA,MR3,Equity,1
SII_SF with VA,IR3,Equity,1
SII_SF with VA,IR2_Type2_up,Equity,1
SII_SF with VA,IR2_up,Equity,1.40760778
SII_SF with VA,IR2_Type2_dn,Equity,1
SII_SF with VA,IR2_dn,Equity,0.59239222
SII_SF with VA,IR1,Equity,1
SII_SF with VA,MR1_DN,Equity,1
SII_SF with VA,MR1_UP,Equity,1
EF,+100bp,Equity,1
EF,-100bp,Equity,1
EF,IR3,Equity,1
EF,IR2,Equity,0.55988393
EF,PC3-,Equity,1
EF,PC2-,Equity,1
EF,PC1-,Equity,1
EF,PC3+,Equity,1
EF,PC2+,Equity,1
EF,PC1+,Equity,1
IFRS17,DU_nonFI_25up,Equity,1.25
IFRS17,DU_nonFI_10up,Equity,1.1
IFRS17,DU_nonFI_10dn,Equity,0.9
IFRS17,DU_nonFI_25dn,Equity,0.75
IFRS17,+100bp incl UFR,Equity,1
IFRS17,-100bp incl UFR,Equity,1
IFRS17,-200bp incl UFR,Equity,1
LAT/IFRS,DU_FI_mortgagespread_50up,Equity,1
LAT/IFRS,DU_FI_mortgagespread_50dn,Equity,1
LAT/IFRS,DU_FI_bondcreditspread_50up,Equity,1
LAT/IFRS,DU_FI_bondcreditspread_50dn,Equity,1
LAT/IFRS,DU_nonFI_IR2_EQ_EM_PE_25up,Equity,1.25
LAT/IFRS,DU_nonFI_IR2_EQ_EM_PE_10up,Equity,1.1
LAT/IFRS,DU_nonFI_IR2_EQ_EM_PE_10dn,Equity,0.9
LAT/IFRS,DU_nonFI_IR2_EQ_EM_PE_25dn,Equity,0.75
LAT/IFRS,Currency_USD_15dn,Equity,1
LAT/IFRS,Currency_USD_15up,Equity,1
LAT/IFRS,Currency_EUR_15dn,Equity,1
LAT/IFRS,Currency_EUR_15up,Equity,1
LAT/IFRS,-200bp incl UFR,Equity,1
LAT/IFRS,-100bp incl UFR,Equity,1
LAT/IFRS,+100bp incl UFR,Equity,1
LAT/IFRS,-200bp excl UFR,Equity,1
LAT/IFRS,-100bp excl UFR,Equity,1
LAT/IFRS,+100bp excl UFR,Equity,1
SII_PIM with VA,OoS_2,Rente,0.94301706
SII_PIM with VA,OoS_1,Rente,1.04358749
SII_PIM with VA,R2-UR3P-8,Rente,1.04014896
SII_PIM with VA,R2-UR3P-7,Rente,1.04014896
SII_PIM with VA,R2-UR3P-6,Rente,1.02727588
SII_PIM with VA,R2-UR3P-5,Rente,1.02727588
SII_PIM with VA,R2-UR3P-4,Rente,0.97186439
SII_PIM with VA,R2-UR3P-3,Rente,0.97186439
SII_PIM with VA,R2-UR3P-2,Rente,0.95738151
SII_PIM with VA,R2-UR3P-1,Rente,0.95738151
SII_PIM with VA,R1-UR3P-8,Rente,0.85549608
SII_PIM with VA,R1-UR3P-7,Rente,0.85549608
SII_PIM with VA,R1-UR3P-6,Rente,0.90634065
SII_PIM with VA,R1-UR3P-5,Rente,0.90634065
SII_PIM with VA,R1-UR3P-4,Rente,1.09685276
SII_PIM with VA,R1-UR3P-3,Rente,1.09685276
SII_PIM with VA,R1-UR3P-2,Rente,1.13819788
SII_PIM with VA,R1-UR3P-1,Rente,1.13819788
SII_PIM with VA,R2-UR3C-8,Rente,1.04014896
SII_PIM with VA,R2-UR3C-7,Rente,1.04014896
SII_PIM with VA,R2-UR3C-6,Rente,1.02727588
SII_PIM with VA,R2-UR3C-5,Rente,1.02727588
SII_PIM with VA,R2-UR3C-4,Rente,0.97186439
SII_PIM with VA,R2-UR3C-3,Rente,0.97186439
SII_PIM with VA,R2-UR3C-2,Rente,0.95738151
SII_PIM with VA,R2-UR3C-1,Rente,0.95738151
SII_PIM with VA,R1-UR3C-8,Rente,0.85549608
SII_PIM with VA,R1-UR3C-7,Rente,0.85549608
SII_PIM with VA,R1-UR3C-6,Rente,0.90634065
SII_PIM with VA,R1-UR3C-5,Rente,0.90634065
SII_PIM with VA,R1-UR3C-4,Rente,1.09685276
SII_PIM with VA,R1-UR3C-3,Rente,1.09685276
SII_PIM with VA,R1-UR3C-2,Rente,1.13819788
SII_PIM with VA,R1-UR3C-1,Rente,1.13819788
SII_PIM with VA,R2-UR1LL-8,Rente,1.04755912
SII_PIM with VA,R2-UR1LL-7,Rente,1.04755912
SII_PIM with VA,R2-UR1LL-6,Rente,1.04014896
SII_PIM with VA,R2-UR1LL-5,Rente,1.04014896
SII_PIM with VA,R2-UR1LL-4,Rente,0.95738151
SII_PIM with VA,R2-UR1LL-3,Rente,0.95738151
SII_PIM with VA,R2-UR1LL-2,Rente,0.94699249
SII_PIM with VA,R2-UR1LL-1,Rente,0.94699249
SII_PIM with VA,R1-UR1LL-8,Rente,1.04755912
SII_PIM with VA,R1-UR1LL-7,Rente,1.04755912
SII_PIM with VA,R1-UR1LL-6,Rente,0.85549608
SII_PIM with VA,R1-UR1LL-5,Rente,0.85549608
SII_PIM with VA,R1-UR1LL-4,Rente,1.13819788
SII_PIM with VA,R1-UR1LL-3,Rente,1.13819788
SII_PIM with VA,R1-UR1LL-2,Rente,1.16056277
SII_PIM with VA,R1-UR1LL-1,Rente,1.16056277
SII_PIM with VA,R2-UR1LT-8,Rente,1.04755912
SII_PIM with VA,R2-UR1LT-7,Rente,1.04755912
SII_PIM with VA,R2-UR1LT-6,Rente,1.04014896
SII_PIM with VA,R2-UR1LT-5,Rente,1.04014896
SII_PIM with VA,R2-UR1LT-4,Rente,0.95738151
SII_PIM with VA,R2-UR1LT-3,Rente,0.95738151
SII_PIM with VA,R2-UR1LT-2,Rente,0.94699249
SII_PIM with VA,R2-UR1LT-1,Rente,0.94699249
SII_PIM with VA,R1-UR1LT-8,Rente,0.81716598
SII_PIM with VA,R1-UR1LT-7,Rente,0.81716598
SII_PIM with VA,R1-UR1LT-6,Rente,0.85549608
SII_PIM with VA,R1-UR1LT-5,Rente,0.85549608
SII_PIM with VA,R1-UR1LT-4,Rente,1.13819788
SII_PIM with VA,R1-UR1LT-3,Rente,1.13819788
SII_PIM with VA,R1-UR1LT-2,Rente,1.16056277
SII_PIM with VA,R1-UR1LT-1,Rente,1.16056277
SII_PIM with VA,R-R-8,Rente,0.86331105
SII_PIM with VA,R-R-7,Rente,0.76586783
SII_PIM with VA,R-R-6,Rente,0.8947321
SII_PIM with VA,R-R-5,Rente,0.81400319
SII_PIM with VA,R-R-4,Rente,1.17942556
SII_PIM with VA,R-R-3,Rente,1.09465803
SII_PIM with VA,R-R-2,Rente,1.20957805
SII_PIM with VA,R-R-1,Rente,1.10618334
SII_PIM with VA,R3_6,Rente,1.00203667
SII_PIM with VA,R3_5,Rente,1.0008223
SII_PIM with VA,R3_4,Rente,1.0003798
SII_PIM with VA,R3_3,Rente,0.99938086
SII_PIM with VA,R3_2,Rente,0.9988214
SII_PIM with VA,R3_1,Rente,0.99678701
SII_PIM with VA,R2_8,Rente,1.06460793
SII_PIM with VA,R2_7,Rente,1.04755912
SII_PIM with VA,R2_6,Rente,1.02727588
SII_PIM with VA,R2_5,Rente,1.01387592
SII_PIM with VA,R2_4,Rente,0.9861513
SII_PIM with VA,R2_3,Rente,0.97186439
SII_PIM with VA,R2_2,Rente,0.94699249
SII_PIM with VA,R2_1,Rente,0.92165755
SII_PIM with VA,R1_8,Rente,0.72448098
SII_PIM with VA,R1_7,Rente,0.81716598
SII_PIM with VA,R1_6,Rente,0.90634065
SII_PIM with VA,R1_5,Rente,0.95485346
