fund_number,fund_name,price_date,price,guarantee,guarantee_type,fund_ind,hr_indicator,aegon_fund,value_per_year
168,0,01/04/2023,1.0,0,0,0,0,0,0.062
169,0,01/04/2023,1.0,0,0,0,0,0,0.062
170,0,01/04/2023,1.0,0,0,0,0,0,0.062
171,0,01/04/2023,1.0,0,0,0,0,0,0.062
172,0,01/04/2023,1.0,0,0,0,0,0,0.062
173,0,01/04/2023,1.0,0,0,0,0,0,0.062
174,BNPParibasGlobalHighIncomeEqFund,01/04/2023,1.0,0,0,2,0,0,0.062
175,ParvestEquityUSAGrowthCCUSD,01/04/2023,1.0,0,0,2,0,0,0.062
176,0,01/04/2023,1.0,0,0,0,0,0,0.062
177,ParvestBestSelectionExJapanCA,01/04/2023,1.0,0,0,2,0,0,0.062
178,ParvestEqu-LatinAmer-CC,01/04/2023,1.0,0,0,2,0,0,0.062
179,ParvestBondWorld-CC,01/04/2023,1.0,0,0,0,0,0,0.062
180,ParvestBondUSD-CC,01/04/2023,1.0,0,0,0,0,0,0.062
181,ParvestBondWorldHighYield-CD,01/04/2023,1.0,0,0,0,0,0,0.062
182,0,01/04/2023,1.0,0,0,0,0,0,0.062
183,TNTEXPRESSNV,01/04/2023,1.0,0,0,2,0,0,0.062
184,POSTNL,01/04/2023,1.0,0,0,2,0,0,0.062
185,AEGONEquityEuropeFund,01/04/2023,1.0,0,0,2,0,1,0.062
186,0,01/04/2023,1.0,0,0,0,0,0,0.062
187,AegonDynamic6,01/04/2023,1.0,0,0,2,0,1,0.062
188,0,01/04/2023,1.0,0,0,0,0,0,0.062
189,0,01/04/2023,1.0,0,0,0,0,0,0.062
190,0,01/04/2023,1.0,0,0,0,0,0,0.062
191,0,01/04/2023,1.0,0,0,0,0,0,0.062
192,0,01/04/2023,1.0,0,0,0,0,0,0.062
193,0,01/04/2023,1.0,0,0,0,0,0,0.062
194,0,01/04/2023,1.0,0,0,0,0,0,0.062
195,0,01/04/2023,1.0,0,0,0,0,0,0.062
196,0,01/04/2023,1.0,0,0,0,0,0,0.062
197,0,01/04/2023,1.0,0,0,0,0,0,0.062
198,0,01/04/2023,1.0,0,0,0,0,0,0.062
199,0,01/04/2023,1.0,0,0,0,0,0,0.062
200,0,01/04/2023,1.0,0,0,0,0,0,0.062
201,0,01/04/2023,1.0,0,0,0,0,0,0.062
202,0,01/04/2023,1.0,0,0,0,0,0,0.062
203,0,01/04/2023,1.0,0,0,0,0,0,0.062
204,0,01/04/2023,1.0,0,0,0,0,0,0.062
205,0,01/04/2023,1.0,0,0,0,0,0,0.062
206,0,01/04/2023,1.0,0,0,0,0,0,0.062
207,0,01/04/2023,1.0,0,0,0,0,0,0.062
208,0,01/04/2023,1.0,0,0,0,0,0,0.062
209,0,01/04/2023,1.0,0,0,0,0,0,0.062
210,0,01/04/2023,1.0,0,0,0,0,0,0.062
211,0,01/04/2023,1.0,0,0,0,0,0,0.062
212,0,01/04/2023,1.0,0,0,0,0,0,0.062
213,0,01/04/2023,1.0,0,0,0,0,0,0.062
214,0,01/04/2023,1.0,0,0,0,0,0,0.062
215,0,01/04/2023,1.0,0,0,0,0,0,0.062
216,0,01/04/2023,1.0,0,0,0,0,0,0.062
217,0,01/04/2023,1.0,0,0,0,0,0,0.062
218,0,01/04/2023,1.0,0,0,0,0,0,0.062
219,0,01/04/2023,1.0,0,0,0,0,0,0.062
220,0,01/04/2023,1.0,0,0,0,0,0,0.062
221,0,01/04/2023,1.0,0,0,0,0,0,0.062
222,0,01/04/2023,1.0,0,0,0,0,0,0.062
223,0,01/04/2023,1.0,0,0,0,0,0,0.062
224,0,01/04/2023,1.0,0,0,0,0,0,0.062
225,0,01/04/2023,1.0,0,0,0,0,0,0.062
226,0,01/04/2023,1.0,0,0,0,0,0,0.062
227,0,01/04/2023,1.0,0,0,0,0,0,0.062
228,0,01/04/2023,1.0,0,0,0,0,0,0.062
229,0,01/04/2023,1.0,0,0,0,0,0,0.062
230,0,01/04/2023,1.0,0,0,0,0,0,0.062
231,0,01/04/2023,1.0,0,0,0,0,0,0.062
232,0,01/04/2023,1.0,0,0,0,0,0,0.062
233,0,01/04/2023,1.0,0,0,0,0,0,0.062
234,0,01/04/2023,1.0,0,0,0,0,0,0.062
235,0,01/04/2023,1.0,0,0,0,0,0,0.062
236,0,01/04/2023,1.0,0,0,0,0,0,0.062
237,0,01/04/2023,1.0,0,0,0,0,0,0.062
238,0,01/04/2023,1.0,0,0,0,0,0,0.062
239,0,01/04/2023,1.0,0,0,0,0,0,0.062
240,0,01/04/2023,1.0,0,0,0,0,0,0.062
241,0,01/04/2023,1.0,0,0,0,0,0,0.062
242,0,01/04/2023,1.0,0,0,0,0,0,0.062
243,0,01/04/2023,1.0,0,0,0,0,0,0.062
244,0,01/04/2023,1.0,0,0,0,0,0,0.062
245,0,01/04/2023,1.0,0,0,0,0,0,0.062
246,0,01/04/2023,1.0,0,0,0,0,0,0.062
247,0,01/04/2023,1.0,0,0,0,0,0,0.062
248,0,01/04/2023,1.0,0,0,0,0,0,0.062
249,0,01/04/2023,1.0,0,0,0,0,0,0.062
250,0,01/04/2023,1.0,0,0,0,0,0,0.062
251,0,01/04/2023,1.0,0,0,0,0,0,0.062
252,0,01/04/2023,1.0,0,0,0,0,0,0.062
253,0,01/04/2023,1.0,0,0,0,0,0,0.062
254,0,01/04/2023,1.0,0,0,0,0,0,0.062
255,0,01/04/2023,1.0,0,0,0,0,0,0.062
256,0,01/04/2023,1.0,0,0,0,0,0,0.062
257,0,01/04/2023,1.0,0,0,0,0,0,0.062
258,0,01/04/2023,1.0,0,0,0,0,0,0.062
259,0,01/04/2023,1.0,0,0,0,0,0,0.062
260,0,01/04/2023,1.0,0,0,0,0,0,0.062
261,0,01/04/2023,1.0,0,0,0,0,0,0.062
262,0,01/04/2023,1.0,0,0,0,0,0,0.062
263,0,01/04/2023,1.0,0,0,0,0,0,0.062
264,0,01/04/2023,1.0,0,0,0,0,0,0.062
265,0,01/04/2023,1.0,0,0,0,0,0,0.062
266,0,01/04/2023,1.0,0,0,0,0,0,0.062
267,0,01/04/2023,1.0,0,0,0,0,0,0.062
268,0,01/04/2023,1.0,0,0,0,0,0,0.062
269,0,01/04/2023,1.0,0,0,0,0,0,0.062
270,0,01/04/2023,1.0,0,0,0,0,0,0.062
271,0,01/04/2023,1.0,0,0,0,0,0,0.062
272,0,01/04/2023,1.0,0,0,0,0,0,0.062
273,0,01/04/2023,1.0,0,0,0,0,0,0.062
274,0,01/04/2023,1.0,0,0,0,0,0,0.062
275,0,01/04/2023,1.0,0,0,0,0,0,0.062
276,0,01/04/2023,1.0,0,0,0,0,0,0.062
277,0,01/04/2023,1.0,0,0,0,0,0,0.062
278,0,01/04/2023,1.0,0,0,0,0,0,0.062
279,0,01/04/2023,1.0,0,0,0,0,0,0.062
280,0,01/04/2023,1.0,0,0,0,0,0,0.062
281,0,01/04/2023,1.0,0,0,0,0,0,0.062
282,0,01/04/2023,1.0,0,0,0,0,0,0.062
283,0,01/04/2023,1.0,0,0,0,0,0,0.062
284,0,01/04/2023,1.0,0,0,0,0,0,0.062
285,0,01/04/2023,1.0,0,0,0,0,0,0.062
286,0,01/04/2023,1.0,0,0,0,0,0,0.062
287,0,01/04/2023,1.0,0,0,0,0,0,0.062
288,0,01/04/2023,1.0,0,0,0,0,0,0.062
289,0,01/04/2023,1.0,0,0,0,0,0,0.062
290,0,01/04/2023,1.0,0,0,0,0,0,0.062
291,0,01/04/2023,1.0,0,0,0,0,0,0.062
292,0,01/04/2023,1.0,0,0,0,0,0,0.062
293,0,01/04/2023,1.0,0,0,0,0,0,0.062
294,0,01/04/2023,1.0,0,0,0,0,0,0.062
295,0,01/04/2023,1.0,0,0,0,0,0,0.062
296,0,01/04/2023,1.0,0,0,0,0,0,0.062
297,0,01/04/2023,1.0,0,0,0,0,0,0.062
298,0,01/04/2023,1.0,0,0,0,0,0,0.062
299,0,01/04/2023,1.0,0,0,0,0,0,0.062
300,0,01/04/2023,1.0,0,0,0,0,0,0.062
301,0,01/04/2023,1.0,0,0,0,0,0,0.062
302,0,01/04/2023,1.0,0,0,0,0,0,0.062
303,0,01/04/2023,1.0,0,0,0,0,0,0.062
304,0,01/04/2023,1.0,0,0,0,0,0,0.062
305,0,01/04/2023,1.0,0,0,0,0,0,0.062
306,0,01/04/2023,1.0,0,0,0,0,0,0.062
307,0,01/04/2023,1.0,0,0,0,0,0,0.062
308,0,01/04/2023,1.0,0,0,0,0,0,0.062
309,0,01/04/2023,1.0,0,0,0,0,0,0.062
310,0,01/04/2023,1.0,0,0,0,0,0,0.062
311,0,01/04/2023,1.0,0,0,0,0,0,0.062
312,0,01/04/2023,1.0,0,0,0,0,0,0.062
313,Effecten,01/04/2023,1.0,0,0,2,0,0,0.062
314,0,01/04/2023,1.0,0,0,0,0,0,0.062
315,0,01/04/2023,1.0,0,0,0,0,0,0.062
316,0,01/04/2023,1.0,0,0,0,0,0,0.062
317,0,01/04/2023,1.0,0,0,0,0,0,0.062
318,0,01/04/2023,1.0,0,0,0,0,0,0.062
319,Effecten,01/04/2023,1.0,0,0,2,0,0,0.062
320,0,01/04/2023,1.0,0,0,0,0,0,0.062
321,Effecten,01/04/2023,1.0,0,0,2,0,0,0.062
322,0,01/04/2023,1.0,0,0,0,0,0,0.062
323,0,01/04/2023,1.0,0,0,0,0,0,0.062
324,0,01/04/2023,1.0,0,0,0,0,0,0.062
325,0,01/04/2023,1.0,0,0,0,0,0,0.062
326,0,01/04/2023,1.0,0,0,0,0,0,0.062
327,0,01/04/2023,1.0,0,0,0,0,0,0.062
328,0,01/04/2023,1.0,0,0,0,0,0,0.062
329,0,01/04/2023,1.0,0,0,0,0,0,0.062
330,0,01/04/2023,1.0,0,0,0,0,0,0.062
331,0,01/04/2023,1.0,0,0,0,0,0,0.062
332,0,01/04/2023,1.0,0,0,0,0,0,0.062
333,0,01/04/2023,1.0,0,0,0,0,0,0.062
334,0,01/04/2023,1.0,0,0,0,0,0,0.062
335,0,01/04/2023,1.0,0,0,0,0,0,0.062
336,0,01/04/2023,1.0,0,0,0,0,0,0.062
337,0,01/04/2023,1.0,0,0,0,0,0,0.062
338,0,01/04/2023,1.0,0,0,0,0,0,0.062
339,0,01/04/2023,1.0,0,0,0,0,0,0.062
340,0,01/04/2023,1.0,0,0,0,0,0,0.062
341,0,01/04/2023,1.0,0,0,0,0,0,0.062
342,0,01/04/2023,1.0,0,0,0,0,0,0.062
343,0,01/04/2023,1.0,0,0,0,0,0,0.062
344,0,01/04/2023,1.0,0,0,0,0,0,0.062
345,0,01/04/2023,1.0,0,0,0,0,0,0.062
346,0,01/04/2023,1.0,0,0,0,0,0,0.062
347,0,01/04/2023,1.0,0,0,0,0,0,0.062
348,0,01/04/2023,1.0,0,0,0,0,0,0.062
349,0,01/04/2023,1.0,0,0,0,0,0,0.062
350,0,01/04/2023,1.0,0,0,0,0,0,0.062
351,0,01/04/2023,1.0,0,0,0,0,0,0.062
352,0,01/04/2023,1.0,0,0,0,0,0,0.062
353,0,01/04/2023,1.0,0,0,0,0,0,0.062
354,0,01/04/2023,1.0,0,0,0,0,0,0.062
355,0,01/04/2023,1.0,0,0,0,0,0,0.062
356,0,01/04/2023,1.0,0,0,0,0,0,0.062
357,0,01/04/2023,1.0,0,0,0,0,0,0.062
358,0,01/04/2023,1.0,0,0,0,0,0,0.062
359,0,01/04/2023,1.0,0,0,0,0,0,0.062
360,0,01/04/2023,1.0,0,0,0,0,0,0.062
361,0,01/04/2023,1.0,0,0,0,0,0,0.062
362,0,01/04/2023,1.0,0,0,0,0,0,0.062
363,Effecten,01/04/2023,1.0,0,0,2,0,0,0.062
364,0,01/04/2023,1.0,0,0,0,0,0,0.062
365,0,01/04/2023,1.0,0,0,0,0,0,0.062
366,0,01/04/2023,1.0,0,0,0,0,0,0.062
367,0,01/04/2023,1.0,0,0,0,0,0,0.062
368,0,01/04/2023,1.0,0,0,0,0,0,0.062
369,0,01/04/2023,1.0,0,0,0,0,0,0.062
370,0,01/04/2023,1.0,0,0,0,0,0,0.062
371,0,01/04/2023,1.0,0,0,0,0,0,0.062
372,0,01/04/2023,1.0,0,0,0,0,0,0.062
373,Effecten,01/04/2023,1.0,0,0,2,0,0,0.062
374,0,01/04/2023,1.0,0,0,0,0,0,0.062
375,0,01/04/2023,1.0,0,0,0,0,0,0.062
376,0,01/04/2023,1.0,0,0,0,0,0,0.062
377,0,01/04/2023,1.0,0,0,0,0,0,0.062
378,0,01/04/2023,1.0,0,0,0,0,0,0.062
379,0,01/04/2023,1.0,0,0,0,0,0,0.062
380,0,01/04/2023,1.0,0,0,0,0,0,0.062
381,0,01/04/2023,1.0,0,0,0,0,0,0.062
382,0,01/04/2023,1.0,0,0,0,0,0,0.062
383,0,01/04/2023,1.0,0,0,0,0,0,0.062
384,0,01/04/2023,1.0,0,0,0,0,0,0.062
385,0,01/04/2023,1.0,0,0,0,0,0,0.062
386,0,01/04/2023,1.0,0,0,0,0,0,0.062
387,Effecten,01/04/2023,1.0,0,0,2,0,0,0.062
388,0,01/04/2023,1.0,0,0,0,0,0,0.062
389,0,01/04/2023,1.0,0,0,0,0,0,0.062
390,Effecten,01/04/2023,1.0,0,0,2,0,0,0.062
391,Effecten,01/04/2023,1.0,0,0,2,0,0,0.062
392,Effecten,01/04/2023,1.0,0,0,2,0,0,0.062
393,Effecten,01/04/2023,1.0,0,0,2,0,0,0.062
394,0,01/04/2023,1.0,0,0,0,0,0,0.062
395,Effecten,01/04/2023,1.0,0,0,2,0,0,0.062
396,0,01/04/2023,1.0,0,0,0,0,0,0.062
397,0,01/04/2023,1.0,0,0,0,0,0,0.062
398,0,01/04/2023,1.0,0,0,0,0,0,0.062
399,0,01/04/2023,1.0,0,0,0,0,0,0.062
400,0,01/04/2023,1.0,0,0,0,0,0,0.062
401,0,01/04/2023,1.0,0,0,0,0,0,0.062
402,0,01/04/2023,1.0,0,0,0,0,0,0.062
403,0,01/04/2023,1.0,0,0,0,0,0,0.062
404,0,01/04/2023,1.0,0,0,0,0,0,0.062
405,0,01/04/2023,1.0,0,0,0,0,0,0.062
406,0,01/04/2023,1.0,0,0,0,0,0,0.062
407,0,01/04/2023,1.0,0,0,0,0,0,0.062
408,Effecten,01/04/2023,1.0,0,0,2,0,0,0.062
409,0,01/04/2023,1.0,0,0,0,0,0,0.062
410,Effecten,01/04/2023,1.0,0,0,2,0,0,0.062
411,0,01/04/2023,1.0,0,0,0,0,0,0.062
412,0,01/04/2023,1.0,0,0,0,0,0,0.062
413,0,01/04/2023,1.0,0,0,0,0,0,0.062
414,0,01/04/2023,1.0,0,0,0,0,0,0.062
415,0,01/04/2023,1.0,0,0,0,0,0,0.062
416,0,01/04/2023,1.0,0,0,0,0,0,0.062
417,0,01/04/2023,1.0,0,0,0,0,0,0.062
418,0,01/04/2023,1.0,0,0,0,0,0,0.062
419,0,01/04/2023,1.0,0,0,0,0,0,0.062
420,0,01/04/2023,1.0,0,0,0,0,0,0.062
421,0,01/04/2023,1.0,0,0,0,0,0,0.062
422,0,01/04/2023,1.0,0,0,0,0,0,0.062
423,0,01/04/2023,1.0,0,0,0,0,0,0.062
424,Effecten,01/04/2023,1.0,0,0,2,0,0,0.062
425,0,01/04/2023,1.0,0,0,0,0,0,0.062
426,0,01/04/2023,1.0,0,0,0,0,0,0.062
427,0,01/04/2023,1.0,0,0,0,0,0,0.062
428,0,01/04/2023,1.0,0,0,0,0,0,0.062
429,0,01/04/2023,1.0,0,0,0,0,0,0.062
430,0,01/04/2023,1.0,0,0,0,0,0,0.062
431,0,01/04/2023,1.0,0,0,0,0,0,0.062
432,0,01/04/2023,1.0,0,0,0,0,0,0.062
433,0,01/04/2023,1.0,0,0,0,0,0,0.062
434,0,01/04/2023,1.0,0,0,0,0,0,0.062
435,0,01/04/2023,1.0,0,0,0,0,0,0.062
436,0,01/04/2023,1.0,0,0,0,0,0,0.062
437,0,01/04/2023,1.0,0,0,0,0,0,0.062
438,0,01/04/2023,1.0,0,0,0,0,0,0.062
439,0,01/04/2023,1.0,0,0,0,0,0,0.062
