date_val,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
2023-03-31,61.05,20.08,35.58,38.31,9.89,27.12,23.05,9.89,1.0,1.0,1.0,27.12,33.91,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,22.31,18.79,9.89,14.4,14.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2023-02-28,60.84,19.61,35.38,40.51,9.87,26.46,22.91,9.87,1.0,1.0,1.0,26.46,33.93,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,22.14,18.54,9.87,14.36,14.36,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2022-12-31,57.11,19.76,34.66,38.64,9.85,23.69,22.6,9.85,1.0,1.0,1.0,23.69,31.22,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,21.54,18.28,9.85,14.29,14.29,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
