date_time,scenario,source,currency,ccy_name,name,item,period,ask,bid,mid,mid_ccy_usd,eur_usd,eur_ccy,ccy_eur,usd_ccy,ccy_usd
2023-03-31,ACCOUNTING,BLOOMBERG,NOK,Norwegian Krone,USD/NOK,NOK WMCD Curncy,SPOT,10.475900000,10.470300000,10.473100000,10.473100000,1.086450000,11.378499500,0.087885100,10.473100000,0.095482700
2023-03-31,ACCOUNTING,BLOOMBERG,NZD,New Zealand Dollar,NZD/USD,NZD WMCD Curncy,SPOT,0.625900000,0.625400000,0.625650000,1.598337700,1.086450000,1.736514000,0.575866400,1.598337700,0.625650000
2023-03-31,ACCOUNTING,BLOOMBERG,PEN,Peru Nuevos Soles,USD/PEN,PEN WMCD Curncy,SPOT,3.763000000,3.759100000,3.761050000,3.761050000,1.086450000,4.086192800,0.244726600,3.761050000,0.265883200
2023-03-31,ACCOUNTING,BLOOMBERG,PHP,Philippine Peso,USD/PHP,PHP WMCD Curncy,SPOT,54.380000000,54.350000000,54.365000000,54.365000000,1.086450000,59.064854300,0.016930500,54.365000000,0.018394200
2023-03-31,ACCOUNTING,BLOOMBERG,PKR,Pakistan Rupees,USD/PKR,PKR WMCD Curncy,SPOT,284.250000000,283.500000000,283.875000000,283.875000000,1.086450000,308.415993800,0.003242400,283.875000000,0.003522700
2023-03-31,ACCOUNTING,BLOOMBERG,PLN,Polish Zloty,USD/PLN,PLN WMCD Curncy,SPOT,4.309300000,4.306800000,4.308050000,4.308050000,1.086450000,4.680480900,0.213653300,4.308050000,0.232123600
2023-03-31,ACCOUNTING,BLOOMBERG,QAR,Qatari Riyal,USD/QAR,QAR WMCD Curncy,SPOT,3.641500000,3.638500000,3.640000000,3.640000000,1.086450000,3.954678000,0.252865100,3.640000000,0.274725300
2023-03-31,ACCOUNTING,BLOOMBERG,RON,Romanian New Leu,USD/RON,RON WMCD Curncy,SPOT,4.555700000,4.551800000,4.553750000,4.553750000,1.086450000,4.947421700,0.202125500,4.553750000,0.219599200
2023-03-31,ACCOUNTING,BLOOMBERG,RUB,Russian Ruble,USD/RUB,RUB WMCD Curncy,SPOT,77.900000000,77.500000000,77.700000000,77.700000000,1.086450000,84.417165000,0.011845900,77.700000000,0.012870000
2023-03-31,ACCOUNTING,BLOOMBERG,SAR,Saudi Riyal,USD/SAR,SAR WMCD Curncy,SPOT,3.754000000,3.753400000,3.753700000,3.753700000,1.086450000,4.078207400,0.245205800,3.753700000,0.266403800
2023-03-31,ACCOUNTING,BLOOMBERG,SEK,Swedish Krona,USD/SEK,SEK WMCD Curncy,SPOT,10.372500000,10.366600000,10.369550000,10.369550000,1.086450000,11.265997600,0.088762700,10.369550000,0.096436200
2023-03-31,ACCOUNTING,BLOOMBERG,SGD,Singapore Dollar,USD/SGD,SGD WMCD Curncy,SPOT,1.329900000,1.329200000,1.329550000,1.329550000,1.086450000,1.444489600,0.692286100,1.329550000,0.752134200
2023-03-31,ACCOUNTING,BLOOMBERG,SRD,Surinam Dollar,USD/SRD,SRD WMCD Curncy,SPOT,36.021000000,35.795000000,35.908000000,35.908000000,1.086450000,39.012246600,0.025633000,35.908000000,0.027848900
2023-03-31,ACCOUNTING,BLOOMBERG,THB,Thai Baht,USD/THB,THB WMCD Curncy,SPOT,34.095800000,34.079200000,34.087500000,34.087500000,1.086450000,37.034364400,0.027001900,34.087500000,0.029336300
2023-03-31,ACCOUNTING,BLOOMBERG,TRY,Turkish Lira,USD/TRY,TRY WMCD Curncy,SPOT,19.205000000,19.185000000,19.195000000,19.195000000,1.086450000,20.854407800,0.047951500,19.195000000,0.052096900
2023-03-31,ACCOUNTING,BLOOMBERG,TWD,New Taiwan Dollar,USD/TWD,TWD WMCD Curncy,SPOT,30.450000000,30.445000000,30.447500000,30.447500000,1.086450000,33.079686400,0.030230000,30.447500000,0.032843400
2023-03-31,ACCOUNTING,BLOOMBERG,UAH,Ukraine Hryvnia,USD/UAH,UAH WMCD Curncy,SPOT,36.934300000,36.910000000,36.922150000,36.922150000,1.086450000,40.114069900,0.024928900,36.922150000,0.027084000
2023-03-31,ACCOUNTING,BLOOMBERG,ZAR,South African Rand,USD/ZAR,ZAR WMCD Curncy,SPOT,17.746000000,17.739000000,17.742500000,17.742500000,1.086450000,19.276339100,0.051877100,17.742500000,0.056361800
