RunName,Mix,Rente,Equity
0032_2023M03_Base-GH_IFRS_QtD_Cashflows-GH_CALIB_T_Base-LV30Y_QtD_RefX0-IFRS_QtD_OCS-IFRS_QtD_Bookings,1.02662969460539,1.0170194773817,1.06895066322287
0033_2023M03_Base-GH_IFRS_QtD_Cashflows-GH_CALIB_T_Base-LV30Y_QtD_RefX0-IFRS_QtD_OCS-IFRS_QtD_ExitClients,1.02662969460539,1.0170194773817,1.06895066322287
0034_2023M03_Base-GH_IFRS_QtD_Cashflows-GH_CALIB_T_Base-LV30Y_QtD_RefX0-IFRS_QtD_OCS-IFRS_QtD_UpdateAssetSource,1,1,1
0035_2023M03_Base-GH_IFRS_QtD_Cashflows-GH_CALIB_T_Base-LV30Y_QtD_RefX0-IFRS_QtD_OCS-IFRS_QtD_UpdateCashFlows,1,1,1
0036_2023M03_Base-GH_IFRS_QtD_Cashflows-GH_CALIB_T_Base-LV30Y_QtD_RefX0-IFRS_QtD_OCS-IFRS_QtD_NewClients,1,1,1
0037_2023M03_Base-GH_IFRS_QtD_Cashflows-GH_CALIB_T_Base-LV30Y_QtD_RefX0-IFRS_QtD_OCS-IFRS_QtD_OtherClientData,1,1,1
0038_2023M03_Base-GH_IFRS_QtD_Cashflows-GH_CALIB_T_Base-LV30Y_QtD_RefX0-IFRS_QtD_OCS-IFRS_QtD_LiabilityModel,1,1,1
0039_2023M03_Base-GH_IFRS_QtD_ParameterUpdatePost-GH_CALIB_T_Base-LV30Y_QtD_ParameterUpdate-IFRS_QtD_ParameterUpdate-IFRS_QtD_ParameterUpdate,1,1,1
0040_2023M03_Base-GH_IFRS_QtD_ModelChange-GH_CALIB_T_Base-LV30Y_QtD_ModelChange-IFRS_QtD_ModelChange-IFRS_QtD_ModelChange,1,1,1
0041_2023M03_Base-GH_IFRS_T_EndValue-GH_CALIB_T_Base-LV30Y_T_EndValue-IFRS_EndValue-IFRS_T_Base,1,1,1
0042_2023M03_Base-GH_IFRS_MtD_EndValue-GH_CALIB_MtD_Base-LV30Y_MtD_EndValue-IFRS_MtD_EndValue-IFRS_MtD_Rerun,1,1,1
0043_2023M03_Base-GH_IFRS_MtD_EndValue-GH_CALIB_MtD_Base-LV30Y_MtD_EndValue-IFRS_MtD_EndValue-IFRS_MtD_Base,1,1,1
0044_2023M03_Base-GH_IFRS_MtD_ParameterUpdatePre-GH_CALIB_MtD_Base-LV30Y_MtD_EndValue-IFRS_MtD_EndValue-IFRS_MtD_Base,1,1,1
0045_2023M03_Base-GH_IFRS_MtD_noUFR-GH_CALIB_MtD_Base-LV30Y_MtD_EndValue-IFRS_MtD_EndValue-IFRS_MtD_noOCS,1,1,1
0046_2023M03_Base-GH_IFRS_MtD_noUFR-GH_CALIB_MtD_Base-LV30Y_MtD_EndValue-IFRS_MtD_EndValue-IFRS_MtD_noCRA_noOCS,1,1,1
0047_2023M03_Base-GH_IFRS_MtD_noUFR-GH_CALIB_MtD_Base-LV30Y_MtD_EndValue-IFRS_MtD_EndValue-IFRS_MtD_noUFR_noCRA_noOCS,1,1,1
0048_2023M03_Base-GH_IFRS_MtD_RollfwdDI_noUFR-GH_CALIB_MtD_Base-LV30Y_MtD_EndValue-IFRS_MtD_EndValue-IFRS_MtD_noUFR_noCRA_noOCS,1,1,1
0049_2023M03_Base-GH_IFRS_MtD_RollfwdDI_noUFR-GH_CALIB_MtD_Base-LV30Y_MtD_EndValue-IFRS_MtD_EndValue-IFRS_MtD_noCRA_noOCS,1,1,1
0050_2023M03_Base-GH_IFRS_MtD_RollfwdDI_noUFR-GH_CALIB_MtD_Base-LV30Y_MtD_EndValue-IFRS_MtD_EndValue-IFRS_MtD_noOCS,1,1,1
0051_2023M03_Base-GH_IFRS_MtD_RollfwdDI-GH_CALIB_MtD_Base-LV30Y_MtD_EndValue-IFRS_MtD_EndValue-IFRS_MtD_Base,1,1,1
0052_2023M03_Base-GH_IFRS_MtD_Interest-GH_CALIB_T_Base-LV30Y_MtD_Curve-IFRS_MtD_EndValue-IFRS_MtD_Base,1,1,1
0053_2023M03_Base-GH_IFRS_MtD_Interest-GH_CALIB_T_Base-LV30Y_MtD_SWPT-IFRS_MtD_EndValue-IFRS_MtD_Base,1,1,1
0054_2023M03_Base-GH_IFRS_MtD_Interest-GH_CALIB_T_Base-LV30Y_MtD_RNB-IFRS_MtD_EndValue-IFRS_MtD_Base,1,1,1
0055_2023M03_Base-GH_IFRS_MtD_Interest-GH_CALIB_T_Base-LV30Y_MtD_RNB-IFRS_MtD_EndValue-IFRS_MtD_SwapHedged,1.00717524499944,1.02032875949911,1
0056_2023M03_Base-GH_IFRS_MtD_Interest-GH_CALIB_T_Base-LV30Y_MtD_RNB-IFRS_MtD_EndValue-IFRS_MtD_SwapUnhedged,1.00782895193546,1.02032875949911,1
0057_2023M03_Base-GH_IFRS_MtD_Interest-GH_CALIB_T_Base-LV30Y_MtD_RNB-IFRS_MtD_EndValue-IFRS_MtD_GovernmentSpread,1.00863962212432,1.02435383254634,1
0058_2023M03_Base-GH_IFRS_MtD_Interest-GH_CALIB_T_Base-LV30Y_MtD_RNB-IFRS_MtD_EndValue-IFRS_MtD_CreditSpread,1.00828132748104,1.02435383254634,1
0059_2023M03_Base-GH_IFRS_MtD_Interest-GH_CALIB_T_Base-LV30Y_MtD_RNB-IFRS_MtD_EndValue-IFRS_MtD_OtherFI,1.00625124659026,1.02435383254634,1
0060_2023M03_Base-GH_IFRS_MtD_Interest-GH_CALIB_T_Base-LV30Y_MtD_RNB-IFRS_MtD_EndValue-IFRS_MtD_Equities,1.00829859444175,1.02435383254634,1.00340577173111
0061_2023M03_Base-GH_IFRS_MtD_Interest-GH_CALIB_T_Base-LV30Y_MtD_RNB-IFRS_MtD_EndValue-IFRS_MtD_Commodities,1.00725575934088,1.02435383254634,1.00340577173111
0062_2023M03_Base-GH_IFRS_MtD_Interest-GH_CALIB_T_Base-LV30Y_MtD_RNB-IFRS_MtD_EndValue-IFRS_MtD_RealEstate,1.00351671833239,1.02435383254634,1.00340577173111
0063_2023M03_Base-GH_IFRS_MtD_Interest-GH_CALIB_T_Base-LV30Y_MtD_RNB-IFRS_MtD_EndValue-IFRS_MtD_OthernonFI,1.00351671833239,1.02435383254634,1.00340577173111
0064_2023M03_Base-GH_IFRS_MtD_Interest-GH_CALIB_T_Base-LV30Y_MtD_RNB-IFRS_MtD_EndValue-IFRS_MtD_TacticalAllocations,1.00351671833239,1.02435383254634,1.00340577173111
0065_2023M03_Base-GH_IFRS_MtD_Interest-GH_CALIB_T_Base-LV30Y_MtD_RNB-IFRS_MtD_EndValue-IFRS_MtD_ActualFundPerformance,1.00555348300889,1.02435383254634,1.00340577173111
0066_2023M03_Base-GH_IFRS_MtD_Interest-GH_CALIB_T_Base-LV30Y_MtD_RNB-IFRS_MtD_VE_hedged-IFRS_MtD_ActualFundPerformance,1.00555348300889,1.02435383254634,1.00340577173111
0067_2023M03_Base-GH_IFRS_MtD_Interest-GH_CALIB_T_Base-LV30Y_MtD_RNB-IFRS_MtD_VE_east-IFRS_MtD_ActualFundPerformance,1.00555348300889,1.02435383254634,1.00340577173111
0068_2023M03_Base-GH_IFRS_MtD_Interest-GH_CALIB_T_Base-LV30Y_MtD_RNB-IFRS_MtD_Other_vols-IFRS_MtD_ActualFundPerformance,1.00555348300889,1.02435383254634,1.00340577173111
