model,count,fund_name,composite,weight
DET,866,VenneSluis_hyp_Total,Emu3ABndBVz_Total,0.79
DET,867,VenneSluis_hyp_Total,WorldEqVz_Total,0.2
DET,868,VenneSluis_hyp_Total,DepVz_Total,0.01
DET,869,VgIntRtVv_Income,VgReAndVvB_Income,1.0
DET,870,VgIntRtVv_Total,VgReAndVvB_Total,1.0
DET,871,VGMI_hyp_Income,AEGON_Cash_Total,1.0
DET,872,VGMI_hyp_Total,AEGON_Cash_Total,1.0
DET,873,VgReAndVvB_Income,WorldEqVz_Income,1.0
DET,874,VgReAndVvB_Total,WorldEqVz_Total,1.0
DET,875,VgReInsVv_Income,VgReAndVvB_Income,1.0
DET,876,VgReInsVv_Total,VgReAndVvB_Total,1.0
DET,877,VNAEquity_Income,WorldEqVz_Income,1.0
DET,878,VNAEquity_Total,WorldEqVz_Total,1.0
DET,879,VNAMijBel_Income,AbsRetVz_Income,0.05
DET,880,VNAMijBel_Income,AsiaEqVz_Income,0.02
DET,881,VNAMijBel_Income,Emu3ABndVz_Income,0.45
DET,882,VNAMijBel_Income,EuEqVz_Income,0.13
DET,883,VNAMijBel_Income,GTAAVz_Income,0.0
DET,884,VNAMijBel_Income,JapEqVz_Income,0.04
DET,885,VNAMijBel_Income,LamEqVz_Income,0.01
DET,886,VNAMijBel_Income,NamEqBVz_Income,0.2
DET,887,VNAMijBel_Income,PrivEqVz_Income,0.05
DET,888,VNAMijBel_Income,TKPCommodity_Income,0.05
DET,889,VNAMijBel_Income,VNAPassive_Income,0.0
DET,890,VNAMijBel_Total,AbsRetVz_Total,0.05
DET,891,VNAMijBel_Total,AsiaEqVz_Total,0.02
DET,892,VNAMijBel_Total,Emu3ABndVz_Total,0.45
DET,893,VNAMijBel_Total,EuEqVz_Total,0.13
DET,894,VNAMijBel_Total,GTAAVz_Total,0.0
DET,895,VNAMijBel_Total,JapEqVz_Total,0.04
DET,896,VNAMijBel_Total,LamEqVz_Total,0.01
DET,897,VNAMijBel_Total,NamEqBVz_Total,0.2
DET,898,VNAMijBel_Total,PrivEqVz_Total,0.05
DET,899,VNAMijBel_Total,TKPCommodity_Total,0.05
DET,900,VNAMijBel_Total,VNAPassive_Total,0.0
DET,901,VNAObl_Income,European_3A_Bonds_Income,1.0
DET,902,VNAObl_Total,European_3A_Bonds_Total,1.0
DET,903,VNAPassive_Income,European_3A_Bonds_Income,1.0
DET,904,VNAPassive_Total,European_3A_Bonds_Total,1.0
DET,905,WefiEqVz_Income,AsiaEqVz_Income,0.05
DET,906,WefiEqVz_Income,EmAsEqVz_Income,0.07
DET,907,WefiEqVz_Income,EmEurEqVz_Income,0.02
DET,908,WefiEqVz_Income,EuEqVz_Income,0.26
DET,909,WefiEqVz_Income,JapEqVz_Income,0.09
DET,910,WefiEqVz_Income,LamEqVz_Income,0.03
DET,911,WefiEqVz_Income,MeAfEqVz_Income,0.0
DET,912,WefiEqVz_Income,NamEqABVz_Income,0.48
DET,913,WefiEqVz_Total,AsiaEqVz_Total,0.05
DET,914,WefiEqVz_Total,EmAsEqVz_Total,0.07
DET,915,WefiEqVz_Total,EmEurEqVz_Total,0.02
DET,916,WefiEqVz_Total,EuEqVz_Total,0.26
DET,917,WefiEqVz_Total,JapEqVz_Total,0.09
DET,918,WefiEqVz_Total,LamEqVz_Total,0.03
DET,919,WefiEqVz_Total,MeAfEqVz_Total,0.0
DET,920,WefiEqVz_Total,NamEqABVz_Total,0.48
DET,921,WorldEqVz_Income,AsiaEqVz_Income,0.05
DET,922,WorldEqVz_Income,EmAsEqVz_Income,0.07
DET,923,WorldEqVz_Income,EmEurEqVz_Income,0.02
DET,924,WorldEqVz_Income,EuEqVz_Income,0.26
DET,925,WorldEqVz_Income,JapEqVz_Income,0.09
DET,926,WorldEqVz_Income,LamEqVz_Income,0.03
DET,927,WorldEqVz_Income,MeAfEqVz_Income,0.0
DET,928,WorldEqVz_Income,NamEqABVz_Income,0.48
DET,929,WorldEqVz_Total,AsiaEqVz_Total,0.05
DET,930,WorldEqVz_Total,EmAsEqVz_Total,0.07
DET,931,WorldEqVz_Total,EmEurEqVz_Total,0.02
DET,932,WorldEqVz_Total,EuEqVz_Total,0.26
DET,933,WorldEqVz_Total,JapEqVz_Total,0.09
DET,934,WorldEqVz_Total,LamEqVz_Total,0.03
DET,935,WorldEqVz_Total,MeAfEqVz_Total,0.0
DET,936,WorldEqVz_Total,NamEqABVz_Total,0.48
DET,937,WorldXEqVz_Income,WorldEqVz_Income,1.0
DET,938,WorldXEqVz_Total,WorldEqVz_Total,1.0
DET,939,WrdAndRtVv_Income,AsiaAndVvB_Income,0.03
DET,940,WrdAndRtVv_Income,EmAsVvB_Income,0.04
DET,941,WrdAndRtVv_Income,EuAndVvB_Income,0.5
