prodboomcd,premium,value
2040PLUSFONDS_PP,7650,1.0
2040PLUSFONDS_PP,7700,1.0
2040PLUSFONDS_PP,7750,1.0
2040PLUSFONDS_PP,7800,1.0
2040PLUSFONDS_PP,7850,1.0
2040PLUSFONDS_PP,7900,1.0
2040PLUSFONDS_PP,7950,1.0
2040PLUSFONDS_PP,8000,1.0
2040PLUSFONDS_PP,8050,1.0
2040PLUSFONDS_PP,8100,1.0
2040PLUSFONDS_PP,8150,1.0
2040PLUSFONDS_PP,8200,1.0
2040PLUSFONDS_PP,8250,1.0
2040PLUSFONDS_PP,8300,1.0
2040PLUSFONDS_PP,8350,1.0
2040PLUSFONDS_PP,8400,1.0
2040PLUSFONDS_PP,8450,1.0
2040PLUSFONDS_PP,8500,1.0
2040PLUSFONDS_PP,8550,1.0
2040PLUSFONDS_PP,8600,1.0
2040PLUSFONDS_PP,8650,1.0
2040PLUSFONDS_PP,8700,1.0
2040PLUSFONDS_PP,8750,1.0
2040PLUSFONDS_PP,8800,1.0
2040PLUSFONDS_PP,8850,1.0
2040PLUSFONDS_PP,8900,1.0
2040PLUSFONDS_PP,8950,1.0
2040PLUSFONDS_PP,9000,1.0
2040PLUSFONDS_PP,9050,1.0
2040PLUSFONDS_PP,9100,1.0
2040PLUSFONDS_PP,9150,1.0
2040PLUSFONDS_PP,9200,1.0
2040PLUSFONDS_PP,9250,1.0
2040PLUSFONDS_PP,9300,1.0
2040PLUSFONDS_PP,9350,1.0
2040PLUSFONDS_PP,9400,1.0
2040PLUSFONDS_PP,9450,1.0
2040PLUSFONDS_PP,9500,1.0
2040PLUSFONDS_PP,9550,1.0
2040PLUSFONDS_PP,9600,1.0
2040PLUSFONDS_PP,9650,1.0
2040PLUSFONDS_PP,9700,1.0
2040PLUSFONDS_PP,9750,1.0
2040PLUSFONDS_PP,9800,1.0
2040PLUSFONDS_PP,9850,1.0
2040PLUSFONDS_PP,9900,1.0
2040PLUSFONDS_PP,9950,1.0
2040PLUSFONDS_PP,10000,1.0
2040PLUSFONDS_PP,10050,1.0
2040PLUSFONDS_PUP,50,1.0
2040PLUSFONDS_PUP,100,1.0
2040PLUSFONDS_PUP,150,1.0
2040PLUSFONDS_PUP,200,1.0
2040PLUSFONDS_PUP,250,1.0
2040PLUSFONDS_PUP,300,1.0
2040PLUSFONDS_PUP,350,1.0
2040PLUSFONDS_PUP,400,1.0
2040PLUSFONDS_PUP,450,1.0
2040PLUSFONDS_PUP,500,1.0
2040PLUSFONDS_PUP,550,1.0
2040PLUSFONDS_PUP,600,1.0
2040PLUSFONDS_PUP,650,1.0
2040PLUSFONDS_PUP,700,1.0
2040PLUSFONDS_PUP,750,1.0
2040PLUSFONDS_PUP,800,1.0
2040PLUSFONDS_PUP,850,1.0
2040PLUSFONDS_PUP,900,1.0
2040PLUSFONDS_PUP,950,1.0
2040PLUSFONDS_PUP,1000,1.0
2040PLUSFONDS_PUP,1050,1.0
2040PLUSFONDS_PUP,1100,1.0
2040PLUSFONDS_PUP,1150,1.0
2040PLUSFONDS_PUP,1200,1.0
2040PLUSFONDS_PUP,1250,1.0
2040PLUSFONDS_PUP,1300,1.0
2040PLUSFONDS_PUP,1350,1.0
2040PLUSFONDS_PUP,1400,1.0
2040PLUSFONDS_PUP,1450,1.0
2040PLUSFONDS_PUP,1500,1.0
2040PLUSFONDS_PUP,1550,1.0
2040PLUSFONDS_PUP,1600,1.0
2040PLUSFONDS_PUP,1650,1.0
2040PLUSFONDS_PUP,1700,1.0
2040PLUSFONDS_PUP,1750,1.0
2040PLUSFONDS_PUP,1800,1.0
2040PLUSFONDS_PUP,1850,1.0
2040PLUSFONDS_PUP,1900,1.0
2040PLUSFONDS_PUP,1950,1.0
2040PLUSFONDS_PUP,2000,1.0
2040PLUSFONDS_PUP,2050,1.0
2040PLUSFONDS_PUP,2100,1.0
2040PLUSFONDS_PUP,2150,1.0
2040PLUSFONDS_PUP,2200,1.0
2040PLUSFONDS_PUP,2250,1.0
2040PLUSFONDS_PUP,2300,1.0
2040PLUSFONDS_PUP,2350,1.0
2040PLUSFONDS_PUP,2400,1.0
2040PLUSFONDS_PUP,2450,1.0
2040PLUSFONDS_PUP,2500,1.0
2040PLUSFONDS_PUP,2550,1.0
2040PLUSFONDS_PUP,2600,1.0
2040PLUSFONDS_PUP,2650,1.0
2040PLUSFONDS_PUP,2700,1.0
2040PLUSFONDS_PUP,2750,1.0
2040PLUSFONDS_PUP,2800,1.0
2040PLUSFONDS_PUP,2850,1.0
2040PLUSFONDS_PUP,2900,1.0
2040PLUSFONDS_PUP,2950,1.0
2040PLUSFONDS_PUP,3000,1.0
2040PLUSFONDS_PUP,3050,1.0
2040PLUSFONDS_PUP,3100,1.0
2040PLUSFONDS_PUP,3150,1.0
2040PLUSFONDS_PUP,3200,1.0
2040PLUSFONDS_PUP,3250,1.0
2040PLUSFONDS_PUP,3300,1.0
2040PLUSFONDS_PUP,3350,1.0
2040PLUSFONDS_PUP,3400,1.0
2040PLUSFONDS_PUP,3450,1.0
2040PLUSFONDS_PUP,3500,1.0
2040PLUSFONDS_PUP,3550,1.0
2040PLUSFONDS_PUP,3600,1.0
2040PLUSFONDS_PUP,3650,1.0
2040PLUSFONDS_PUP,3700,1.0
2040PLUSFONDS_PUP,3750,1.0
2040PLUSFONDS_PUP,3800,1.0
2040PLUSFONDS_PUP,3850,1.0
2040PLUSFONDS_PUP,3900,1.0
2040PLUSFONDS_PUP,3950,1.0
2040PLUSFONDS_PUP,4000,1.0
2040PLUSFONDS_PUP,4050,1.0
2040PLUSFONDS_PUP,4100,1.0
2040PLUSFONDS_PUP,4150,1.0
2040PLUSFONDS_PUP,4200,1.0
2040PLUSFONDS_PUP,4250,1.0
2040PLUSFONDS_PUP,4300,1.0
2040PLUSFONDS_PUP,4350,1.0
2040PLUSFONDS_PUP,4400,1.0
2040PLUSFONDS_PUP,4450,1.0
2040PLUSFONDS_PUP,4500,1.0
2040PLUSFONDS_PUP,4550,1.0
2040PLUSFONDS_PUP,4600,1.0
2040PLUSFONDS_PUP,4650,1.0
2040PLUSFONDS_PUP,4700,1.0
2040PLUSFONDS_PUP,4750,1.0
2040PLUSFONDS_PUP,4800,1.0
2040PLUSFONDS_PUP,4850,1.0
2040PLUSFONDS_PUP,4900,1.0
2040PLUSFONDS_PUP,4950,1.0
2040PLUSFONDS_PUP,5000,1.0
2040PLUSFONDS_PUP,5050,1.0
2040PLUSFONDS_PUP,5100,1.0
2040PLUSFONDS_PUP,5150,1.0
