fund_number,fund_name,price,guarantee,guarantee_type,fund_ind,hr_indicator,aegon_fund,value_per_year
221,0,1.0,0,0,0,0,0,0.062
222,0,1.0,0,0,0,0,0,0.062
223,0,1.0,0,0,0,0,0,0.062
224,0,1.0,0,0,0,0,0,0.062
225,0,1.0,0,0,0,0,0,0.062
226,0,1.0,0,0,0,0,0,0.062
227,0,1.0,0,0,0,0,0,0.062
228,0,1.0,0,0,0,0,0,0.062
229,0,1.0,0,0,0,0,0,0.062
230,0,1.0,0,0,0,0,0,0.062
231,0,1.0,0,0,0,0,0,0.062
232,0,1.0,0,0,0,0,0,0.062
233,0,1.0,0,0,0,0,0,0.062
234,0,1.0,0,0,0,0,0,0.062
235,0,1.0,0,0,0,0,0,0.062
236,0,1.0,0,0,0,0,0,0.062
237,0,1.0,0,0,0,0,0,0.062
238,0,1.0,0,0,0,0,0,0.062
239,0,1.0,0,0,0,0,0,0.062
240,0,1.0,0,0,0,0,0,0.062
241,0,1.0,0,0,0,0,0,0.062
242,0,1.0,0,0,0,0,0,0.062
243,0,1.0,0,0,0,0,0,0.062
244,0,1.0,0,0,0,0,0,0.062
245,0,1.0,0,0,0,0,0,0.062
246,0,1.0,0,0,0,0,0,0.062
247,0,1.0,0,0,0,0,0,0.062
248,0,1.0,0,0,0,0,0,0.062
249,0,1.0,0,0,0,0,0,0.062
250,0,1.0,0,0,0,0,0,0.062
251,0,1.0,0,0,0,0,0,0.062
252,0,1.0,0,0,0,0,0,0.062
253,0,1.0,0,0,0,0,0,0.062
254,0,1.0,0,0,0,0,0,0.062
255,0,1.0,0,0,0,0,0,0.062
256,0,1.0,0,0,0,0,0,0.062
257,0,1.0,0,0,0,0,0,0.062
258,0,1.0,0,0,0,0,0,0.062
259,0,1.0,0,0,0,0,0,0.062
260,0,1.0,0,0,0,0,0,0.062
261,0,1.0,0,0,0,0,0,0.062
262,0,1.0,0,0,0,0,0,0.062
263,0,1.0,0,0,0,0,0,0.062
264,0,1.0,0,0,0,0,0,0.062
265,0,1.0,0,0,0,0,0,0.062
266,0,1.0,0,0,0,0,0,0.062
267,0,1.0,0,0,0,0,0,0.062
268,0,1.0,0,0,0,0,0,0.062
269,0,1.0,0,0,0,0,0,0.062
270,0,1.0,0,0,0,0,0,0.062
271,0,1.0,0,0,0,0,0,0.062
272,0,1.0,0,0,0,0,0,0.062
273,0,1.0,0,0,0,0,0,0.062
274,0,1.0,0,0,0,0,0,0.062
275,0,1.0,0,0,0,0,0,0.062
276,0,1.0,0,0,0,0,0,0.062
277,0,1.0,0,0,0,0,0,0.062
278,0,1.0,0,0,0,0,0,0.062
279,0,1.0,0,0,0,0,0,0.062
280,0,1.0,0,0,0,0,0,0.062
281,0,1.0,0,0,0,0,0,0.062
282,0,1.0,0,0,0,0,0,0.062
283,0,1.0,0,0,0,0,0,0.062
284,0,1.0,0,0,0,0,0,0.062
285,0,1.0,0,0,0,0,0,0.062
286,0,1.0,0,0,0,0,0,0.062
287,0,1.0,0,0,0,0,0,0.062
288,0,1.0,0,0,0,0,0,0.062
289,0,1.0,0,0,0,0,0,0.062
290,0,1.0,0,0,0,0,0,0.062
291,0,1.0,0,0,0,0,0,0.062
292,0,1.0,0,0,0,0,0,0.062
293,0,1.0,0,0,0,0,0,0.062
294,0,1.0,0,0,0,0,0,0.062
295,0,1.0,0,0,0,0,0,0.062
296,0,1.0,0,0,0,0,0,0.062
297,0,1.0,0,0,0,0,0,0.062
298,0,1.0,0,0,0,0,0,0.062
299,0,1.0,0,0,0,0,0,0.062
300,0,1.0,0,0,0,0,0,0.062
301,0,1.0,0,0,0,0,0,0.062
302,0,1.0,0,0,0,0,0,0.062
303,0,1.0,0,0,0,0,0,0.062
304,0,1.0,0,0,0,0,0,0.062
305,0,1.0,0,0,0,0,0,0.062
306,0,1.0,0,0,0,0,0,0.062
307,0,1.0,0,0,0,0,0,0.062
308,0,1.0,0,0,0,0,0,0.062
309,0,1.0,0,0,0,0,0,0.062
310,0,1.0,0,0,0,0,0,0.062
311,0,1.0,0,0,0,0,0,0.062
312,0,1.0,0,0,0,0,0,0.062
313,Effecten,1.0,0,0,2,0,0,0.062
314,0,1.0,0,0,0,0,0,0.062
315,0,1.0,0,0,0,0,0,0.062
316,0,1.0,0,0,0,0,0,0.062
317,0,1.0,0,0,0,0,0,0.062
318,0,1.0,0,0,0,0,0,0.062
319,Effecten,1.0,0,0,2,0,0,0.062
320,0,1.0,0,0,0,0,0,0.062
321,Effecten,1.0,0,0,2,0,0,0.062
322,0,1.0,0,0,0,0,0,0.062
323,0,1.0,0,0,0,0,0,0.062
324,0,1.0,0,0,0,0,0,0.062
325,0,1.0,0,0,0,0,0,0.062
326,0,1.0,0,0,0,0,0,0.062
327,0,1.0,0,0,0,0,0,0.062
328,0,1.0,0,0,0,0,0,0.062
329,0,1.0,0,0,0,0,0,0.062
330,0,1.0,0,0,0,0,0,0.062
331,0,1.0,0,0,0,0,0,0.062
332,0,1.0,0,0,0,0,0,0.062
333,0,1.0,0,0,0,0,0,0.062
334,0,1.0,0,0,0,0,0,0.062
335,0,1.0,0,0,0,0,0,0.062
336,0,1.0,0,0,0,0,0,0.062
337,0,1.0,0,0,0,0,0,0.062
338,0,1.0,0,0,0,0,0,0.062
339,0,1.0,0,0,0,0,0,0.062
340,0,1.0,0,0,0,0,0,0.062
341,0,1.0,0,0,0,0,0,0.062
342,0,1.0,0,0,0,0,0,0.062
343,0,1.0,0,0,0,0,0,0.062
344,0,1.0,0,0,0,0,0,0.062
345,0,1.0,0,0,0,0,0,0.062
346,0,1.0,0,0,0,0,0,0.062
347,0,1.0,0,0,0,0,0,0.062
348,0,1.0,0,0,0,0,0,0.062
349,0,1.0,0,0,0,0,0,0.062
350,0,1.0,0,0,0,0,0,0.062
351,0,1.0,0,0,0,0,0,0.062
352,0,1.0,0,0,0,0,0,0.062
353,0,1.0,0,0,0,0,0,0.062
354,0,1.0,0,0,0,0,0,0.062
355,0,1.0,0,0,0,0,0,0.062
356,0,1.0,0,0,0,0,0,0.062
357,0,1.0,0,0,0,0,0,0.062
358,0,1.0,0,0,0,0,0,0.062
359,0,1.0,0,0,0,0,0,0.062
360,0,1.0,0,0,0,0,0,0.062
361,0,1.0,0,0,0,0,0,0.062
362,0,1.0,0,0,0,0,0,0.062
363,Effecten,1.0,0,0,2,0,0,0.062
364,0,1.0,0,0,0,0,0,0.062
365,0,1.0,0,0,0,0,0,0.062
366,0,1.0,0,0,0,0,0,0.062
367,0,1.0,0,0,0,0,0,0.062
368,0,1.0,0,0,0,0,0,0.062
369,0,1.0,0,0,0,0,0,0.062
370,0,1.0,0,0,0,0,0,0.062
371,0,1.0,0,0,0,0,0,0.062
372,0,1.0,0,0,0,0,0,0.062
373,Effecten,1.0,0,0,2,0,0,0.062
374,0,1.0,0,0,0,0,0,0.062
375,0,1.0,0,0,0,0,0,0.062
376,0,1.0,0,0,0,0,0,0.062
377,0,1.0,0,0,0,0,0,0.062
378,0,1.0,0,0,0,0,0,0.062
379,0,1.0,0,0,0,0,0,0.062
380,0,1.0,0,0,0,0,0,0.062
381,0,1.0,0,0,0,0,0,0.062
382,0,1.0,0,0,0,0,0,0.062
383,0,1.0,0,0,0,0,0,0.062
384,0,1.0,0,0,0,0,0,0.062
385,0,1.0,0,0,0,0,0,0.062
386,0,1.0,0,0,0,0,0,0.062
387,Effecten,1.0,0,0,2,0,0,0.062
388,0,1.0,0,0,0,0,0,0.062
389,0,1.0,0,0,0,0,0,0.062
390,Effecten,1.0,0,0,2,0,0,0.062
391,Effecten,1.0,0,0,2,0,0,0.062
392,Effecten,1.0,0,0,2,0,0,0.062
393,Effecten,1.0,0,0,2,0,0,0.062
394,0,1.0,0,0,0,0,0,0.062
395,Effecten,1.0,0,0,2,0,0,0.062
396,0,1.0,0,0,0,0,0,0.062
397,0,1.0,0,0,0,0,0,0.062
398,0,1.0,0,0,0,0,0,0.062
399,0,1.0,0,0,0,0,0,0.062
400,0,1.0,0,0,0,0,0,0.062
401,0,1.0,0,0,0,0,0,0.062
402,0,1.0,0,0,0,0,0,0.062
403,0,1.0,0,0,0,0,0,0.062
404,0,1.0,0,0,0,0,0,0.062
405,0,1.0,0,0,0,0,0,0.062
406,0,1.0,0,0,0,0,0,0.062
407,0,1.0,0,0,0,0,0,0.062
408,Effecten,1.0,0,0,2,0,0,0.062
409,0,1.0,0,0,0,0,0,0.062
410,Effecten,1.0,0,0,2,0,0,0.062
411,0,1.0,0,0,0,0,0,0.062
412,0,1.0,0,0,0,0,0,0.062
413,0,1.0,0,0,0,0,0,0.062
414,0,1.0,0,0,0,0,0,0.062
415,0,1.0,0,0,0,0,0,0.062
416,0,1.0,0,0,0,0,0,0.062
417,0,1.0,0,0,0,0,0,0.062
418,0,1.0,0,0,0,0,0,0.062
419,0,1.0,0,0,0,0,0,0.062
420,0,1.0,0,0,0,0,0,0.062
421,0,1.0,0,0,0,0,0,0.062
422,0,1.0,0,0,0,0,0,0.062
423,0,1.0,0,0,0,0,0,0.062
424,Effecten,1.0,0,0,2,0,0,0.062
425,0,1.0,0,0,0,0,0,0.062
426,0,1.0,0,0,0,0,0,0.062
427,0,1.0,0,0,0,0,0,0.062
428,0,1.0,0,0,0,0,0,0.062
429,0,1.0,0,0,0,0,0,0.062
430,0,1.0,0,0,0,0,0,0.062
431,0,1.0,0,0,0,0,0,0.062
432,0,1.0,0,0,0,0,0,0.062
433,0,1.0,0,0,0,0,0,0.062
434,0,1.0,0,0,0,0,0,0.062
435,0,1.0,0,0,0,0,0,0.062
436,0,1.0,0,0,0,0,0,0.062
437,0,1.0,0,0,0,0,0,0.062
438,0,1.0,0,0,0,0,0,0.062
439,0,1.0,0,0,0,0,0,0.062
440,0,1.0,0,0,0,0,0,0.062
441,0,1.0,0,0,0,0,0,0.062
442,0,1.0,0,0,0,0,0,0.062
443,0,1.0,0,0,0,0,0,0.062
444,0,1.0,0,0,0,0,0,0.062
445,0,1.0,0,0,0,0,0,0.062
446,0,1.0,0,0,0,0,0,0.062
447,0,1.0,0,0,0,0,0,0.062
448,0,1.0,0,0,0,0,0,0.062
449,0,1.0,0,0,0,0,0,0.062
450,0,1.0,0,0,0,0,0,0.062
451,0,1.0,0,0,0,0,0,0.062
452,0,1.0,0,0,0,0,0,0.062
453,0,1.0,0,0,0,0,0,0.062
454,0,1.0,0,0,0,0,0,0.062
455,0,1.0,0,0,0,0,0,0.062
456,0,1.0,0,0,0,0,0,0.062
457,0,1.0,0,0,0,0,0,0.062
458,0,1.0,0,0,0,0,0,0.062
459,0,1.0,0,0,0,0,0,0.062
460,0,1.0,0,0,0,0,0,0.062
461,0,1.0,0,0,0,0,0,0.062
462,0,1.0,0,0,0,0,0,0.062
463,Effecten,1.0,0,0,2,0,0,0.062
464,0,1.0,0,0,0,0,0,0.062
465,0,1.0,0,0,0,0,0,0.062
466,Effecten,1.0,0,0,2,0,0,0.062
