tarcd,indicator,acq_exp_freq,acq_exp_alloc,ren_exp_pp_freq,ren_exp_pup_freq,ren_exp_alloc,comm_pp_freq,comm_pup_freq,comm_alloc,riskprem_freq,riskprem_alloc,mngmt_freq,mngmt_alloc,aankoop_kst,verkoop_kst,mngmt_cmpny_pc,mngmt_cmpny_pc_2,defer_period,init_comp_mort,ren_comp_mort,ind_survprof_surr,ind_savprem_surr,ind_autoswitch,switch_term_start,guarantee_pc,exp_init_ex_moira,perc_fund,man_fee_am_iss_dat,mat_charge_fixed,pup_si_mult,dth_ded_mth_fnd,dth_ded_elapsed_mth,dth_ded_perc_term,dth_ded_perc_fixed,dth_ded_perc_max,costs_perc_sav_prem,mcev_spaar_trad_ind
exnvg_pensioenspaarlift_K,"",M,VALUE,M,M,VALUE,M,M,VALUE,M,VALUE,M,VALUE,0.02,0.0,0.0054,"",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"","","","","","","","","","","",""
exnvg_pensioenspaarlift_P,"",M,VALUE,M,M,VALUE,M,M,VALUE,M,VALUE,M,VALUE,0.02,0.0,0.0054,"",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"","","","","","","","","","","",""
exnvg_pensioenspaarlift_T,"",M,VALUE,M,M,VALUE,M,M,VALUE,M,VALUE,M,VALUE,0.02,0.0,0.0054,"",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"","","","","","","","","","","",""
exnvg_spaarlift_C,"",M,VALUE,M,M,VALUE,M,M,VALUE,M,VALUE,M,VALUE,0.02,0.0,0.0054,"",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"","","","","","","","","","","",""
exnvg_spaarlift_K,"",M,VALUE,M,M,VALUE,M,M,VALUE,M,VALUE,M,VALUE,0.02,0.0,0.0054,"",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"","","","","","","","","","","",""
exnvg_spaarlift_P,"",M,VALUE,M,M,VALUE,M,M,VALUE,M,VALUE,M,VALUE,0.02,0.0,0.0054,"",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"","","","","","","","","","","",""
exnvg_spaarlift_T,"",M,VALUE,M,M,VALUE,M,M,VALUE,M,VALUE,M,VALUE,0.02,0.0,0.0054,"",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"","","","","","","","","","","",""
garantieplusplan_C,"",M,VALUE,M,M,VALUE,M,M,VALUE,M,VALUE,M,VALUE,0.02,0.0,0.0054,"",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"","","","","","","","","","","",""
garantieplusplan_K,"",M,VALUE,M,M,VALUE,M,M,VALUE,M,VALUE,M,VALUE,0.02,0.0,0.0054,"",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"","","","","","","","","","","",""
garantieplusplan_P,"",M,VALUE,M,M,VALUE,M,M,VALUE,M,VALUE,M,VALUE,0.02,0.0,0.0054,"",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"","","","","","","","","","","",""
garantieplusplan_T,"",M,VALUE,M,M,VALUE,M,M,VALUE,M,VALUE,M,VALUE,0.02,0.0,0.0054,"",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"","","","","","","","","","","",""
guldenspolis_C,"",M,VALUE,M,M,VALUE,M,M,VALUE,M,VALUE,M,VALUE,0.02,0.0,0.0054,"",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"","","","","","","","","","","",""
guldenspolis_K,"",M,VALUE,M,M,VALUE,M,M,VALUE,M,VALUE,M,VALUE,0.02,0.0,0.0054,"",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"","","","","","","","","","","",""
guldenspolis_P,"",M,VALUE,M,M,VALUE,M,M,VALUE,M,VALUE,M,VALUE,0.02,0.0,0.0054,"",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"","","","","","","","","","","",""
guldenspolis_T,"",M,VALUE,M,M,VALUE,M,M,VALUE,M,VALUE,M,VALUE,0.02,0.0,0.0054,"",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"","","","","","","","","","","",""
mixplan_C,"",M,VALUE,M,M,VALUE,M,M,VALUE,M,VALUE,M,VALUE,0.02,0.0,0.0054,"",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"","","","","","","","","","","",""
mixplan_K,"",M,VALUE,M,M,VALUE,M,M,VALUE,M,VALUE,M,VALUE,0.02,0.0,0.0054,"",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"","","","","","","","","","","",""
mixplan_P,"",M,VALUE,M,M,VALUE,M,M,VALUE,M,VALUE,M,VALUE,0.02,0.0,0.0054,"",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"","","","","","","","","","","",""
mixplan_T,"",M,VALUE,M,M,VALUE,M,M,VALUE,M,VALUE,M,VALUE,0.02,0.0,0.0054,"",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"","","","","","","","","","","",""
plusfonds_2040_plus_C,"",M,VALUE,M,M,VALUE,M,M,VALUE,M,VALUE,M,VALUE,0.02,0.0,0.0054,"",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"","","","","","","","","","","",""
plusfonds_2040_plus_K,"",M,VALUE,M,M,VALUE,M,M,VALUE,M,VALUE,M,VALUE,0.02,0.0,0.0054,"",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"","","","","","","","","","","",""
plusfonds_2040_plus_P,"",M,VALUE,M,M,VALUE,M,M,VALUE,M,VALUE,M,VALUE,0.02,0.0,0.0054,"",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"","","","","","","","","","","",""
plusfonds_2040_plus_T,"",M,VALUE,M,M,VALUE,M,M,VALUE,M,VALUE,M,VALUE,0.02,0.0,0.0054,"",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"","","","","","","","","","","",""
plusfonds_pensioenplus_C,"",M,VALUE,M,M,VALUE,M,M,VALUE,M,VALUE,M,VALUE,0.02,0.0,0.0054,"",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"","","","","","","","","","","",""
plusfonds_pensioenplus_K,"",M,VALUE,M,M,VALUE,M,M,VALUE,M,VALUE,M,VALUE,0.02,0.0,0.0054,"",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"","","","","","","","","","","",""
plusfonds_pensioenplus_P,"",M,VALUE,M,M,VALUE,M,M,VALUE,M,VALUE,M,VALUE,0.02,0.0,0.0054,"",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"","","","","","","","","","","",""
