tarcd,indicator,acq_exp_freq,acq_exp_alloc,ren_exp_pp_freq,ren_exp_pup_freq,ren_exp_alloc,comm_pp_freq,comm_pup_freq,comm_alloc,riskprem_freq,riskprem_alloc,mngmt_freq,mngmt_alloc,aankoop_kst,verkoop_kst,mngmt_cmpny_pc,mngmt_cmpny_pc_2,defer_period,init_comp_mort,ren_comp_mort,ind_survprof_surr,ind_savprem_surr,ind_autoswitch,switch_term_start,guarantee_pc,exp_init_ex_moira,perc_fund,man_fee_am_iss_dat,mat_charge_fixed,pup_si_mult,dth_ded_mth_fnd,dth_ded_elapsed_mth,dth_ded_perc_term,dth_ded_perc_fixed,dth_ded_perc_max,costs_perc_sav_prem,mcev_spaar_trad_ind
plusfonds_pensioenplus_T,"",M,VALUE,M,M,VALUE,M,M,VALUE,M,VALUE,M,VALUE,0.02,0.0,0.0054,"",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"","","","","","","","","","","",""
plusfonds_spaarplus_C,"",M,VALUE,M,M,VALUE,M,M,VALUE,M,VALUE,M,VALUE,0.02,0.0,0.0054,"",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"","","","","","","","","","","",""
plusfonds_spaarplus_K,"",M,VALUE,M,M,VALUE,M,M,VALUE,M,VALUE,M,VALUE,0.02,0.0,0.0054,"",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"","","","","","","","","","","",""
plusfonds_spaarplus_P,"",M,VALUE,M,M,VALUE,M,M,VALUE,M,VALUE,M,VALUE,0.02,0.0,0.0054,"",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"","","","","","","","","","","",""
plusfonds_spaarplus_T,"",M,VALUE,M,M,VALUE,M,M,VALUE,M,VALUE,M,VALUE,0.02,0.0,0.0054,"",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"","","","","","","","","","","",""
plusfonds_studieplus_C,"",M,VALUE,M,M,VALUE,M,M,VALUE,M,VALUE,M,VALUE,0.02,0.0,0.0054,"",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"","","","","","","","","","","",""
plusfonds_studieplus_K,"",M,VALUE,M,M,VALUE,M,M,VALUE,M,VALUE,M,VALUE,0.02,0.0,0.0054,"",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"","","","","","","","","","","",""
plusfonds_studieplus_P,"",M,VALUE,M,M,VALUE,M,M,VALUE,M,VALUE,M,VALUE,0.02,0.0,0.0054,"",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"","","","","","","","","","","",""
plusfonds_studieplus_T,"",M,VALUE,M,M,VALUE,M,M,VALUE,M,VALUE,M,VALUE,0.02,0.0,0.0054,"",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"","","","","","","","","","","",""
premiespaarplan_C,"",M,VALUE,M,M,VALUE,M,M,VALUE,M,VALUE,M,VALUE,0.02,0.0,0.0054,"",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"","","","","","","","","","","",""
premiespaarplan_K,"",M,VALUE,M,M,VALUE,M,M,VALUE,M,VALUE,M,VALUE,0.02,0.0,0.0054,"",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"","","","","","","","","","","",""
premiespaarplan_P,"",M,VALUE,M,M,VALUE,M,M,VALUE,M,VALUE,M,VALUE,0.02,0.0,0.0054,"",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"","","","","","","","","","","",""
premiespaarplan_T,"",M,VALUE,M,M,VALUE,M,M,VALUE,M,VALUE,M,VALUE,0.02,0.0,0.0054,"",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"","","","","","","","","","","",""
rendementsovereenkomsten_C,"",M,VALUE,M,M,VALUE,M,M,VALUE,M,VALUE,M,VALUE,0.02,0.0,0.0054,"",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"","","","","","","","","","","",""
rendementsovereenkomsten_K,"",M,VALUE,M,M,VALUE,M,M,VALUE,M,VALUE,M,VALUE,0.02,0.0,0.0054,"",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"","","","","","","","","","","",""
rendementsovereenkomsten_P,"",M,VALUE,M,M,VALUE,M,M,VALUE,M,VALUE,M,VALUE,0.02,0.0,0.0054,"",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"","","","","","","","","","","",""
rendementsovereenkomsten_T,"",M,VALUE,M,M,VALUE,M,M,VALUE,M,VALUE,M,VALUE,0.02,0.0,0.0054,"",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"","","","","","","","","","","",""
samenzeker_C,"",M,VALUE,M,M,VALUE,M,M,VALUE,M,VALUE,M,VALUE,0.02,0.0,0.0054,"",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"","","","","","","","","","","",""
samenzeker_K,"",M,VALUE,M,M,VALUE,M,M,VALUE,M,VALUE,M,VALUE,0.02,0.0,0.0054,"",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"","","","","","","","","","","",""
samenzeker_P,"",M,VALUE,M,M,VALUE,M,M,VALUE,M,VALUE,M,VALUE,0.02,0.0,0.0054,"",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"","","","","","","","","","","",""
