keyfield,postid,product,group,kstvlgnr,kstcd,ksttotbd,kstvbgjr,kstvbgmd,chgperiod,recordno
608390120,608390120,CHARGE,chg,2,1.0,7.08,2007,11,23.0,124
608390140,608390140,CHARGE,chg,2,1.0,11.4,2007,11,24.0,125
608390140,608390140,CHARGE,chg,1,1.0,74.16,2007,11,24.0,126
608390170,608390170,CHARGE,chg,1,1.0,176.28,2007,11,25.0,127
608390170,608390170,CHARGE,chg,2,1.0,27.12,2007,11,25.0,128
608390300,608390300,CHARGE,chg,1,1.0,102.36,2007,11,23.0,129
608390300,608390300,CHARGE,chg,2,1.0,15.72,2007,11,23.0,130
608390390,608390390,CHARGE,chg,1,1.0,151.92,2007,11,23.0,131
608390390,608390390,CHARGE,chg,2,1.0,23.28,2007,11,23.0,132
608390410,608390410,CHARGE,chg,1,1.0,51.24,2007,11,23.0,133
608390410,608390410,CHARGE,chg,2,1.0,7.92,2007,11,23.0,134
608390420,608390420,CHARGE,chg,1,1.0,47.88,2007,11,23.0,135
608390420,608390420,CHARGE,chg,2,1.0,7.32,2007,11,23.0,136
608390430,608390430,CHARGE,chg,2,1.0,5.28,2007,11,23.0,137
608390430,608390430,CHARGE,chg,1,1.0,33.96,2007,11,23.0,138
608390460,608390460,CHARGE,chg,1,1.0,46.92,2007,11,23.0,139
608390460,608390460,CHARGE,chg,2,1.0,7.2,2007,11,23.0,140
608390590,608390590,CHARGE,chg,1,1.0,73.92,2007,11,24.0,141
608390590,608390590,CHARGE,chg,2,1.0,11.4,2007,11,24.0,142
608390770,608390770,CHARGE,chg,1,1.0,67.68,2007,11,24.0,143
608390770,608390770,CHARGE,chg,2,1.0,10.44,2007,11,24.0,144
608390790,608390790,CHARGE,chg,1,1.0,60.24,2007,11,24.0,145
608390790,608390790,CHARGE,chg,2,1.0,9.24,2007,11,24.0,146
608390970,608390970,CHARGE,chg,2,1.0,9.48,2007,11,24.0,147
608390970,608390970,CHARGE,chg,1,1.0,61.44,2007,11,24.0,148
608391100,608391100,CHARGE,chg,4,1.0,10.68,2009,7,120.0,149
608391100,608391100,CHARGE,chg,3,1.0,26.16,2007,11,24.0,150
608391100,608391100,CHARGE,chg,2,1.0,69.96,2009,7,120.0,151
608391100,608391100,CHARGE,chg,1,1.0,169.92,2007,11,24.0,152
608391280,608391280,CHARGE,chg,1,1.0,199.2,2007,11,24.0,153
608391280,608391280,CHARGE,chg,2,1.0,30.6,2007,11,24.0,154
608391300,608391300,CHARGE,chg,1,1.0,78.24,2007,11,24.0,155
608391300,608391300,CHARGE,chg,2,1.0,12.0,2007,11,24.0,156
608391620,608391620,CHARGE,chg,1,1.0,84.72,2007,11,24.0,157
608391620,608391620,CHARGE,chg,2,1.0,13.08,2007,11,24.0,158
608391660,608391660,CHARGE,chg,1,1.0,141.0,2007,11,24.0,159
608391660,608391660,CHARGE,chg,2,1.0,21.6,2007,11,24.0,160
608391710,608391710,CHARGE,chg,1,1.0,75.96,2007,11,24.0,161
608391710,608391710,CHARGE,chg,2,1.0,11.64,2007,11,24.0,162
608392020,608392020,CHARGE,chg,2,1.0,11.28,2007,11,25.0,163
608392020,608392020,CHARGE,chg,1,1.0,73.8,2007,11,25.0,164
608392120,608392120,CHARGE,chg,1,1.0,79.56,2007,11,24.0,165
608392120,608392120,CHARGE,chg,2,1.0,12.24,2007,11,24.0,166
608392270,608392270,CHARGE,chg,1,1.0,49.68,2007,11,25.0,167
608392270,608392270,CHARGE,chg,2,1.0,7.68,2007,11,25.0,168
608392290,608392290,CHARGE,chg,1,1.0,80.88,2007,11,25.0,169
608392290,608392290,CHARGE,chg,2,1.0,12.48,2007,11,25.0,170
608392300,608392300,CHARGE,chg,1,1.0,112.32,2007,11,25.0,171
608392300,608392300,CHARGE,chg,2,1.0,17.28,2007,11,25.0,172
608392490,608392490,CHARGE,chg,1,1.0,50.16,2007,11,24.0,173
608392490,608392490,CHARGE,chg,2,1.0,7.68,2007,11,24.0,174
608392610,608392610,CHARGE,chg,2,1.0,15.36,2007,11,24.0,175
608392610,608392610,CHARGE,chg,1,1.0,100.2,2007,11,24.0,176
608392660,608392660,CHARGE,chg,1,1.0,78.48,2007,11,24.0,177
608392660,608392660,CHARGE,chg,2,1.0,12.0,2007,11,24.0,178
608392680,608392680,CHARGE,chg,1,1.0,51.84,2007,11,24.0,179
608392680,608392680,CHARGE,chg,2,1.0,7.92,2007,11,24.0,180
608392740,608392740,CHARGE,chg,1,1.0,32.76,2007,11,24.0,181
608392740,608392740,CHARGE,chg,2,1.0,5.04,2007,11,24.0,182
608392850,608392850,CHARGE,chg,1,1.0,137.52,2007,11,24.0,183
608392850,608392850,CHARGE,chg,2,1.0,21.12,2007,11,24.0,184
608392940,608392940,CHARGE,chg,1,1.0,124.32,2007,11,25.0,185
608392940,608392940,CHARGE,chg,2,1.0,19.08,2007,11,25.0,186
608393100,608393100,CHARGE,chg,2,1.0,19.68,2007,11,24.0,187
608393100,608393100,CHARGE,chg,1,1.0,128.28,2007,11,24.0,188
608393160,608393160,CHARGE,chg,1,1.0,125.76,2007,11,24.0,189
608393160,608393160,CHARGE,chg,2,1.0,19.32,2007,11,24.0,190
608393180,608393180,CHARGE,chg,1,1.0,105.72,2007,11,24.0,191
608393180,608393180,CHARGE,chg,2,1.0,16.2,2007,11,24.0,192
608393220,608393220,CHARGE,chg,1,1.0,38.16,2007,11,24.0,193
608393220,608393220,CHARGE,chg,2,1.0,5.88,2007,11,24.0,194
608393290,608393290,CHARGE,chg,1,1.0,149.52,2007,11,24.0,195
608393290,608393290,CHARGE,chg,2,1.0,22.92,2007,11,24.0,196
608393450,608393450,CHARGE,chg,1,1.0,63.6,2007,11,24.0,197
608393450,608393450,CHARGE,chg,2,1.0,9.72,2007,11,24.0,198
608393700,608393700,CHARGE,chg,1,1.0,172.32,2007,11,24.0,199
608393700,608393700,CHARGE,chg,2,1.0,26.52,2007,11,24.0,200
608393750,608393750,CHARGE,chg,2,1.0,13.32,2007,11,25.0,201
608393750,608393750,CHARGE,chg,1,1.0,86.28,2007,11,25.0,202
608393920,608393920,CHARGE,chg,2,1.0,23.28,2007,11,25.0,203
608393920,608393920,CHARGE,chg,1,1.0,151.44,2007,11,25.0,204
608393960,608393960,CHARGE,chg,1,1.0,40.44,2007,11,25.0,205
608393960,608393960,CHARGE,chg,2,1.0,6.24,2007,11,25.0,206
608394000,608394000,CHARGE,chg,1,1.0,92.04,2007,11,25.0,207
608394000,608394000,CHARGE,chg,2,1.0,14.16,2007,11,25.0,208
608394030,608394030,CHARGE,chg,1,1.0,66.84,2007,11,26.0,209
608394030,608394030,CHARGE,chg,2,1.0,10.2,2007,11,26.0,210
608394070,608394070,CHARGE,chg,1,1.0,105.0,2007,11,25.0,211
608394070,608394070,CHARGE,chg,2,1.0,16.2,2007,11,25.0,212
608394310,608394310,CHARGE,chg,1,1.0,115.2,2007,11,26.0,213
608394310,608394310,CHARGE,chg,2,1.0,17.76,2007,11,26.0,214
608394570,608394570,CHARGE,chg,2,1.0,15.96,2007,11,25.0,215
608394570,608394570,CHARGE,chg,1,1.0,103.8,2007,11,25.0,216
608394740,608394740,CHARGE,chg,1,1.0,170.64,2007,11,25.0,217
608394740,608394740,CHARGE,chg,2,1.0,26.28,2007,11,25.0,218
608394800,608394800,CHARGE,chg,1,1.0,48.84,2007,11,25.0,219
608394800,608394800,CHARGE,chg,2,1.0,7.44,2007,11,25.0,220
608394820,608394820,CHARGE,chg,1,1.0,24.6,2007,11,25.0,221
608394820,608394820,CHARGE,chg,2,1.0,3.72,2007,11,25.0,222
608394880,608394880,CHARGE,chg,1,1.0,69.6,2007,11,25.0,223
608394880,608394880,CHARGE,chg,2,1.0,10.68,2007,11,25.0,224
608394890,608394890,CHARGE,chg,1,1.0,76.08,2007,11,25.0,225
608394890,608394890,CHARGE,chg,2,1.0,11.64,2007,11,25.0,226
608394920,608394920,CHARGE,chg,1,1.0,87.12,2007,11,25.0,227
608394920,608394920,CHARGE,chg,2,1.0,13.32,2007,11,25.0,228
608394950,608394950,CHARGE,chg,2,1.0,17.76,2007,11,25.0,229
608394950,608394950,CHARGE,chg,1,1.0,115.32,2007,11,25.0,230
608395210,608395210,CHARGE,chg,1,1.0,103.44,2007,11,25.0,231
608395210,608395210,CHARGE,chg,2,1.0,15.96,2007,11,25.0,232
608395220,608395220,CHARGE,chg,1,1.0,22.32,2007,11,25.0,233
608395220,608395220,CHARGE,chg,2,1.0,3.36,2007,11,25.0,234
608395390,608395390,CHARGE,chg,1,1.0,84.24,2007,11,25.0,235
608395390,608395390,CHARGE,chg,2,1.0,12.96,2007,11,25.0,236
608395440,608395440,CHARGE,chg,1,1.0,91.08,2007,11,25.0,237
608395440,608395440,CHARGE,chg,2,1.0,14.04,2007,11,25.0,238
608395470,608395470,CHARGE,chg,1,1.0,42.96,2007,11,25.0,239
608395470,608395470,CHARGE,chg,2,1.0,6.6,2007,11,25.0,240
608395580,608395580,CHARGE,chg,2,1.0,10.32,2007,11,25.0,241
608395580,608395580,CHARGE,chg,1,1.0,67.56,2007,11,25.0,242
608395630,608395630,CHARGE,chg,1,1.0,116.76,2007,11,25.0,243
608395630,608395630,CHARGE,chg,2,1.0,18.0,2007,11,25.0,244
608395650,608395650,CHARGE,chg,1,1.0,125.28,2007,11,25.0,245
608395650,608395650,CHARGE,chg,2,1.0,19.2,2007,11,25.0,246
608396330,608396330,CHARGE,chg,1,1.0,105.0,2007,11,25.0,247
608396330,608396330,CHARGE,chg,2,1.0,16.2,2007,11,25.0,248
608396510,608396510,CHARGE,chg,1,1.0,77.04,2007,11,25.0,249
608396510,608396510,CHARGE,chg,2,1.0,11.88,2007,11,25.0,250
608396520,608396520,CHARGE,chg,1,1.0,33.36,2007,11,25.0,251
608396520,608396520,CHARGE,chg,2,1.0,5.16,2007,11,25.0,252
608396530,608396530,CHARGE,chg,2,1.0,11.88,2007,11,25.0,253
608396530,608396530,CHARGE,chg,1,1.0,77.16,2007,11,25.0,254
608396890,608396890,CHARGE,chg,2,1.0,24.72,2007,11,26.0,255
608396890,608396890,CHARGE,chg,1,1.0,160.68,2007,11,26.0,256
608397320,608397320,CHARGE,chg,1,1.0,35.76,2007,11,26.0,257
608397320,608397320,CHARGE,chg,2,1.0,5.52,2007,11,26.0,258
608397400,608397400,CHARGE,chg,1,1.0,113.16,2007,11,25.0,259
608397400,608397400,CHARGE,chg,2,1.0,17.4,2007,11,25.0,260
608397460,608397460,CHARGE,chg,1,1.0,145.08,2007,11,25.0,261
608397460,608397460,CHARGE,chg,2,1.0,22.32,2007,11,25.0,262
608397620,608397620,CHARGE,chg,1,1.0,23.52,2007,11,26.0,263
608397620,608397620,CHARGE,chg,2,1.0,114.84,2007,11,44.0,264
608397620,608397620,CHARGE,chg,3,1.0,3.6,2007,11,26.0,265
608397620,608397620,CHARGE,chg,4,1.0,17.64,2007,11,44.0,266
608397700,608397700,CHARGE,chg,1,1.0,38.28,2007,11,26.0,267
608397700,608397700,CHARGE,chg,2,1.0,5.88,2007,11,26.0,268
608397820,608397820,CHARGE,chg,2,1.0,36.96,2007,11,26.0,269
608397820,608397820,CHARGE,chg,1,1.0,240.48,2007,11,26.0,270
608398040,608398040,CHARGE,chg,1,1.0,48.84,2007,11,25.0,271
608398040,608398040,CHARGE,chg,2,1.0,7.56,2007,11,25.0,272
608398110,608398110,CHARGE,chg,1,1.0,257.4,2007,11,26.0,273
608398110,608398110,CHARGE,chg,2,1.0,39.48,2007,11,26.0,274
608398130,608398130,CHARGE,chg,1,1.0,257.4,2007,11,26.0,275
608398130,608398130,CHARGE,chg,2,1.0,39.48,2007,11,26.0,276
608398140,608398140,CHARGE,chg,1,1.0,265.2,2007,11,26.0,277
608398140,608398140,CHARGE,chg,2,1.0,40.8,2007,11,26.0,278
608398200,608398200,CHARGE,chg,1,1.0,83.04,2007,11,26.0,279
608398200,608398200,CHARGE,chg,2,1.0,12.72,2007,11,26.0,280
608398230,608398230,CHARGE,chg,2,1.0,8.4,2007,11,27.0,281
608398230,608398230,CHARGE,chg,1,1.0,54.72,2007,11,27.0,282
608398250,608398250,CHARGE,chg,1,1.0,55.08,2007,11,27.0,283
608398250,608398250,CHARGE,chg,2,1.0,8.52,2007,11,27.0,284
608398440,608398440,CHARGE,chg,1,1.0,67.68,2007,11,26.0,285
608398440,608398440,CHARGE,chg,2,1.0,10.44,2007,11,26.0,286
608398530,608398530,CHARGE,chg,1,1.0,140.4,2007,11,26.0,287
608398530,608398530,CHARGE,chg,2,1.0,21.6,2007,11,26.0,288
608398560,608398560,CHARGE,chg,1,1.0,54.24,2007,11,26.0,289
608398560,608398560,CHARGE,chg,2,1.0,8.4,2007,11,26.0,290
608398570,608398570,CHARGE,chg,1,1.0,54.24,2007,11,26.0,291
608398570,608398570,CHARGE,chg,2,1.0,8.4,2007,11,26.0,292
608398830,608398830,CHARGE,chg,2,1.0,9.12,2007,11,26.0,293
608398830,608398830,CHARGE,chg,1,1.0,59.4,2007,11,26.0,294
608398880,608398880,CHARGE,chg,1,1.0,44.76,2007,11,26.0,295
608398880,608398880,CHARGE,chg,2,1.0,6.84,2007,11,26.0,296
608399040,608399040,CHARGE,chg,1,1.0,91.08,2007,11,26.0,297
608399040,608399040,CHARGE,chg,2,1.0,90.6,2007,11,120.0,298
608399040,608399040,CHARGE,chg,3,1.0,14.04,2007,11,26.0,299
608399040,608399040,CHARGE,chg,4,1.0,13.92,2007,11,120.0,300
608399130,608399130,CHARGE,chg,1,1.0,149.64,2007,11,26.0,301
608399130,608399130,CHARGE,chg,2,1.0,23.04,2007,11,26.0,302
608399160,608399160,CHARGE,chg,2,1.0,9.12,2007,11,26.0,303
608399160,608399160,CHARGE,chg,1,1.0,59.28,2007,11,26.0,304
608399240,608399240,CHARGE,chg,2,1.0,30.24,2007,11,26.0,305
608399240,608399240,CHARGE,chg,1,1.0,196.56,2007,11,26.0,306
608399290,608399290,CHARGE,chg,1,1.0,120.96,2007,11,26.0,307
608399290,608399290,CHARGE,chg,2,1.0,18.6,2007,11,26.0,308
608399300,608399300,CHARGE,chg,1,1.0,48.72,2007,11,26.0,309
608399300,608399300,CHARGE,chg,2,1.0,7.44,2007,11,26.0,310
608399380,608399380,CHARGE,chg,1,1.0,44.16,2007,11,26.0,311
608399380,608399380,CHARGE,chg,2,1.0,6.84,2007,11,26.0,312
608399720,608399720,CHARGE,chg,1,1.0,33.84,2007,11,26.0,313
608399720,608399720,CHARGE,chg,2,1.0,5.16,2007,11,26.0,314
608399740,608399740,CHARGE,chg,1,1.0,53.16,2007,11,26.0,315
608399740,608399740,CHARGE,chg,2,1.0,8.16,2007,11,26.0,316
608399980,608399980,CHARGE,chg,1,1.0,202.8,2007,11,26.0,317
608399980,608399980,CHARGE,chg,2,1.0,31.2,2007,11,26.0,318
608400210,608400210,CHARGE,chg,2,1.0,11.4,2007,11,26.0,319
608400210,608400210,CHARGE,chg,1,1.0,74.52,2007,11,26.0,320
608400230,608400230,CHARGE,chg,1,1.0,79.32,2007,11,26.0,321
608400230,608400230,CHARGE,chg,2,1.0,12.24,2007,11,26.0,322
608400350,608400350,CHARGE,chg,1,1.0,105.12,2007,11,26.0,323
608400350,608400350,CHARGE,chg,2,1.0,125.64,2009,4,120.0,324
608400350,608400350,CHARGE,chg,3,1.0,16.2,2007,11,26.0,325
608400350,608400350,CHARGE,chg,4,1.0,19.32,2009,4,120.0,326
608400750,608400750,CHARGE,chg,1,1.0,158.16,2007,11,26.0,327
608400750,608400750,CHARGE,chg,2,1.0,24.24,2007,11,26.0,328
608400760,608400760,CHARGE,chg,1,1.0,156.72,2007,11,26.0,329
608400760,608400760,CHARGE,chg,2,1.0,24.12,2007,11,26.0,330
608400770,608400770,CHARGE,chg,2,1.0,18.96,2007,11,26.0,331
608400770,608400770,CHARGE,chg,1,1.0,123.84,2007,11,26.0,332
608400960,608400960,CHARGE,chg,1,1.0,111.24,2007,11,26.0,333
608400960,608400960,CHARGE,chg,2,1.0,17.04,2007,11,26.0,334
608401110,608401110,CHARGE,chg,1,1.0,87.6,2007,11,26.0,335
608401110,608401110,CHARGE,chg,2,1.0,13.44,2007,11,26.0,336
608401400,608401400,CHARGE,chg,1,1.0,350.16,2007,11,27.0,337
608401400,608401400,CHARGE,chg,2,1.0,53.76,2007,11,27.0,338
608401690,608401690,CHARGE,chg,1,1.0,210.48,2007,11,27.0,339
608401690,608401690,CHARGE,chg,2,1.0,32.28,2007,11,27.0,340
608401700,608401700,CHARGE,chg,1,1.0,208.92,2007,11,28.0,341
608401700,608401700,CHARGE,chg,2,1.0,32.16,2007,11,28.0,342
608401770,608401770,CHARGE,chg,2,1.0,12.12,2007,11,27.0,343
608401770,608401770,CHARGE,chg,1,1.0,79.2,2007,11,27.0,344
608401790,608401790,CHARGE,chg,1,1.0,131.76,2007,11,27.0,345
608401790,608401790,CHARGE,chg,2,1.0,20.28,2007,11,27.0,346
608401870,608401870,CHARGE,chg,1,1.0,190.8,2007,11,27.0,347
608401870,608401870,CHARGE,chg,2,1.0,29.28,2007,11,27.0,348
608401920,608401920,CHARGE,chg,1,1.0,23.4,2007,11,27.0,349
608401920,608401920,CHARGE,chg,2,1.0,3.6,2007,11,27.0,350
608401970,608401970,CHARGE,chg,1,1.0,28.08,2007,11,27.0,351
608401970,608401970,CHARGE,chg,2,1.0,53.04,2007,11,117.0,352
608401970,608401970,CHARGE,chg,3,1.0,4.32,2007,11,27.0,353
608401970,608401970,CHARGE,chg,4,1.0,8.16,2007,11,117.0,354
608401980,608401980,CHARGE,chg,4,1.0,4.32,2007,11,117.0,355
608401980,608401980,CHARGE,chg,3,1.0,4.32,2007,11,27.0,356
608401980,608401980,CHARGE,chg,2,1.0,28.08,2007,11,117.0,357
608401980,608401980,CHARGE,chg,1,1.0,28.08,2007,11,27.0,358
608402050,608402050,CHARGE,chg,1,1.0,50.28,2007,11,27.0,359
608402050,608402050,CHARGE,chg,2,1.0,7.68,2007,11,27.0,360
608402300,608402300,CHARGE,chg,1,1.0,33.96,2007,11,27.0,361
608402300,608402300,CHARGE,chg,2,1.0,5.16,2007,11,27.0,362
608402350,608402350,CHARGE,chg,1,1.0,115.44,2007,11,27.0,363
