keyfield,postid,product,group,fondscd,unitaant,garkap,belegprc,prodboomcd,tarcd,unitsavprt,unitsrv_pp,unitext_bp,recordno
608314330,608314330,FUND,AXENT,003,506.7271,10964,100.0,SCHAKELSPAAR,SCHAKELSPAAR,499.7524,6.9747,0.0,45
608314410,608314410,FUND,AXENT,002,755.0579,30723,100.0,SCHAKELSPAAR,SCHAKELSPAAR,745.9745,9.0834,0.0,46
608314430,608314430,FUND,AXENT,012,1690.0822,0,100.0,SCHAKELSPAAR,SCHAKELSPAAR,1687.5724,2.5098,0.0,47
608314510,608314510,FUND,AXENT,003,179.4317,3124,100.0,SCHAKELSPAAR,SCHAKELSPAAR,170.9788,8.4529,0.0,48
608314530,608314530,FUND,AXENT,003,510.87919999999997,13965,100.0,SCHAKELSPAAR,SCHAKELSPAAR,508.5909,2.2883,0.0,49
608314620,608314620,FUND,AXENT,002,99.95840000000001,4051,100.0,SCHAKELSPAAR,SCHAKELSPAAR,96.8174,3.141,0.0,50
608314670,608314670,FUND,AXENT,003,240.7439,6546,100.0,SCHAKELSPAAR,SCHAKELSPAAR,237.3873,3.3566,0.0,51
608314760,608314760,FUND,AXENT,002,167.77790000000002,6760,100.0,SCHAKELSPAAR,SCHAKELSPAAR,163.0629,4.715,0.0,52
608314770,608314770,FUND,AXENT,003,194.2365,4552,100.0,SCHAKELSPAAR,SCHAKELSPAAR,192.7355,1.501,0.0,53
608314860,608314860,FUND,AXENT,012,1355.7598,0,100.0,SCHAKELSPAAR,SCHAKELSPAAR,1342.3132,13.4466,0.0,54
608314930,608314930,FUND,AXENT,003,489.92400000000004,13362,100.0,SCHAKELSPAAR,SCHAKELSPAAR,484.5964,5.3276,0.0,55
608315020,608315020,FUND,AXENT,003,361.52819999999997,9827,100.0,SCHAKELSPAAR,SCHAKELSPAAR,356.5324,4.9958,0.0,56
608315100,608315100,FUND,AXENT,012,2085.9498,0,100.0,SCHAKELSPAAR,SCHAKELSPAAR,2054.4012,31.5486,0.0,57
608315150,608315150,FUND,AXENT,003,233.1868,6298,100.0,SCHAKELSPAAR,SCHAKELSPAAR,228.6051,4.5817,0.0,58
608315180,608315180,FUND,AXENT,002,297.20509999999996,12370,100.0,SCHAKELSPAAR,SCHAKELSPAAR,294.705,2.5001,0.0,59
608315190,608315190,FUND,AXENT,003,422.0243,9523,100.0,SCHAKELSPAAR,SCHAKELSPAAR,417.8281,4.1962,0.0,60
608315230,608315230,FUND,AXENT,003,1292.9409,34022,100.0,SCHAKELSPAAR,SCHAKELSPAAR,1282.4644,10.4765,0.0,61
608315260,608315260,FUND,AXENT,003,187.565,2641,100.0,SCHAKELSPAAR,SCHAKELSPAAR,184.3587,3.2063,0.0,62
608315490,608315490,FUND,AXENT,003,651.1093999999999,17886,100.0,SCHAKELSPAAR,SCHAKELSPAAR,642.295,8.8144,0.0,63
608315500,608315500,FUND,AXENT,003,194.1948,3145,100.0,SCHAKELSPAAR,SCHAKELSPAAR,193.035,1.1598,0.0,64
608315530,608315530,FUND,AXENT,003,333.0561,10178,100.0,SCHAKELSPAAR,SCHAKELSPAAR,327.5468,5.5093,0.0,65
608315590,608315590,FUND,AXENT,003,917.6887,21367,100.0,SCHAKELSPAAR,SCHAKELSPAAR,881.0144,36.6743,0.0,66
608315690,608315690,FUND,AXENT,003,33.3345,1037,100.0,SCHAKELSPAAR,SCHAKELSPAAR,32.6667,0.6678,0.0,67
