postid,product,prodbm_cd,group,nb_if,recordno,paid_uppol,no_pol,no_ins,sales_chan,intermed,leg_entity,riderprem,rid_pay_mt,rid_prm_fr,iss_yr,iss_mth,sex_1,age_iss_1,dob_yr_1,dob_mth_1,age_adj_1,sex_2,age_iss_2,dob_yr_2,dob_mth_2,age_adj_2,perstpcd,profit_grp,tarcd,kas,ben_term_k,rid_cd,acc_cov_cd,acc_prem,acc_pay_mt,ris_res,rid_ibnr,rid_age_rs
608520360,SPAARKAS,SCHAKELSPAAR,1,IF,26,Y,1,1,ASB,,C,0.0,0.0,M,2002,1,F,22.58,1979,5,0.0,,,,,,N,F,SCHAKELSPAAR,F,360.0,0,0,0.0,0.0,,,
608520990,SPAARKAS,SCHAKELSPAAR,1,IF,27,N,1,1,ASB,,C,0.0,0.0,M,2002,1,F,36.08,1965,11,0.0,,,,,,N,F,SCHAKELSPAAR,F,300.0,0,0,0.0,0.0,,,
608521500,SPAARKAS,SCHAKELSPAAR,1,IF,28,N,1,1,ASB,,C,0.0,0.0,M,2002,1,M,33.33,1968,8,0.0,,,,,,N,F,SCHAKELSPAAR,F,259.0,0,0,0.0,0.0,,,
608332770,SPAARKAS,SCHAKELSPAAR,1,IF,29,N,1,1,ASB,,C,0.0,0.0,M,1998,3,M,25.75,1972,5,0.0,,,,,,N,F,SCHAKELSPAAR,F,360.0,0,0,0.0,0.0,,,
608522570,SPAARKAS,SCHAKELSPAAR,1,IF,30,Y,1,1,MVI,,C,0.0,0.0,M,2002,2,M,38.5,1963,7,0.0,,,,,,N,F,SCHAKELSPAAR,F,281.0,0,0,0.0,0.0,,,
608523330,SPAARKAS,SCHAKELSPAAR,1,IF,31,N,1,1,ASB,,C,0.0,0.0,M,2002,2,M,36.17,1965,11,0.0,,,,,,N,F,SCHAKELSPAAR,F,345.0,0,0,0.0,0.0,,,
608513770,SPAARKAS,SCHAKELSPAAR,1,IF,32,Y,1,1,ASB,,C,0.0,0.0,M,2001,12,F,32.33,1969,7,0.0,,,,,,N,F,SCHAKELSPAAR,F,331.0,0,0,0.0,0.0,,,
608524140,SPAARKAS,SCHAKELSPAAR,1,IF,33,Y,1,1,ASB,,C,0.0,0.0,M,2002,2,M,32.17,1969,11,0.0,,,,,,N,F,SCHAKELSPAAR,F,360.0,0,0,0.0,0.0,,,
608501270,SPAARKAS,SCHAKELSPAAR,1,IF,34,Y,1,1,ASB,,C,0.0,0.0,M,2001,9,F,23.67,1977,12,0.0,,,,,,N,F,SCHAKELSPAAR,F,360.0,0,0,0.0,0.0,,,
608499580,SPAARKAS,SCHAKELSPAAR,1,IF,35,N,1,1,ASB,,C,0.0,0.0,M,2001,8,M,31.75,1969,10,0.0,,,,,,N,F,SCHAKELSPAAR,F,360.0,0,0,0.0,0.0,,,
