POSTID,KEYFIELD,PRODUCT,GROUP,KSTVLGNR,KSTCD,KSTTOTBD,KSTVBGJR,KSTVBGMD,CHGPERIOD
613691810,613691810,CHARGE,chg,1,1,21.36,2007,12,120.00
613692600,613692600,CHARGE,chg,1,1,81.12,2006,9,120.00
613694240,613694240,CHARGE,chg,1,1,13.08,2005,12,120.00
613694530,613694530,CHARGE,chg,1,1,10.80,2006,5,120.00
613694570,613694570,CHARGE,chg,1,1,3.36,2007,6,120.00
613695110,613695110,CHARGE,chg,1,1,60.48,2007,11,120.00
613699060,613699060,CHARGE,chg,1,1,44.40,2006,5,120.00
613699090,613699090,CHARGE,chg,1,1,38.04,2004,5,120.00
613699790,613699790,CHARGE,chg,1,1,65.64,2006,6,120.00
613699830,613699830,CHARGE,chg,1,1,7.32,2006,7,120.00
613699830,613699830,CHARGE,chg,2,1,60.60,2006,10,120.00
613700090,613700090,CHARGE,chg,1,1,7.68,2014,3,120.00
613703320,613703320,CHARGE,chg,1,1,1.56,2006,2,120.00
613704340,613704340,CHARGE,chg,1,1,379.68,2004,11,120.00
613704580,613704580,CHARGE,chg,1,1,45.12,2005,11,120.00
613704760,613704760,CHARGE,chg,1,1,110.28,2006,11,120.00
613705550,613705550,CHARGE,chg,1,1,31.08,2006,6,120.00
613707500,613707500,CHARGE,chg,1,1,79.20,2003,12,120.00
613707540,613707540,CHARGE,chg,1,1,93.12,2003,12,120.00
613707590,613707590,CHARGE,chg,1,1,39.60,2003,12,120.00
613707610,613707610,CHARGE,chg,1,1,95.52,2004,2,120.00
613707670,613707670,CHARGE,chg,1,1,37.20,2004,3,120.00
613707680,613707680,CHARGE,chg,1,1,83.28,2004,3,120.00
613707720,613707720,CHARGE,chg,1,1,48.00,2004,4,120.00
613707880,613707880,CHARGE,chg,1,1,95.64,2004,7,120.00
613707920,613707920,CHARGE,chg,1,1,85.80,2004,8,120.00
613707930,613707930,CHARGE,chg,1,1,83.28,2004,8,120.00
613708050,613708050,CHARGE,chg,1,1,75.96,2004,12,120.00
613708160,613708160,CHARGE,chg,1,1,85.80,2005,2,120.00
613708190,613708190,CHARGE,chg,1,1,53.76,2005,3,120.00
613708210,613708210,CHARGE,chg,1,1,93.12,2005,3,120.00
613708230,613708230,CHARGE,chg,1,1,150.36,2005,4,120.00
613708250,613708250,CHARGE,chg,1,1,107.52,2005,5,120.00
613708270,613708270,CHARGE,chg,1,1,69.96,2005,5,120.00
613708300,613708300,CHARGE,chg,1,1,235.20,2005,7,120.00
613708320,613708320,CHARGE,chg,1,1,74.88,2005,7,120.00
613708370,613708370,CHARGE,chg,1,1,75.96,2005,11,120.00
613772870,613772870,CHARGE,chg,1,1,19.56,2004,6,120.00
613777840,613777840,CHARGE,chg,1,1,39.60,2006,4,120.00
613780120,613780120,CHARGE,chg,1,1,107.52,2005,7,120.00
613781960,613781960,CHARGE,chg,1,1,7.68,2004,10,120.00
613782010,613782010,CHARGE,chg,1,1,2.52,2005,6,120.00
613782880,613782880,CHARGE,chg,1,1,2.40,2004,12,120.00
613783770,613783770,CHARGE,chg,1,1,9.36,2004,10,120.00
613784970,613784970,CHARGE,chg,1,1,26.40,2004,5,120.00
613784970,613784970,CHARGE,chg,2,1,1.80,2004,5,120.00
613785670,613785670,CHARGE,chg,1,1,79.08,2017,3,92.00
613788500,613788500,CHARGE,chg,1,1,4.92,2004,8,120.00
613789650,613789650,CHARGE,chg,1,1,23.04,2005,1,120.00
613790520,613790520,CHARGE,chg,1,1,31.56,2004,9,120.00
613791300,613791300,CHARGE,chg,1,1,17.16,2006,3,120.00
613795840,613795840,CHARGE,chg,1,1,28.68,2005,2,120.00
613796160,613796160,CHARGE,chg,1,1,14.64,2007,1,120.00
613796160,613796160,CHARGE,chg,2,1,0.24,2015,1,120.00
613796440,613796440,CHARGE,chg,1,1,63.36,2006,2,120.00
613797300,613797300,CHARGE,chg,1,1,15.48,2003,12,120.00
613805670,613805670,CHARGE,chg,1,1,57.96,2015,4,120.00
613807150,613807150,CHARGE,chg,1,1,1.80,2004,1,120.00
613807730,613807730,CHARGE,chg,1,1,8.04,2004,7,120.00
613811750,613811750,CHARGE,chg,1,1,45.48,2005,8,120.00
613811790,613811790,CHARGE,chg,1,1,41.88,2004,3,120.00
613812730,613812730,CHARGE,chg,1,1,44.28,2020,6,39.00
613813320,613813320,CHARGE,chg,1,1,5.76,2005,3,120.00
613815160,613815160,CHARGE,chg,1,1,14.76,2006,5,120.00
613815160,613815160,CHARGE,chg,2,1,0.60,2006,5,120.00
613815610,613815610,CHARGE,chg,1,1,7.80,2015,4,120.00
613816420,613816420,CHARGE,chg,1,1,2.52,2004,11,120.00
613819920,613819920,CHARGE,chg,1,1,42.24,2006,12,120.00
613822030,613822030,CHARGE,chg,1,1,69.36,2005,7,120.00
613823100,613823100,CHARGE,chg,1,1,57.12,2006,7,120.00
613828120,613828120,CHARGE,chg,1,1,67.44,2006,6,120.00
613828940,613828940,CHARGE,chg,1,1,2.64,2004,6,120.00
613833900,613833900,CHARGE,chg,1,1,19.68,2004,8,120.00
613834050,613834050,CHARGE,chg,1,1,2.52,2005,2,120.00
613837790,613837790,CHARGE,chg,1,1,49.68,2006,6,120.00
613840720,613840720,CHARGE,chg,1,1,15.12,2006,7,120.00
613841680,613841680,CHARGE,chg,1,1,2.28,2005,10,120.00
613841680,613841680,CHARGE,chg,2,1,0.36,2005,11,120.00
613841680,613841680,CHARGE,chg,3,1,15.12,2005,11,120.00
613843110,613843110,CHARGE,chg,1,1,2.64,2004,2,120.00
613844430,613844430,CHARGE,chg,1,1,60.00,2005,9,120.00
613846430,613846430,CHARGE,chg,1,1,16.08,2005,10,120.00
613846960,613846960,CHARGE,chg,1,1,25.80,2004,5,120.00
613846970,613846970,CHARGE,chg,1,1,26.76,2007,3,120.00
613852260,613852260,CHARGE,chg,1,1,27.12,2005,9,120.00
