POSTID,KEYFIELD,PRODUCT,GROUP,FONDSCD,UNITAANT,GARKAP,BELEGPRC,PRODBOOMCD,TARCD,UNITSAVPRT,UNITSRV_PP,UNITEXT_BP
613456470,613456470,FUND,F,1,45.6027,0.00,100.000000,KOERSPLAN,KOERSPLAN,45.1349,0.4678,0.0000
613456480,613456480,FUND,F,1,2904.2004,0.00,100.000000,KOERSPLAN,FISCAALVOORDEELPLAN,2851.8766,52.3238,0.0000
613456600,613456600,FUND,F,32,20166.1416,65348.00,100.000000,KOERSPLAN,AOWPRIVEPLAN,19277.6835,888.4582,0.0000
613456620,613456620,FUND,F,5,2750.1979,0.00,100.000000,KOERSPLAN,KOERSPLAN,2571.1555,179.0424,0.0000
613456800,613456800,FUND,F,1,505.7221,0.00,100.000000,KOERSPLAN,KOERSPLAN,490.0415,15.6806,0.0000
613456810,613456810,FUND,F,1,296.5430,0.00,100.000000,KOERSPLAN,KOERSPLAN,281.9148,14.6282,0.0000
613456830,613456830,FUND,F,1,82.8747,0.00,100.000000,KOERSPLAN,KOERSPLAN,81.6919,1.1828,0.0000
613456850,613456850,FUND,F,1,593.6643,0.00,100.000000,KOERSPLAN,KOERSPLAN,576.3818,17.2825,0.0000
613457030,613457030,FUND,F,1,369.7122,0.00,100.000000,KOERSPLAN,KOERSPLAN,366.4540,3.2582,0.0000
613457070,613457070,FUND,F,1,86.3473,0.00,100.000000,KOERSPLAN,KOERSPLAN,84.3655,1.9818,0.0000
613457110,613457110,FUND,F,1,739.5985,0.00,100.000000,KOERSPLAN,KOERSPLAN,725.7517,13.8468,0.0000
613457150,613457150,FUND,F,1,239.5629,0.00,100.000000,KOERSPLAN,KOERSPLAN,232.0336,7.5293,0.0000
613457220,613457220,FUND,F,1,906.8034,0.00,100.000000,KOERSPLAN,KOERSPLAN,859.0239,47.7795,0.0000
613457230,613457230,FUND,F,1,101.9069,0.00,100.000000,KOERSPLAN,KOERSPLAN,99.9308,1.9761,0.0000
613457250,613457250,FUND,F,1,212.1189,0.00,100.000000,KOERSPLAN,KOERSPLAN,203.4545,8.6644,0.0000
613457260,613457260,FUND,F,1,471.1382,0.00,100.000000,KOERSPLAN,KOERSPLAN,460.2384,10.8998,0.0000
613457270,613457270,FUND,F,1,486.4796,0.00,100.000000,KOERSPLAN,KOERSPLAN,482.4375,4.0421,0.0000
613457330,613457330,FUND,F,30,9919.0734,32492.00,100.000000,KOERSPLAN,AOWPRIVEPLAN,9803.2638,115.8096,0.0000
613457350,613457350,FUND,F,1,615.2860,0.00,100.000000,KOERSPLAN,KOERSPLAN,603.7355,11.5505,0.0000
613457410,613457410,FUND,F,1,624.1707,0.00,100.000000,KOERSPLAN,KOERSPLAN,612.0138,12.1569,0.0000
613457420,613457420,FUND,F,1,432.5391,0.00,100.000000,KOERSPLAN,KOERSPLAN,406.5476,25.9915,0.0000
613457450,613457450,FUND,F,1,313.1234,0.00,100.000000,KOERSPLAN,KOERSPLAN,309.6699,3.4535,0.0000
613457530,613457530,FUND,F,1,484.0920,0.00,100.000000,KOERSPLAN,KOERSPLAN,478.7960,5.2960,0.0000
613457540,613457540,FUND,F,1,2337.3639,0.00,100.000000,KOERSPLAN,FISCAALVOORDEELPLAN,2221.6873,115.6766,0.0000
613457550,613457550,FUND,F,1,232.5574,0.00,100.000000,KOERSPLAN,KOERSPLAN,228.6215,3.9359,0.0000
613457580,613457580,FUND,F,1,264.6846,0.00,100.000000,KOERSPLAN,KOERSPLAN,261.6661,3.0185,0.0000
613457640,613457640,FUND,F,1,401.4502,0.00,100.000000,KOERSPLAN,KOERSPLAN,372.9089,28.5413,0.0000
613457690,613457690,FUND,F,1,29.5796,0.00,100.000000,KOERSPLAN,KOERSPLAN,28.7582,0.8214,0.0000
613457710,613457710,FUND,F,1,820.9753,0.00,100.000000,KOERSPLAN,KOERSPLAN,801.7196,19.2557,0.0000
613457760,613457760,FUND,F,1,144.8944,0.00,100.000000,KOERSPLAN,TOEKOMSTPLAN,142.5252,2.3692,0.0000
613457780,613457780,FUND,F,1,292.4374,0.00,100.000000,KOERSPLAN,TOEKOMSTPLAN,288.8135,3.6239,0.0000
613457790,613457790,FUND,F,1,744.9728,0.00,100.000000,KOERSPLAN,TOEKOMSTPLAN,726.8562,18.1166,0.0000
613457810,613457810,FUND,F,1,122.1307,0.00,100.000000,KOERSPLAN,KOERSPLAN,120.6785,1.4522,0.0000
613457850,613457850,FUND,F,1,362.7102,0.00,100.000000,KOERSPLAN,TOEKOMSTPLAN,356.4669,6.2433,0.0000
613457860,613457860,FUND,F,1,594.8485,0.00,100.000000,KOERSPLAN,TOEKOMSTPLAN,567.7412,27.1073,0.0000
613457900,613457900,FUND,F,1,12.7201,0.00,100.000000,KOERSPLAN,KOERSPLAN,12.4927,0.2274,0.0000
613457910,613457910,FUND,F,1,27.4234,0.00,100.000000,KOERSPLAN,TOEKOMSTPLAN,26.1451,1.2783,0.0000
613457930,613457930,FUND,F,3,191.9589,5083.00,100.000000,KOERSPLAN,AOWPRIVEPLAN,188.3072,3.6517,0.0000
613457950,613457950,FUND,F,1,125.7088,0.00,100.000000,KOERSPLAN,KOERSPLAN,121.7997,3.9091,0.0000
613457970,613457970,FUND,F,3,24.8290,568.00,100.000000,KOERSPLAN,AOWPRIVEPLAN,23.7795,1.0495,0.0000
613457980,613457980,FUND,F,1,435.2885,0.00,100.000000,KOERSPLAN,TOEKOMSTPLAN,420.4161,14.8724,0.0000
613457990,613457990,FUND,F,1,513.2343,0.00,100.000000,KOERSPLAN,TOEKOMSTPLAN,499.3172,13.9171,0.0000
613458010,613458010,FUND,F,1,203.3094,0.00,100.000000,KOERSPLAN,KOERSPLAN,199.9982,3.3112,0.0000
613458020,613458020,FUND,F,5,1851.7368,0.00,100.000000,KOERSPLAN,TOEKOMSTPLAN,1717.5398,134.1970,0.0000
613458070,613458070,FUND,F,1,213.9252,0.00,100.000000,KOERSPLAN,TOEKOMSTPLAN,207.5430,6.3822,0.0000
613458110,613458110,FUND,F,3,593.1505,0.00,100.000000,KOERSPLAN,TOEKOMSTPLAN,580.7425,12.4080,0.0000
613458170,613458170,FUND,F,1,435.5584,0.00,100.000000,KOERSPLAN,KOERSPLAN,422.1175,13.4409,0.0000
613458210,613458210,FUND,F,1,2099.8680,0.00,100.000000,KOERSPLAN,TOEKOMSTPLAN,2081.3790,18.4890,0.0000
613458240,613458240,FUND,F,3,11.0523,0.00,100.000000,KOERSPLAN,TOEKOMSTPLAN,10.9402,0.1121,0.0000
613458260,613458260,FUND,F,3,240.2423,0.00,100.000000,KOERSPLAN,TOEKOMSTPLAN,237.8076,2.4347,0.0000
613458290,613458290,FUND,F,1,12.9598,0.00,100.000000,KOERSPLAN,TOEKOMSTPLAN,12.7996,0.1602,0.0000
613458340,613458340,FUND,F,5,1296.2120,0.00,100.000000,KOERSPLAN,TOEKOMSTPLAN,1249.6025,46.6095,0.0000
613458380,613458380,FUND,F,1,111.7146,0.00,100.000000,KOERSPLAN,TOEKOMSTPLAN,109.8847,1.8299,0.0000
613458400,613458400,FUND,F,1,316.0599,0.00,100.000000,KOERSPLAN,TOEKOMSTPLAN,310.3649,5.6950,0.0000
613458430,613458430,FUND,F,1,280.2285,0.00,100.000000,KOERSPLAN,TOEKOMSTPLAN,275.2692,4.9593,0.0000
613458460,613458460,FUND,F,1,1082.3817,0.00,100.000000,KOERSPLAN,TOEKOMSTPLAN,1037.6237,44.7580,0.0000
613458490,613458490,FUND,F,3,21.1396,0.00,100.000000,KOERSPLAN,TOEKOMSTPLAN,20.8333,0.3063,0.0000
613458510,613458510,FUND,F,3,189.8868,0.00,100.000000,KOERSPLAN,TOEKOMSTPLAN,178.6095,11.2773,0.0000
613458520,613458520,FUND,F,3,294.1541,0.00,100.000000,KOERSPLAN,TOEKOMSTPLAN,291.1541,3.0000,0.0000
613458580,613458580,FUND,F,1,339.2819,0.00,100.000000,KOERSPLAN,TOEKOMSTPLAN,336.2953,2.9866,0.0000
613458600,613458600,FUND,F,1,230.0149,0.00,100.000000,KOERSPLAN,TOEKOMSTPLAN,227.5906,2.4243,0.0000
613458660,613458660,FUND,F,1,639.0253,0.00,100.000000,KOERSPLAN,TOEKOMSTPLAN,634.2346,4.7907,0.0000
613458670,613458670,FUND,F,1,641.3019,0.00,100.000000,KOERSPLAN,TOEKOMSTPLAN,633.4051,7.8968,0.0000
613458700,613458700,FUND,F,1,143.7287,0.00,100.000000,KOERSPLAN,TOEKOMSTPLAN,141.9123,1.8164,0.0000
613458710,613458710,FUND,F,1,382.5507,0.00,100.000000,KOERSPLAN,TOEKOMSTPLAN,377.2325,5.3182,0.0000
613458740,613458740,FUND,F,1,2.0857,0.00,100.000000,KOERSPLAN,KOERSPLAN,2.0474,0.0383,0.0000
613458750,613458750,FUND,F,1,322.8184,0.00,100.000000,KOERSPLAN,TOEKOMSTPLAN,314.9194,7.8990,0.0000
613458760,613458760,FUND,F,3,130.3955,0.00,100.000000,KOERSPLAN,TOEKOMSTPLAN,128.7013,1.6942,0.0000
